"","nGene","nUMI","orig.ident","percent.mito","CellType","res.0.6","Batch","Jun_Status"
"Cell_2650",1281,2548,"Cell",0,"Young","0","Batch1","High"
"Cell_2651",1108,2020,"Cell",0,"Young","4","Batch1","Low"
"Cell_2652",1539,3112,"Cell",0,"Young","6","Batch1","Low"
"Cell_2653",650,1006,"Cell",0,"Young","1","Batch1","Low"
"Cell_2654",725,1132,"Cell",0,"Young","2","Batch1","Low"
"Cell_2655",747,1101,"Cell",0,"Young","2","Batch1","Low"
"Cell_2656",1530,3207,"Cell",0,"Young","0","Batch1","High"
"Cell_2658",683,1011,"Cell",0,"Young","5","Batch1","Low"
"Cell_2659",860,1387,"Cell",0,"Young","0","Batch1","High"
"Cell_2660",671,924,"Cell",0,"Young","0","Batch1","High"
"Cell_2661",1426,2549,"Cell",0,"Young","2","Batch1","Low"
"Cell_2662",965,1756,"Cell",0,"Young","4","Batch1","Low"
"Cell_2663",722,1251,"Cell",0,"Young","7","Batch1","Low"
"Cell_2664",854,1268,"Cell",0,"Young","3","Batch1","Low"
"Cell_2665",861,1478,"Cell",0,"Young","1","Batch1","Low"
"Cell_2666",611,942,"Cell",0,"Young","0","Batch1","High"
"Cell_2667",941,1517,"Cell",0,"Young","4","Batch1","Low"
"Cell_2668",947,1780,"Cell",0,"Young","1","Batch1","Low"
"Cell_2669",976,1897,"Cell",0,"Young","1","Batch1","Low"
"Cell_2670",891,1461,"Cell",0,"Young","3","Batch1","Low"
"Cell_2671",1558,3162,"Cell",0,"Young","3","Batch1","Low"
"Cell_2672",726,1212,"Cell",0,"Young","4","Batch1","Low"
"Cell_2673",2124,5152,"Cell",0,"Young","6","Batch1","Low"
"Cell_2674",1288,2103,"Cell",0,"Young","0","Batch1","High"
"Cell_2675",841,1492,"Cell",0,"Young","0","Batch1","High"
"Cell_2676",680,1174,"Cell",0,"Young","0","Batch1","High"
"Cell_2677",646,924,"Cell",0,"Young","0","Batch1","High"
"Cell_2678",1482,3309,"Cell",0,"Young","4","Batch1","Low"
"Cell_2679",1028,1729,"Cell",0,"Young","4","Batch1","Low"
"Cell_2680",1457,2723,"Cell",0,"Young","2","Batch1","Low"
"Cell_2681",1225,2437,"Cell",0,"Young","3","Batch1","Low"
"Cell_2682",2091,4611,"Cell",0,"Young","3","Batch1","Low"
"Cell_2683",1569,3256,"Cell",0,"Young","6","Batch1","Low"
"Cell_2684",918,1492,"Cell",0,"Young","0","Batch1","High"
"Cell_2685",677,1030,"Cell",0,"Young","0","Batch1","High"
"Cell_2686",1576,3689,"Cell",0,"Young","5","Batch1","Low"
"Cell_2687",989,1677,"Cell",0,"Young","2","Batch1","Low"
"Cell_2688",1738,3412,"Cell",0,"Young","3","Batch1","Low"
"Cell_2690",1170,1919,"Cell",0,"Young","0","Batch1","High"
"Cell_2691",1253,2652,"Cell",0,"Young","0","Batch1","High"
"Cell_2692",1782,3989,"Cell",0,"Young","5","Batch1","Low"
"Cell_2693",877,1368,"Cell",0,"Young","4","Batch1","Low"
"Cell_2694",629,996,"Cell",0,"Young","1","Batch1","Low"
"Cell_2695",880,1407,"Cell",0,"Young","1","Batch1","Low"
"Cell_2696",1271,2327,"Cell",0,"Young","1","Batch1","Low"
"Cell_2697",1046,1796,"Cell",0,"Young","2","Batch1","Low"
"Cell_2698",1518,3140,"Cell",0,"Young","0","Batch1","High"
"Cell_2699",705,1208,"Cell",0,"Young","5","Batch1","Low"
"Cell_2700",1264,2436,"Cell",0,"Young","4","Batch1","Low"
"Cell_2701",665,1045,"Cell",0,"Young","1","Batch1","Low"
"Cell_2702",365,1044,"Cell",0,"Young","9","Batch1","Low"
"Cell_2703",951,1551,"Cell",0,"Young","3","Batch1","Low"
"Cell_2704",1539,3529,"Cell",0,"Young","4","Batch1","Low"
"Cell_2705",848,1400,"Cell",0,"Young","0","Batch1","High"
"Cell_2706",1220,2278,"Cell",0,"Young","1","Batch1","Low"
"Cell_2707",1474,2779,"Cell",0,"Young","1","Batch1","Low"
"Cell_2708",920,1579,"Cell",0,"Young","0","Batch1","High"
"Cell_2709",1282,2247,"Cell",0,"Young","1","Batch1","Low"
"Cell_2710",979,1571,"Cell",0,"Young","3","Batch1","Low"
"Cell_2711",1333,2558,"Cell",0,"Young","2","Batch1","Low"
"Cell_2712",859,1304,"Cell",0,"Young","7","Batch1","Low"
"Cell_2713",812,1306,"Cell",0,"Young","0","Batch1","High"
"Cell_2714",1016,1564,"Cell",0,"Young","4","Batch1","Low"
"Cell_2715",1323,2808,"Cell",0,"Young","7","Batch1","Low"
"Cell_2716",1566,3208,"Cell",0,"Young","4","Batch1","Low"
"Cell_2717",958,1545,"Cell",0,"Young","2","Batch1","Low"
"Cell_2718",988,1618,"Cell",0,"Young","0","Batch1","High"
"Cell_2719",921,1558,"Cell",0,"Young","4","Batch1","Low"
"Cell_2721",1412,2607,"Cell",0,"Young","7","Batch1","Low"
"Cell_2722",770,1170,"Cell",0,"Young","1","Batch1","Low"
"Cell_2723",659,1019,"Cell",0,"Young","3","Batch1","Low"
"Cell_2724",814,1401,"Cell",0,"Young","5","Batch1","Low"
"Cell_2725",984,1800,"Cell",0,"Young","1","Batch1","Low"
"Cell_2726",1086,1806,"Cell",0,"Young","2","Batch1","Low"
"Cell_2727",894,1373,"Cell",0,"Young","2","Batch1","Low"
"Cell_2728",671,1014,"Cell",0,"Young","0","Batch1","High"
"Cell_2729",860,1427,"Cell",0,"Young","0","Batch1","High"
"Cell_2730",1033,1741,"Cell",0,"Young","8","Batch1","Low"
"Cell_2731",1003,1738,"Cell",0,"Young","1","Batch1","Low"
"Cell_2732",668,927,"Cell",0,"Young","2","Batch1","Low"
"Cell_2733",1397,2670,"Cell",0,"Young","2","Batch1","Low"
"Cell_2734",831,1315,"Cell",0,"Young","4","Batch1","Low"
"Cell_2735",1203,2592,"Cell",0,"Young","10","Batch1","Low"
"Cell_2736",1175,2019,"Cell",0,"Young","1","Batch1","Low"
"Cell_2737",704,1021,"Cell",0,"Young","3","Batch1","Low"
"Cell_2738",532,1084,"Cell",0,"Young","5","Batch1","Low"
"Cell_2739",1940,3960,"Cell",0,"Young","3","Batch1","Low"
"Cell_2740",664,1078,"Cell",0,"Young","4","Batch1","Low"
"Cell_2742",968,1676,"Cell",0,"Young","0","Batch1","High"
"Cell_2743",1705,3626,"Cell",0,"Young","6","Batch1","Low"
"Cell_2744",1453,2661,"Cell",0,"Young","3","Batch1","Low"
"Cell_2745",849,1445,"Cell",0,"Young","3","Batch1","Low"
"Cell_2746",789,1249,"Cell",0,"Young","0","Batch1","High"
"Cell_2747",1271,2234,"Cell",0,"Young","5","Batch1","Low"
"Cell_2748",1031,1647,"Cell",0,"Young","4","Batch1","Low"
"Cell_2749",1941,4613,"Cell",0,"Young","5","Batch1","Low"
"Cell_2750",611,963,"Cell",0,"Young","2","Batch1","Low"
"Cell_2751",642,997,"Cell",0,"Young","0","Batch1","High"
"Cell_2752",698,1116,"Cell",0,"Young","2","Batch1","Low"
"Cell_2753",577,893,"Cell",0,"Young","4","Batch1","Low"
"Cell_2754",1470,3056,"Cell",0,"Young","9","Batch1","Low"
"Cell_2755",959,1642,"Cell",0,"Young","1","Batch1","Low"
"Cell_2756",2076,4798,"Cell",0,"Young","5","Batch1","Low"
"Cell_2757",988,1877,"Cell",0,"Young","1","Batch1","Low"
"Cell_2758",1300,2431,"Cell",0,"Young","2","Batch1","Low"
"Cell_2759",933,1610,"Cell",0,"Young","2","Batch1","Low"
"Cell_2760",922,1430,"Cell",0,"Young","2","Batch1","Low"
"Cell_2761",1302,2281,"Cell",0,"Young","3","Batch1","Low"
"Cell_2762",1184,2240,"Cell",0,"Young","8","Batch1","Low"
"Cell_2763",701,1056,"Cell",0,"Young","1","Batch1","Low"
"Cell_2764",589,904,"Cell",0,"Young","4","Batch1","Low"
"Cell_2765",963,1581,"Cell",0,"Young","0","Batch1","High"
"Cell_2766",1083,1910,"Cell",0,"Young","2","Batch1","Low"
"Cell_2767",740,1127,"Cell",0,"Young","2","Batch1","Low"
"Cell_2768",2163,4740,"Cell",0,"Young","3","Batch1","Low"
"Cell_2769",846,1359,"Cell",0,"Young","0","Batch1","High"
"Cell_2771",1578,3215,"Cell",0,"Young","8","Batch1","Low"
"Cell_2772",570,1065,"Cell",0,"Young","1","Batch1","Low"
"Cell_2773",1184,2094,"Cell",0,"Young","4","Batch1","Low"
"Cell_2774",1478,2623,"Cell",0,"Young","3","Batch1","Low"
"Cell_2775",2049,4725,"Cell",0,"Young","5","Batch1","Low"
"Cell_2776",711,1040,"Cell",0,"Young","1","Batch1","Low"
"Cell_2778",1111,1905,"Cell",0,"Young","3","Batch1","Low"
"Cell_2780",653,1053,"Cell",0,"Young","0","Batch1","High"
"Cell_2781",1561,3248,"Cell",0,"Young","9","Batch1","Low"
"Cell_2783",2077,5663,"Cell",0,"Young","4","Batch1","Low"
"Cell_2784",2062,4629,"Cell",0,"Young","7","Batch1","Low"
"Cell_2785",623,902,"Cell",0,"Young","2","Batch1","Low"
"Cell_2786",763,1231,"Cell",0,"Young","2","Batch1","Low"
"Cell_2787",1030,1868,"Cell",0,"Young","3","Batch1","Low"
"Cell_2788",780,1182,"Cell",0,"Young","0","Batch1","High"
"Cell_2789",697,1104,"Cell",0,"Young","4","Batch1","Low"
"Cell_2790",844,1289,"Cell",0,"Young","3","Batch1","Low"
"Cell_2792",680,1056,"Cell",0,"Young","2","Batch1","Low"
"Cell_2793",835,1390,"Cell",0,"Young","3","Batch1","Low"
"Cell_2794",2227,5791,"Cell",0,"Young","5","Batch1","Low"
"Cell_2795",925,1597,"Cell",0,"Young","2","Batch1","Low"
"Cell_2796",1033,1839,"Cell",0,"Young","0","Batch1","High"
"Cell_2797",956,1729,"Cell",0,"Young","4","Batch1","Low"
"Cell_2798",765,1373,"Cell",0,"Young","0","Batch1","High"
"Cell_2799",1249,2445,"Cell",0,"Young","5","Batch1","Low"
"Cell_2800",901,1551,"Cell",0,"Young","3","Batch1","Low"
"Cell_2801",1140,2018,"Cell",0,"Young","3","Batch1","Low"
"Cell_2802",752,1141,"Cell",0,"Young","6","Batch1","Low"
"Cell_2803",791,1173,"Cell",0,"Young","2","Batch1","Low"
"Cell_2805",670,1070,"Cell",0,"Young","2","Batch1","Low"
"Cell_2806",761,1389,"Cell",0,"Young","0","Batch1","High"
"Cell_2807",983,1635,"Cell",0,"Young","3","Batch1","Low"
"Cell_2808",1068,1692,"Cell",0,"Young","2","Batch1","Low"
"Cell_2809",714,1131,"Cell",0,"Young","1","Batch1","Low"
"Cell_2810",1029,1897,"Cell",0,"Young","1","Batch1","Low"
"Cell_2811",1213,1871,"Cell",0,"Young","2","Batch1","Low"
"Cell_2812",1272,2262,"Cell",0,"Young","2","Batch1","Low"
"Cell_2813",664,1005,"Cell",0,"Young","2","Batch1","Low"
"Cell_2814",820,1233,"Cell",0,"Young","2","Batch1","Low"
"Cell_2815",1079,1688,"Cell",0,"Young","0","Batch1","High"
"Cell_2816",924,1556,"Cell",0,"Young","7","Batch1","Low"
"Cell_2817",643,1121,"Cell",0,"Young","4","Batch1","Low"
"Cell_2818",975,1765,"Cell",0,"Young","1","Batch1","Low"
"Cell_2819",1347,2584,"Cell",0,"Young","2","Batch1","Low"
"Cell_2820",990,1633,"Cell",0,"Young","2","Batch1","Low"
"Cell_2821",677,1047,"Cell",0,"Young","1","Batch1","Low"
"Cell_2822",2135,5539,"Cell",0,"Young","6","Batch1","Low"
"Cell_2823",665,946,"Cell",0,"Young","1","Batch1","Low"
"Cell_2824",689,1027,"Cell",0,"Young","1","Batch1","Low"
"Cell_2825",1138,2079,"Cell",0,"Young","2","Batch1","Low"
"Cell_2827",810,1366,"Cell",0,"Young","1","Batch1","Low"
"Cell_2828",996,1728,"Cell",0,"Young","1","Batch1","Low"
"Cell_2829",975,1712,"Cell",0,"Young","2","Batch1","Low"
"Cell_2830",2322,6037,"Cell",0,"Young","6","Batch1","Low"
"Cell_2831",928,1555,"Cell",0,"Young","1","Batch1","Low"
"Cell_2832",629,1034,"Cell",0,"Young","0","Batch1","High"
"Cell_2833",758,1111,"Cell",0,"Young","3","Batch1","Low"
"Cell_2834",1023,1928,"Cell",0,"Young","0","Batch1","High"
"Cell_2835",729,1195,"Cell",0,"Young","1","Batch1","Low"
"Cell_2836",795,1347,"Cell",0,"Young","0","Batch1","High"
"Cell_2837",679,1183,"Cell",0,"Young","1","Batch1","Low"
"Cell_2838",867,1368,"Cell",0,"Young","1","Batch1","Low"
"Cell_2839",969,1522,"Cell",0,"Young","0","Batch1","High"
"Cell_2840",1383,2718,"Cell",0,"Young","3","Batch1","Low"
"Cell_2841",880,1428,"Cell",0,"Young","3","Batch1","Low"
"Cell_2842",1157,2095,"Cell",0,"Young","1","Batch1","Low"
"Cell_2843",742,1308,"Cell",0,"Young","8","Batch1","Low"
"Cell_2844",698,1049,"Cell",0,"Young","1","Batch1","Low"
"Cell_2845",1232,2253,"Cell",0,"Young","3","Batch1","Low"
"Cell_2846",1151,2195,"Cell",0,"Young","0","Batch1","High"
"Cell_2847",1516,3212,"Cell",0,"Young","0","Batch1","High"
"Cell_2849",909,1504,"Cell",0,"Young","1","Batch1","Low"
"Cell_2850",1068,2017,"Cell",0,"Young","1","Batch1","Low"
"Cell_2851",582,898,"Cell",0,"Young","0","Batch1","High"
"Cell_2852",666,1081,"Cell",0,"Young","1","Batch1","Low"
"Cell_2853",1380,2500,"Cell",0,"Young","7","Batch1","Low"
"Cell_2854",1790,4348,"Cell",0,"Young","5","Batch1","Low"
"Cell_2855",1019,1745,"Cell",0,"Young","3","Batch1","Low"
"Cell_2856",1009,1674,"Cell",0,"Young","2","Batch1","Low"
"Cell_2857",1571,3257,"Cell",0,"Young","5","Batch1","Low"
"Cell_2858",1167,2066,"Cell",0,"Young","2","Batch1","Low"
"Cell_2859",1517,3171,"Cell",0,"Young","1","Batch1","Low"
"Cell_2860",1201,2290,"Cell",0,"Young","4","Batch1","Low"
