"","nGene","nUMI","orig.ident","percent.mito","CellType","res.0.6","Batch","Jun_Status"
"Cell_1",878,1364,"Cell",0,"Young","7","Batch1","Low"
"Cell_2",984,2077,"Cell",0,"Young","6","Batch1","Low"
"Cell_3",2279,5419,"Cell",0,"Young","6","Batch1","Low"
"Cell_4",964,1542,"Cell",0,"Young","0","Batch1","High"
"Cell_5",1348,2608,"Cell",0,"Young","6","Batch1","Low"
"Cell_6",775,1173,"Cell",0,"Young","2","Batch1","Low"
"Cell_7",1516,2762,"Cell",0,"Young","7","Batch1","Low"
"Cell_8",1401,2969,"Cell",0,"Young","0","Batch1","High"
"Cell_9",861,1323,"Cell",0,"Young","2","Batch1","Low"
"Cell_10",1130,1970,"Cell",0,"Young","7","Batch1","Low"
"Cell_11",799,1194,"Cell",0,"Young","1","Batch1","Low"
"Cell_12",1520,2979,"Cell",0,"Young","9","Batch1","Low"
"Cell_13",1109,2154,"Cell",0,"Young","2","Batch1","Low"
"Cell_14",1073,1840,"Cell",0,"Young","1","Batch1","Low"
"Cell_15",581,974,"Cell",0,"Young","0","Batch1","High"
"Cell_16",891,1675,"Cell",0,"Young","1","Batch1","Low"
"Cell_17",1011,1686,"Cell",0,"Young","0","Batch1","High"
"Cell_18",688,1124,"Cell",0,"Young","1","Batch1","Low"
"Cell_19",882,1435,"Cell",0,"Young","0","Batch1","High"
"Cell_20",703,1061,"Cell",0,"Young","4","Batch1","Low"
"Cell_21",1030,1702,"Cell",0,"Young","2","Batch1","Low"
"Cell_22",798,1182,"Cell",0,"Young","2","Batch1","Low"
"Cell_23",1167,2100,"Cell",0,"Young","6","Batch1","Low"
"Cell_24",817,1327,"Cell",0,"Young","2","Batch1","Low"
"Cell_26",1039,1809,"Cell",0,"Young","0","Batch1","High"
"Cell_27",735,1080,"Cell",0,"Young","2","Batch1","Low"
"Cell_28",729,1206,"Cell",0,"Young","1","Batch1","Low"
"Cell_29",674,1060,"Cell",0,"Young","1","Batch1","Low"
"Cell_30",2015,4612,"Cell",0,"Young","5","Batch1","Low"
"Cell_31",964,1577,"Cell",0,"Young","0","Batch1","High"
"Cell_32",625,972,"Cell",0,"Young","1","Batch1","Low"
"Cell_33",1832,4070,"Cell",0,"Young","5","Batch1","Low"
"Cell_34",765,1209,"Cell",0,"Young","1","Batch1","Low"
"Cell_35",1226,2131,"Cell",0,"Young","3","Batch1","Low"
"Cell_36",1313,2715,"Cell",0,"Young","1","Batch1","Low"
"Cell_37",2115,4932,"Cell",0,"Young","6","Batch1","Low"
"Cell_38",1088,2100,"Cell",0,"Young","1","Batch1","Low"
"Cell_39",1070,1835,"Cell",0,"Young","1","Batch1","Low"
"Cell_40",712,1177,"Cell",0,"Young","2","Batch1","Low"
"Cell_42",1336,2521,"Cell",0,"Young","4","Batch1","Low"
"Cell_43",836,1421,"Cell",0,"Young","10","Batch1","Low"
"Cell_44",887,1508,"Cell",0,"Young","3","Batch1","Low"
"Cell_45",1072,1995,"Cell",0,"Young","0","Batch1","High"
"Cell_46",1058,1683,"Cell",0,"Young","3","Batch1","Low"
"Cell_47",588,1020,"Cell",0,"Young","1","Batch1","Low"
"Cell_48",897,1668,"Cell",0,"Young","0","Batch1","High"
"Cell_49",1041,1689,"Cell",0,"Young","7","Batch1","Low"
"Cell_50",699,1160,"Cell",0,"Young","1","Batch1","Low"
"Cell_51",1418,2602,"Cell",0,"Young","3","Batch1","Low"
"Cell_52",1947,4325,"Cell",0,"Young","6","Batch1","Low"
"Cell_53",938,1631,"Cell",0,"Young","2","Batch1","Low"
"Cell_54",907,1514,"Cell",0,"Young","1","Batch1","Low"
"Cell_55",847,1343,"Cell",0,"Young","3","Batch1","Low"
"Cell_56",719,1081,"Cell",0,"Young","1","Batch1","Low"
"Cell_57",693,1056,"Cell",0,"Young","0","Batch1","High"
"Cell_58",1270,2186,"Cell",0,"Young","2","Batch1","Low"
"Cell_59",1547,3229,"Cell",0,"Young","0","Batch1","High"
"Cell_60",744,1147,"Cell",0,"Young","0","Batch1","High"
"Cell_61",972,1717,"Cell",0,"Young","1","Batch1","Low"
"Cell_62",1528,3513,"Cell",0,"Young","4","Batch1","Low"
"Cell_63",968,1591,"Cell",0,"Young","0","Batch1","High"
"Cell_64",960,1626,"Cell",0,"Young","2","Batch1","Low"
"Cell_65",617,944,"Cell",0,"Young","1","Batch1","Low"
"Cell_66",645,1026,"Cell",0,"Young","3","Batch1","Low"
"Cell_67",635,973,"Cell",0,"Young","1","Batch1","Low"
"Cell_68",670,1094,"Cell",0,"Young","0","Batch1","High"
"Cell_69",677,965,"Cell",0,"Young","1","Batch1","Low"
"Cell_70",727,1122,"Cell",0,"Young","3","Batch1","Low"
"Cell_71",2016,4354,"Cell",0,"Young","6","Batch1","Low"
"Cell_72",1759,3530,"Cell",0,"Young","5","Batch1","Low"
"Cell_73",902,1433,"Cell",0,"Young","3","Batch1","Low"
"Cell_74",1542,3358,"Cell",0,"Young","5","Batch1","Low"
"Cell_75",717,1142,"Cell",0,"Young","2","Batch1","Low"
"Cell_76",2253,5425,"Cell",0,"Young","6","Batch1","Low"
"Cell_77",1038,1930,"Cell",0,"Young","0","Batch1","High"
"Cell_78",893,1441,"Cell",0,"Young","2","Batch1","Low"
"Cell_79",1465,2908,"Cell",0,"Young","0","Batch1","High"
"Cell_80",794,1137,"Cell",0,"Young","4","Batch1","Low"
"Cell_81",959,1579,"Cell",0,"Young","1","Batch1","Low"
"Cell_82",1307,2336,"Cell",0,"Young","0","Batch1","High"
"Cell_83",912,1465,"Cell",0,"Young","2","Batch1","Low"
"Cell_84",2186,4901,"Cell",0,"Young","7","Batch1","Low"
"Cell_85",1401,3167,"Cell",0,"Young","5","Batch1","Low"
"Cell_86",1278,2148,"Cell",0,"Young","3","Batch1","Low"
"Cell_87",1150,2133,"Cell",0,"Young","0","Batch1","High"
"Cell_88",1843,3789,"Cell",0,"Young","3","Batch1","Low"
"Cell_89",1474,2702,"Cell",0,"Young","0","Batch1","High"
"Cell_90",908,1749,"Cell",0,"Young","0","Batch1","High"
"Cell_91",1513,2915,"Cell",0,"Young","2","Batch1","Low"
"Cell_92",825,1213,"Cell",0,"Young","2","Batch1","Low"
"Cell_93",1091,1894,"Cell",0,"Young","0","Batch1","High"
"Cell_94",698,1211,"Cell",0,"Young","4","Batch1","Low"
"Cell_95",1090,1892,"Cell",0,"Young","3","Batch1","Low"
"Cell_96",636,1100,"Cell",0,"Young","1","Batch1","Low"
"Cell_97",1025,1632,"Cell",0,"Young","1","Batch1","Low"
"Cell_98",2342,5114,"Cell",0,"Young","3","Batch1","Low"
"Cell_99",951,1609,"Cell",0,"Young","2","Batch1","Low"
"Cell_100",811,1245,"Cell",0,"Young","2","Batch1","Low"
"Cell_101",658,1015,"Cell",0,"Young","2","Batch1","Low"
"Cell_102",854,1383,"Cell",0,"Young","2","Batch1","Low"
"Cell_103",802,1203,"Cell",0,"Young","2","Batch1","Low"
"Cell_104",857,1368,"Cell",0,"Young","0","Batch1","High"
"Cell_105",645,954,"Cell",0,"Young","2","Batch1","Low"
"Cell_106",841,1860,"Cell",0,"Young","1","Batch1","Low"
"Cell_107",1195,2356,"Cell",0,"Young","1","Batch1","Low"
"Cell_108",666,1021,"Cell",0,"Young","1","Batch1","Low"
"Cell_109",933,1650,"Cell",0,"Young","0","Batch1","High"
"Cell_110",910,1441,"Cell",0,"Young","2","Batch1","Low"
"Cell_111",1836,3806,"Cell",0,"Young","6","Batch1","Low"
"Cell_113",2170,4502,"Cell",0,"Young","6","Batch1","Low"
"Cell_114",1071,1826,"Cell",0,"Young","2","Batch1","Low"
"Cell_115",639,957,"Cell",0,"Young","1","Batch1","Low"
"Cell_116",1693,3753,"Cell",0,"Young","6","Batch1","Low"
"Cell_117",1084,2035,"Cell",0,"Young","0","Batch1","High"
"Cell_118",1544,3364,"Cell",0,"Young","6","Batch1","Low"
"Cell_119",827,1216,"Cell",0,"Young","3","Batch1","Low"
"Cell_120",1251,2472,"Cell",0,"Young","5","Batch1","Low"
"Cell_121",763,1284,"Cell",0,"Young","2","Batch1","Low"
"Cell_122",801,1244,"Cell",0,"Young","2","Batch1","Low"
"Cell_123",1024,1783,"Cell",0,"Young","2","Batch1","Low"
"Cell_124",1058,1796,"Cell",0,"Young","1","Batch1","Low"
"Cell_125",857,1422,"Cell",0,"Young","1","Batch1","Low"
"Cell_126",737,1109,"Cell",0,"Young","3","Batch1","Low"
"Cell_127",684,1102,"Cell",0,"Young","4","Batch1","Low"
"Cell_128",1612,3071,"Cell",0,"Young","2","Batch1","Low"
"Cell_129",1102,1869,"Cell",0,"Young","3","Batch1","Low"
"Cell_130",2019,4296,"Cell",0,"Young","10","Batch1","Low"
"Cell_131",1221,2331,"Cell",0,"Young","4","Batch1","Low"
"Cell_132",812,1201,"Cell",0,"Young","1","Batch1","Low"
"Cell_133",960,1594,"Cell",0,"Young","0","Batch1","High"
"Cell_134",1164,2069,"Cell",0,"Young","1","Batch1","Low"
"Cell_135",912,1302,"Cell",0,"Young","1","Batch1","Low"
"Cell_136",774,1131,"Cell",0,"Young","2","Batch1","Low"
"Cell_137",1599,3637,"Cell",0,"Young","5","Batch1","Low"
"Cell_138",1608,3154,"Cell",0,"Young","3","Batch1","Low"
"Cell_139",908,1632,"Cell",0,"Young","7","Batch1","Low"
"Cell_140",2076,4682,"Cell",0,"Young","6","Batch1","Low"
"Cell_141",1211,2455,"Cell",0,"Young","1","Batch1","Low"
"Cell_142",1230,2142,"Cell",0,"Young","4","Batch1","Low"
"Cell_143",1695,3266,"Cell",0,"Young","8","Batch1","Low"
"Cell_144",974,1920,"Cell",0,"Young","0","Batch1","High"
"Cell_145",617,930,"Cell",0,"Young","0","Batch1","High"
"Cell_146",953,1483,"Cell",0,"Young","2","Batch1","Low"
"Cell_147",694,1054,"Cell",0,"Young","2","Batch1","Low"
"Cell_148",763,1192,"Cell",0,"Young","0","Batch1","High"
"Cell_149",1101,1822,"Cell",0,"Young","5","Batch1","Low"
"Cell_150",981,1691,"Cell",0,"Young","0","Batch1","High"
"Cell_151",884,1351,"Cell",0,"Young","1","Batch1","Low"
"Cell_152",790,1234,"Cell",0,"Young","3","Batch1","Low"
"Cell_153",1127,1877,"Cell",0,"Young","0","Batch1","High"
"Cell_154",617,909,"Cell",0,"Young","7","Batch1","Low"
"Cell_155",1346,2291,"Cell",0,"Young","6","Batch1","Low"
"Cell_156",1854,4110,"Cell",0,"Young","4","Batch1","Low"
"Cell_157",1165,1970,"Cell",0,"Young","5","Batch1","Low"
"Cell_158",1226,2136,"Cell",0,"Young","2","Batch1","Low"
"Cell_159",1164,2026,"Cell",0,"Young","3","Batch1","Low"
"Cell_160",1844,3660,"Cell",0,"Young","6","Batch1","Low"
"Cell_161",1055,2083,"Cell",0,"Young","5","Batch1","Low"
"Cell_162",2348,5158,"Cell",0,"Young","8","Batch1","Low"
"Cell_163",696,1134,"Cell",0,"Young","3","Batch1","Low"
"Cell_164",1364,2471,"Cell",0,"Young","8","Batch1","Low"
"Cell_165",731,1146,"Cell",0,"Young","2","Batch1","Low"
"Cell_166",861,1395,"Cell",0,"Young","3","Batch1","Low"
"Cell_167",717,1024,"Cell",0,"Young","1","Batch1","Low"
"Cell_168",1167,2197,"Cell",0,"Young","0","Batch1","High"
"Cell_169",1005,1637,"Cell",0,"Young","3","Batch1","Low"
"Cell_170",936,1492,"Cell",0,"Young","4","Batch1","Low"
"Cell_171",1210,2364,"Cell",0,"Young","0","Batch1","High"
"Cell_172",956,1570,"Cell",0,"Young","4","Batch1","Low"
"Cell_173",627,938,"Cell",0,"Young","2","Batch1","Low"
"Cell_174",1138,2142,"Cell",0,"Young","3","Batch1","Low"
"Cell_175",617,999,"Cell",0,"Young","2","Batch1","Low"
"Cell_176",923,1552,"Cell",0,"Young","1","Batch1","Low"
"Cell_177",888,1500,"Cell",0,"Young","1","Batch1","Low"
"Cell_178",1061,1863,"Cell",0,"Young","0","Batch1","High"
"Cell_179",704,1106,"Cell",0,"Young","3","Batch1","Low"
"Cell_180",949,1603,"Cell",0,"Young","2","Batch1","Low"
"Cell_181",671,1143,"Cell",0,"Young","3","Batch1","Low"
"Cell_182",1010,1777,"Cell",0,"Young","1","Batch1","Low"
"Cell_183",943,1709,"Cell",0,"Young","2","Batch1","Low"
"Cell_184",664,1126,"Cell",0,"Young","0","Batch1","High"
"Cell_185",646,1148,"Cell",0,"Young","7","Batch1","Low"
"Cell_186",632,907,"Cell",0,"Young","8","Batch1","Low"
"Cell_187",1909,4538,"Cell",0,"Young","5","Batch1","Low"
"Cell_188",1586,3288,"Cell",0,"Young","5","Batch1","Low"
"Cell_189",995,1752,"Cell",0,"Young","4","Batch1","Low"
"Cell_190",712,1062,"Cell",0,"Young","2","Batch1","Low"
"Cell_191",832,1402,"Cell",0,"Young","4","Batch1","Low"
"Cell_192",924,1454,"Cell",0,"Young","2","Batch1","Low"
"Cell_193",679,969,"Cell",0,"Young","2","Batch1","Low"
"Cell_194",774,1169,"Cell",0,"Young","7","Batch1","Low"
"Cell_195",980,1636,"Cell",0,"Young","3","Batch1","Low"
"Cell_196",1236,2554,"Cell",0,"Young","6","Batch1","Low"
"Cell_197",803,1193,"Cell",0,"Young","2","Batch1","Low"
"Cell_198",1334,2878,"Cell",0,"Young","6","Batch1","Low"
"Cell_199",867,1464,"Cell",0,"Young","4","Batch1","Low"
"Cell_200",899,1622,"Cell",0,"Young","4","Batch1","Low"
"Cell_201",576,908,"Cell",0,"Young","1","Batch1","Low"
"Cell_202",1692,3340,"Cell",0,"Young","4","Batch1","Low"
"Cell_203",868,1380,"Cell",0,"Young","3","Batch1","Low"
"Cell_204",770,1191,"Cell",0,"Young","2","Batch1","Low"
"Cell_205",923,1417,"Cell",0,"Young","3","Batch1","Low"
"Cell_206",830,1329,"Cell",0,"Young","0","Batch1","High"
"Cell_207",891,1390,"Cell",0,"Young","1","Batch1","Low"
"Cell_208",1436,3069,"Cell",0,"Young","6","Batch1","Low"
"Cell_209",639,988,"Cell",0,"Young","4","Batch1","Low"
"Cell_210",1107,1804,"Cell",0,"Young","7","Batch1","Low"
"Cell_211",685,1054,"Cell",0,"Young","1","Batch1","Low"
"Cell_212",1037,1731,"Cell",0,"Young","0","Batch1","High"
"Cell_213",867,1456,"Cell",0,"Young","1","Batch1","Low"
"Cell_214",1954,6060,"Cell",0,"Young","10","Batch1","Low"
"Cell_215",1695,4010,"Cell",0,"Young","6","Batch1","Low"
"Cell_216",763,1129,"Cell",0,"Young","2","Batch1","Low"
"Cell_217",1376,2784,"Cell",0,"Young","0","Batch1","High"
"Cell_218",2272,5448,"Cell",0,"Young","3","Batch1","Low"
"Cell_219",947,1695,"Cell",0,"Young","1","Batch1","Low"
"Cell_220",762,1116,"Cell",0,"Young","2","Batch1","Low"
"Cell_221",757,1198,"Cell",0,"Young","3","Batch1","Low"
"Cell_222",835,1277,"Cell",0,"Young","3","Batch1","Low"
"Cell_223",1721,3810,"Cell",0,"Young","0","Batch1","High"
"Cell_224",1721,3478,"Cell",0,"Young","3","Batch1","Low"
"Cell_225",1201,2087,"Cell",0,"Young","7","Batch1","Low"
"Cell_226",1026,1800,"Cell",0,"Young","1","Batch1","Low"
"Cell_227",1672,3226,"Cell",0,"Young","3","Batch1","Low"
"Cell_228",1412,2647,"Cell",0,"Young","2","Batch1","Low"
"Cell_229",1656,3148,"Cell",0,"Young","3","Batch1","Low"
"Cell_230",1729,3437,"Cell",0,"Young","3","Batch1","Low"
"Cell_231",1850,4142,"Cell",0,"Young","4","Batch1","Low"
"Cell_232",1686,3764,"Cell",0,"Young","6","Batch1","Low"
"Cell_233",1707,3698,"Cell",0,"Young","5","Batch1","Low"
"Cell_234",839,1328,"Cell",0,"Young","4","Batch1","Low"
"Cell_235",1870,3858,"Cell",0,"Young","3","Batch1","Low"
"Cell_236",2070,4574,"Cell",0,"Young","4","Batch1","Low"
"Cell_237",756,1120,"Cell",0,"Young","2","Batch1","Low"
"Cell_238",658,994,"Cell",0,"Young","2","Batch1","Low"
"Cell_239",2075,4832,"Cell",0,"Young","3","Batch1","Low"
"Cell_240",1169,2062,"Cell",0,"Young","3","Batch1","Low"
"Cell_241",920,1728,"Cell",0,"Young","1","Batch1","Low"
"Cell_242",1434,2520,"Cell",0,"Young","2","Batch1","Low"
"Cell_243",1865,4005,"Cell",0,"Young","8","Batch1","Low"
"Cell_244",1283,2283,"Cell",0,"Young","3","Batch1","Low"
"Cell_245",718,1035,"Cell",0,"Young","0","Batch1","High"
"Cell_246",677,1044,"Cell",0,"Young","1","Batch1","Low"
"Cell_247",927,1532,"Cell",0,"Young","3","Batch1","Low"
"Cell_248",1223,2175,"Cell",0,"Young","3","Batch1","Low"
"Cell_249",1210,2121,"Cell",0,"Young","1","Batch1","Low"
"Cell_250",1063,1805,"Cell",0,"Young","2","Batch1","Low"
"Cell_251",708,1157,"Cell",0,"Young","1","Batch1","Low"
"Cell_252",725,1067,"Cell",0,"Young","0","Batch1","High"
"Cell_253",1715,3271,"Cell",0,"Young","3","Batch1","Low"
"Cell_254",880,1511,"Cell",0,"Young","2","Batch1","Low"
"Cell_255",2101,4100,"Cell",0,"Young","5","Batch1","Low"
"Cell_256",1277,2454,"Cell",0,"Young","5","Batch1","Low"
"Cell_257",636,962,"Cell",0,"Young","2","Batch1","Low"
"Cell_258",844,1583,"Cell",0,"Young","1","Batch1","Low"
"Cell_259",1364,2998,"Cell",0,"Young","3","Batch1","Low"
"Cell_260",816,1209,"Cell",0,"Young","3","Batch1","Low"
"Cell_261",824,1371,"Cell",0,"Young","1","Batch1","Low"
"Cell_263",1203,2144,"Cell",0,"Young","7","Batch1","Low"
"Cell_264",1013,1638,"Cell",0,"Young","0","Batch1","High"
"Cell_265",1050,1904,"Cell",0,"Young","6","Batch1","Low"
"Cell_266",1027,1831,"Cell",0,"Young","1","Batch1","Low"
"Cell_267",1136,1853,"Cell",0,"Young","2","Batch1","Low"
"Cell_268",1802,3797,"Cell",0,"Young","7","Batch1","Low"
"Cell_269",1052,1961,"Cell",0,"Young","1","Batch1","Low"
"Cell_270",867,1486,"Cell",0,"Young","1","Batch1","Low"
"Cell_271",1284,2225,"Cell",0,"Young","2","Batch1","Low"
"Cell_272",1540,3010,"Cell",0,"Young","3","Batch1","Low"
"Cell_273",1391,2494,"Cell",0,"Young","1","Batch1","Low"
"Cell_274",1318,2392,"Cell",0,"Young","1","Batch1","Low"
"Cell_275",974,1669,"Cell",0,"Young","1","Batch1","Low"
"Cell_276",979,1631,"Cell",0,"Young","1","Batch1","Low"
"Cell_277",652,978,"Cell",0,"Young","0","Batch1","High"
"Cell_278",927,1511,"Cell",0,"Young","2","Batch1","Low"
"Cell_279",1599,3375,"Cell",0,"Young","0","Batch1","High"
"Cell_280",1474,3135,"Cell",0,"Young","8","Batch1","Low"
"Cell_281",2290,6091,"Cell",0,"Young","6","Batch1","Low"
"Cell_282",1286,2607,"Cell",0,"Young","7","Batch1","Low"
"Cell_283",1360,2292,"Cell",0,"Young","3","Batch1","Low"
"Cell_284",1301,2308,"Cell",0,"Young","1","Batch1","Low"
"Cell_285",1112,1758,"Cell",0,"Young","2","Batch1","Low"
"Cell_286",606,971,"Cell",0,"Young","1","Batch1","Low"
"Cell_287",836,1336,"Cell",0,"Young","2","Batch1","Low"
"Cell_288",1528,2820,"Cell",0,"Young","6","Batch1","Low"
"Cell_289",1204,2134,"Cell",0,"Young","3","Batch1","Low"
"Cell_290",1141,2188,"Cell",0,"Young","1","Batch1","Low"
"Cell_291",862,1445,"Cell",0,"Young","8","Batch1","Low"
"Cell_292",1898,3697,"Cell",0,"Young","9","Batch1","Low"
"Cell_293",711,1034,"Cell",0,"Young","3","Batch1","Low"
"Cell_294",1183,2048,"Cell",0,"Young","2","Batch1","Low"
"Cell_295",615,1040,"Cell",0,"Young","0","Batch1","High"
"Cell_296",1281,2273,"Cell",0,"Young","0","Batch1","High"
"Cell_297",1214,2119,"Cell",0,"Young","0","Batch1","High"
"Cell_298",891,1482,"Cell",0,"Young","2","Batch1","Low"
"Cell_299",744,1187,"Cell",0,"Young","1","Batch1","Low"
"Cell_300",873,1381,"Cell",0,"Young","6","Batch1","Low"
"Cell_301",1020,1848,"Cell",0,"Young","3","Batch1","Low"
"Cell_302",877,1492,"Cell",0,"Young","6","Batch1","Low"
"Cell_303",799,1163,"Cell",0,"Young","2","Batch1","Low"
"Cell_304",1097,2150,"Cell",0,"Young","1","Batch1","Low"
"Cell_305",2246,5046,"Cell",0,"Young","9","Batch1","Low"
"Cell_306",835,1326,"Cell",0,"Young","1","Batch1","Low"
"Cell_307",664,1022,"Cell",0,"Young","6","Batch1","Low"
"Cell_308",702,1105,"Cell",0,"Young","1","Batch1","Low"
"Cell_309",1045,1913,"Cell",0,"Young","2","Batch1","Low"
"Cell_310",1637,3114,"Cell",0,"Young","9","Batch1","Low"
"Cell_311",912,1580,"Cell",0,"Young","0","Batch1","High"
"Cell_312",1069,1692,"Cell",0,"Young","7","Batch1","Low"
"Cell_313",1029,1859,"Cell",0,"Young","8","Batch1","Low"
"Cell_314",1196,2169,"Cell",0,"Young","7","Batch1","Low"
"Cell_315",741,1195,"Cell",0,"Young","0","Batch1","High"
"Cell_316",1777,3661,"Cell",0,"Young","6","Batch1","Low"
"Cell_317",676,951,"Cell",0,"Young","1","Batch1","Low"
"Cell_318",1231,2308,"Cell",0,"Young","3","Batch1","Low"
"Cell_319",729,1163,"Cell",0,"Young","1","Batch1","Low"
"Cell_320",727,1372,"Cell",0,"Young","8","Batch1","Low"
"Cell_321",2254,5780,"Cell",0,"Young","6","Batch1","Low"
"Cell_322",945,1541,"Cell",0,"Young","7","Batch1","Low"
"Cell_323",648,957,"Cell",0,"Young","1","Batch1","Low"
"Cell_324",939,1404,"Cell",0,"Young","2","Batch1","Low"
"Cell_325",855,1407,"Cell",0,"Young","0","Batch1","High"
"Cell_326",651,1008,"Cell",0,"Young","1","Batch1","Low"
"Cell_327",1291,2424,"Cell",0,"Young","3","Batch1","Low"
"Cell_328",969,1638,"Cell",0,"Young","7","Batch1","Low"
"Cell_329",674,1077,"Cell",0,"Young","2","Batch1","Low"
"Cell_330",806,1252,"Cell",0,"Young","4","Batch1","Low"
"Cell_331",915,1510,"Cell",0,"Young","2","Batch1","Low"
"Cell_332",1047,1929,"Cell",0,"Young","1","Batch1","Low"
"Cell_333",1560,2779,"Cell",0,"Young","3","Batch1","Low"
"Cell_334",659,1033,"Cell",0,"Young","0","Batch1","High"
"Cell_335",951,1707,"Cell",0,"Young","0","Batch1","High"
"Cell_336",875,1447,"Cell",0,"Young","0","Batch1","High"
"Cell_337",1133,2134,"Cell",0,"Young","1","Batch1","Low"
"Cell_338",1148,1953,"Cell",0,"Young","3","Batch1","Low"
"Cell_339",739,1135,"Cell",0,"Young","7","Batch1","Low"
"Cell_340",917,1649,"Cell",0,"Young","2","Batch1","Low"
"Cell_341",726,1343,"Cell",0,"Young","1","Batch1","Low"
"Cell_342",931,1769,"Cell",0,"Young","9","Batch1","Low"
"Cell_343",769,1295,"Cell",0,"Young","1","Batch1","Low"
"Cell_344",721,1125,"Cell",0,"Young","1","Batch1","Low"
"Cell_345",967,1724,"Cell",0,"Young","0","Batch1","High"
"Cell_346",1053,1714,"Cell",0,"Young","0","Batch1","High"
"Cell_347",822,1319,"Cell",0,"Young","2","Batch1","Low"
"Cell_348",1210,2437,"Cell",0,"Young","1","Batch1","Low"
"Cell_349",1377,2613,"Cell",0,"Young","3","Batch1","Low"
"Cell_350",835,1376,"Cell",0,"Young","7","Batch1","Low"
"Cell_351",583,955,"Cell",0,"Young","1","Batch1","Low"
"Cell_352",2068,4939,"Cell",0,"Young","5","Batch1","Low"
"Cell_353",1004,1706,"Cell",0,"Young","1","Batch1","Low"
"Cell_354",1163,2127,"Cell",0,"Young","3","Batch1","Low"
"Cell_355",874,1598,"Cell",0,"Young","0","Batch1","High"
"Cell_356",942,1485,"Cell",0,"Young","6","Batch1","Low"
"Cell_357",711,1117,"Cell",0,"Young","1","Batch1","Low"
"Cell_358",1347,2473,"Cell",0,"Young","0","Batch1","High"
"Cell_359",782,1223,"Cell",0,"Young","1","Batch1","Low"
"Cell_360",834,1382,"Cell",0,"Young","1","Batch1","Low"
"Cell_361",1258,2195,"Cell",0,"Young","4","Batch1","Low"
"Cell_362",746,1114,"Cell",0,"Young","0","Batch1","High"
"Cell_363",820,1352,"Cell",0,"Young","4","Batch1","Low"
"Cell_364",1068,1771,"Cell",0,"Young","2","Batch1","Low"
"Cell_365",1221,2304,"Cell",0,"Young","2","Batch1","Low"
"Cell_366",966,1487,"Cell",0,"Young","2","Batch1","Low"
"Cell_367",654,963,"Cell",0,"Young","2","Batch1","Low"
"Cell_368",2260,4931,"Cell",0,"Young","9","Batch1","Low"
"Cell_369",1344,2550,"Cell",0,"Young","6","Batch1","Low"
"Cell_370",1155,1947,"Cell",0,"Young","3","Batch1","Low"
"Cell_371",648,937,"Cell",0,"Young","3","Batch1","Low"
"Cell_372",1161,2029,"Cell",0,"Young","3","Batch1","Low"
"Cell_373",654,990,"Cell",0,"Young","3","Batch1","Low"
"Cell_374",881,1394,"Cell",0,"Young","3","Batch1","Low"
"Cell_375",1072,1706,"Cell",0,"Young","3","Batch1","Low"
"Cell_376",691,1021,"Cell",0,"Young","1","Batch1","Low"
"Cell_377",866,1392,"Cell",0,"Young","1","Batch1","Low"
"Cell_378",744,1250,"Cell",0,"Young","1","Batch1","Low"
"Cell_379",1286,2243,"Cell",0,"Young","3","Batch1","Low"
"Cell_380",1611,3325,"Cell",0,"Young","5","Batch1","Low"
"Cell_381",967,1645,"Cell",0,"Young","1","Batch1","Low"
"Cell_383",1553,2944,"Cell",0,"Young","3","Batch1","Low"
"Cell_384",699,1007,"Cell",0,"Young","1","Batch1","Low"
"Cell_385",1101,2264,"Cell",0,"Young","1","Batch1","Low"
"Cell_386",1718,3436,"Cell",0,"Young","0","Batch1","High"
"Cell_387",1240,2137,"Cell",0,"Young","1","Batch1","Low"
"Cell_388",700,1021,"Cell",0,"Young","0","Batch1","High"
"Cell_389",667,1015,"Cell",0,"Young","1","Batch1","Low"
"Cell_390",1465,2876,"Cell",0,"Young","5","Batch1","Low"
"Cell_391",652,946,"Cell",0,"Young","7","Batch1","Low"
"Cell_392",685,1050,"Cell",0,"Young","1","Batch1","Low"
"Cell_393",987,1738,"Cell",0,"Young","4","Batch1","Low"
"Cell_394",2209,5223,"Cell",0,"Young","7","Batch1","Low"
"Cell_395",867,1322,"Cell",0,"Young","2","Batch1","Low"
"Cell_396",680,1011,"Cell",0,"Young","4","Batch1","Low"
"Cell_397",931,1662,"Cell",0,"Young","2","Batch1","Low"
"Cell_398",752,1104,"Cell",0,"Young","1","Batch1","Low"
"Cell_399",949,1846,"Cell",0,"Young","0","Batch1","High"
"Cell_400",766,1169,"Cell",0,"Young","0","Batch1","High"
"Cell_401",791,1248,"Cell",0,"Young","2","Batch1","Low"
"Cell_402",722,1234,"Cell",0,"Young","0","Batch1","High"
"Cell_403",1080,2268,"Cell",0,"Young","1","Batch1","Low"
"Cell_404",1250,2207,"Cell",0,"Young","0","Batch1","High"
"Cell_405",2081,4901,"Cell",0,"Young","5","Batch1","Low"
"Cell_406",1009,1626,"Cell",0,"Young","0","Batch1","High"
"Cell_407",1792,3620,"Cell",0,"Young","4","Batch1","Low"
"Cell_408",851,1434,"Cell",0,"Young","3","Batch1","Low"
"Cell_409",1361,2772,"Cell",0,"Young","6","Batch1","Low"
"Cell_410",990,1624,"Cell",0,"Young","3","Batch1","Low"
"Cell_411",1150,2456,"Cell",0,"Young","4","Batch1","Low"
"Cell_412",1941,4680,"Cell",0,"Young","0","Batch1","High"
