"","CellType"
"Cell_23","Young"
"Cell_32","Young"
"Cell_85","Young"
"Cell_198","Young"
"Cell_236","Young"
"Cell_239","Young"
"Cell_253","Young"
"Cell_266","Young"
"Cell_319","Young"
"Cell_361","Young"
"Cell_447","Young"
"Cell_475","Young"
"Cell_504","Young"
"Cell_521","Young"
"Cell_556","Young"
"Cell_601","Young"
"Cell_645","Young"
"Cell_3310","Old"
"Cell_3910","Old"
"Cell_6610","Old"
"Cell_2281","Old"
"Cell_3061","Old"
"Cell_4601","Old"
"Cell_5501","Old"
"Cell_6131","Old"
"Cell_6201","Old"
"Cell_671","Old"
"Cell_686","Old"
"Cell_707","Old"
"Cell_736","Old"
"Cell_10","Young"
"Cell_13","Young"
"Cell_15","Young"
"Cell_52","Young"
"Cell_59","Young"
"Cell_96","Young"
"Cell_116","Young"
"Cell_136","Young"
"Cell_150","Young"
"Cell_153","Young"
"Cell_166","Young"
"Cell_172","Young"
"Cell_181","Young"
"Cell_200","Young"
"Cell_227","Young"
"Cell_255","Young"
"Cell_256","Young"
"Cell_264","Young"
"Cell_284","Young"
"Cell_332","Young"
"Cell_343","Young"
"Cell_367","Young"
"Cell_369","Young"
"Cell_371","Young"
"Cell_372","Young"
"Cell_378","Young"
"Cell_400","Young"
"Cell_415","Young"
"Cell_417","Young"
"Cell_423","Young"
"Cell_506","Young"
"Cell_543","Young"
"Cell_558","Young"
"Cell_564","Young"
"Cell_592","Young"
"Cell_596","Young"
"Cell_1191","Old"
"Cell_2641","Old"
"Cell_3661","Old"
"Cell_4591","Old"
"Cell_5941","Old"
"Cell_758","Old"
"Cell_3","Young"
"Cell_5","Young"
"Cell_9","Young"
"Cell_12","Young"
"Cell_17","Young"
"Cell_24","Young"
"Cell_25","Young"
"Cell_28","Young"
"Cell_30","Young"
"Cell_35","Young"
"Cell_38","Young"
"Cell_39","Young"
"Cell_40","Young"
"Cell_41","Young"
"Cell_42","Young"
"Cell_49","Young"
"Cell_51","Young"
"Cell_53","Young"
"Cell_60","Young"
"Cell_66","Young"
"Cell_70","Young"
"Cell_71","Young"
"Cell_72","Young"
"Cell_75","Young"
"Cell_77","Young"
"Cell_79","Young"
"Cell_80","Young"
"Cell_84","Young"
"Cell_95","Young"
"Cell_99","Young"
"Cell_101","Young"
"Cell_103","Young"
"Cell_104","Young"
"Cell_105","Young"
"Cell_114","Young"
"Cell_117","Young"
"Cell_118","Young"
"Cell_123","Young"
"Cell_125","Young"
"Cell_128","Young"
"Cell_134","Young"
"Cell_135","Young"
"Cell_141","Young"
"Cell_142","Young"
"Cell_144","Young"
"Cell_145","Young"
"Cell_149","Young"
"Cell_151","Young"
"Cell_152","Young"
"Cell_154","Young"
"Cell_156","Young"
"Cell_157","Young"
"Cell_160","Young"
"Cell_164","Young"
"Cell_165","Young"
"Cell_167","Young"
"Cell_168","Young"
"Cell_169","Young"
"Cell_175","Young"
"Cell_176","Young"
"Cell_179","Young"
"Cell_183","Young"
"Cell_184","Young"
"Cell_185","Young"
"Cell_188","Young"
"Cell_193","Young"
"Cell_194","Young"
"Cell_195","Young"
"Cell_201","Young"
"Cell_203","Young"
"Cell_205","Young"
"Cell_206","Young"
"Cell_209","Young"
"Cell_210","Young"
"Cell_213","Young"
"Cell_216","Young"
"Cell_219","Young"
"Cell_220","Young"
"Cell_225","Young"
"Cell_230","Young"
"Cell_232","Young"
"Cell_237","Young"
"Cell_238","Young"
"Cell_243","Young"
"Cell_245","Young"
"Cell_246","Young"
"Cell_259","Young"
"Cell_261","Young"
"Cell_262","Young"
"Cell_263","Young"
"Cell_267","Young"
"Cell_269","Young"
"Cell_270","Young"
"Cell_271","Young"
"Cell_273","Young"
"Cell_275","Young"
"Cell_277","Young"
"Cell_278","Young"
"Cell_279","Young"
"Cell_282","Young"
"Cell_285","Young"
"Cell_290","Young"
"Cell_292","Young"
"Cell_296","Young"
"Cell_297","Young"
"Cell_307","Young"
"Cell_310","Young"
"Cell_313","Young"
"Cell_318","Young"
"Cell_329","Young"
"Cell_333","Young"
"Cell_340","Young"
"Cell_341","Young"
"Cell_344","Young"
"Cell_349","Young"
"Cell_350","Young"
"Cell_352","Young"
"Cell_353","Young"
"Cell_355","Young"
"Cell_356","Young"
"Cell_358","Young"
"Cell_363","Young"
"Cell_366","Young"
"Cell_373","Young"
"Cell_377","Young"
"Cell_379","Young"
"Cell_383","Young"
"Cell_389","Young"
"Cell_397","Young"
"Cell_398","Young"
"Cell_405","Young"
"Cell_406","Young"
"Cell_407","Young"
"Cell_414","Young"
"Cell_416","Young"
"Cell_420","Young"
"Cell_422","Young"
"Cell_425","Young"
"Cell_429","Young"
"Cell_441","Young"
"Cell_442","Young"
"Cell_444","Young"
"Cell_446","Young"
"Cell_449","Young"
"Cell_450","Young"
"Cell_454","Young"
"Cell_457","Young"
"Cell_462","Young"
"Cell_465","Young"
"Cell_467","Young"
"Cell_468","Young"
"Cell_472","Young"
"Cell_474","Young"
"Cell_484","Young"
"Cell_486","Young"
"Cell_491","Young"
"Cell_492","Young"
"Cell_494","Young"
"Cell_495","Young"
"Cell_496","Young"
"Cell_509","Young"
"Cell_510","Young"
"Cell_513","Young"
"Cell_517","Young"
"Cell_525","Young"
"Cell_528","Young"
"Cell_529","Young"
"Cell_530","Young"
"Cell_533","Young"
"Cell_535","Young"
"Cell_540","Young"
"Cell_544","Young"
"Cell_546","Young"
"Cell_548","Young"
"Cell_549","Young"
"Cell_551","Young"
"Cell_553","Young"
"Cell_561","Young"
"Cell_566","Young"
"Cell_567","Young"
"Cell_573","Young"
"Cell_576","Young"
"Cell_584","Young"
"Cell_585","Young"
"Cell_590","Young"
"Cell_597","Young"
"Cell_598","Young"
"Cell_602","Young"
"Cell_604","Young"
"Cell_607","Young"
"Cell_609","Young"
"Cell_611","Young"
"Cell_615","Young"
"Cell_617","Young"
"Cell_621","Young"
"Cell_622","Young"
"Cell_623","Young"
"Cell_624","Young"
"Cell_626","Young"
"Cell_632","Young"
"Cell_633","Young"
"Cell_636","Young"
"Cell_639","Young"
"Cell_643","Young"
"Cell_644","Young"
"Cell_647","Young"
"Cell_2010","Old"
"Cell_2210","Old"
"Cell_2610","Old"
"Cell_2910","Old"
"Cell_3510","Old"
"Cell_6810","Old"
"Cell_7610","Old"
"Cell_1041","Old"
"Cell_1051","Old"
"Cell_1091","Old"
"Cell_1361","Old"
"Cell_1441","Old"
"Cell_1591","Old"
"Cell_1651","Old"
"Cell_1821","Old"
"Cell_1931","Old"
"Cell_2001","Old"
"Cell_2291","Old"
"Cell_2591","Old"
"Cell_2861","Old"
"Cell_2881","Old"
"Cell_3301","Old"
"Cell_3351","Old"
"Cell_3421","Old"
"Cell_3461","Old"
"Cell_3591","Old"
"Cell_3601","Old"
"Cell_3751","Old"
"Cell_3811","Old"
"Cell_3821","Old"
"Cell_4001","Old"
"Cell_4011","Old"
"Cell_4051","Old"
"Cell_4061","Old"
"Cell_4451","Old"
"Cell_4491","Old"
"Cell_4561","Old"
"Cell_4631","Old"
"Cell_4641","Old"
"Cell_4651","Old"
"Cell_4671","Old"
"Cell_4811","Old"
"Cell_4831","Old"
"Cell_5131","Old"
"Cell_5141","Old"
"Cell_5441","Old"
"Cell_5771","Old"
"Cell_5811","Old"
"Cell_5991","Old"
"Cell_6171","Old"
"Cell_6181","Old"
"Cell_6251","Old"
"Cell_658","Old"
"Cell_680","Old"
"Cell_691","Old"
"Cell_704","Old"
"Cell_734","Old"
"Cell_738","Old"
"Cell_740","Old"
"Cell_745","Old"
"Cell_752","Old"
"Cell_26","Young"
"Cell_36","Young"
"Cell_58","Young"
"Cell_61","Young"
"Cell_64","Young"
"Cell_82","Young"
"Cell_171","Young"
"Cell_173","Young"
"Cell_191","Young"
"Cell_199","Young"
"Cell_211","Young"
"Cell_240","Young"
"Cell_248","Young"
"Cell_254","Young"
"Cell_289","Young"
"Cell_293","Young"
"Cell_303","Young"
"Cell_323","Young"
"Cell_345","Young"
"Cell_364","Young"
"Cell_393","Young"
"Cell_403","Young"
"Cell_440","Young"
"Cell_481","Young"
"Cell_502","Young"
"Cell_520","Young"
"Cell_522","Young"
"Cell_527","Young"
"Cell_532","Young"
"Cell_550","Young"
"Cell_562","Young"
"Cell_574","Young"
"Cell_600","Young"
"Cell_810","Old"
"Cell_910","Old"
"Cell_1410","Old"
"Cell_1610","Old"
"Cell_7210","Old"
"Cell_1201","Old"
"Cell_1251","Old"
"Cell_1861","Old"
"Cell_1961","Old"
"Cell_2321","Old"
"Cell_3641","Old"
"Cell_3691","Old"
"Cell_3971","Old"
"Cell_4271","Old"
"Cell_4701","Old"
"Cell_6441","Old"
"Cell_712","Old"
"Cell_764","Old"
