"","CellType"
"Cell_257","Young"
"Cell_260","Young"
"Cell_264","Young"
"Cell_268","Young"
"Cell_272","Young"
"Cell_276","Young"
"Cell_280","Young"
"Cell_284","Young"
"Cell_294","Young"
"Cell_295","Young"
"Cell_298","Young"
"Cell_300","Young"
"Cell_304","Young"
"Cell_309","Young"
"Cell_311","Young"
"Cell_314","Young"
"Cell_315","Young"
"Cell_317","Young"
"Cell_321","Young"
"Cell_324","Young"
"Cell_325","Young"
"Cell_327","Young"
"Cell_328","Young"
"Cell_330","Young"
"Cell_332","Young"
"Cell_335","Young"
"Cell_338","Young"
"Cell_339","Young"
"Cell_342","Young"
"Cell_343","Young"
"Cell_346","Young"
"Cell_348","Young"
"Cell_351","Young"
"Cell_354","Young"
"Cell_360","Young"
"Cell_362","Young"
"Cell_367","Young"
"Cell_369","Young"
"Cell_371","Young"
"Cell_372","Young"
"Cell_374","Young"
"Cell_376","Young"
"Cell_378","Young"
"Cell_380","Young"
"Cell_381","Young"
"Cell_382","Young"
"Cell_388","Young"
"Cell_391","Young"
"Cell_396","Young"
"Cell_400","Young"
"Cell_401","Young"
"Cell_404","Young"
"Cell_410","Young"
"Cell_411","Young"
"Cell_412","Young"
"Cell_413","Young"
"Cell_415","Young"
"Cell_417","Young"
"Cell_419","Young"
"Cell_421","Young"
"Cell_423","Young"
"Cell_424","Young"
"Cell_431","Young"
"Cell_432","Young"
"Cell_434","Young"
"Cell_439","Young"
"Cell_448","Young"
"Cell_455","Young"
"Cell_456","Young"
"Cell_458","Young"
"Cell_460","Young"
"Cell_461","Young"
"Cell_470","Young"
"Cell_471","Young"
"Cell_473","Young"
"Cell_478","Young"
"Cell_487","Young"
"Cell_488","Young"
"Cell_489","Young"
"Cell_490","Young"
"Cell_493","Young"
"Cell_497","Young"
"Cell_498","Young"
"Cell_500","Young"
"Cell_501","Young"
"Cell_503","Young"
"Cell_505","Young"
"Cell_506","Young"
"Cell_507","Young"
"Cell_511","Young"
"Cell_512","Young"
"Cell_514","Young"
"Cell_516","Young"
"Cell_526","Young"
"Cell_531","Young"
"Cell_534","Young"
"Cell_539","Young"
"Cell_543","Young"
"Cell_547","Young"
"Cell_552","Young"
"Cell_554","Young"
"Cell_555","Young"
"Cell_558","Young"
"Cell_563","Young"
"Cell_564","Young"
"Cell_565","Young"
"Cell_569","Young"
"Cell_571","Young"
"Cell_572","Young"
"Cell_577","Young"
"Cell_580","Young"
"Cell_581","Young"
"Cell_583","Young"
"Cell_586","Young"
"Cell_587","Young"
"Cell_592","Young"
"Cell_593","Young"
"Cell_595","Young"
"Cell_596","Young"
"Cell_599","Young"
"Cell_610","Young"
"Cell_612","Young"
"Cell_618","Young"
"Cell_619","Young"
"Cell_625","Young"
"Cell_629","Young"
"Cell_634","Young"
"Cell_635","Young"
"Cell_638","Young"
"Cell_641","Young"
"Cell_2100","Old"
"Cell_1310","Old"
"Cell_2510","Old"
"Cell_3010","Old"
"Cell_3110","Old"
"Cell_3410","Old"
"Cell_4110","Old"
"Cell_4710","Old"
"Cell_4910","Old"
"Cell_5110","Old"
"Cell_6410","Old"
"Cell_7410","Old"
"Cell_801","Old"
"Cell_831","Old"
"Cell_841","Old"
"Cell_941","Old"
"Cell_951","Old"
"Cell_1061","Old"
"Cell_1071","Old"
"Cell_1141","Old"
"Cell_1161","Old"
"Cell_1181","Old"
"Cell_1191","Old"
"Cell_1231","Old"
"Cell_1241","Old"
"Cell_1331","Old"
"Cell_1341","Old"
"Cell_1351","Old"
"Cell_1401","Old"
"Cell_1511","Old"
"Cell_1561","Old"
"Cell_1601","Old"
"Cell_1611","Old"
"Cell_1691","Old"
"Cell_1711","Old"
"Cell_1751","Old"
"Cell_1771","Old"
"Cell_1791","Old"
"Cell_1801","Old"
"Cell_1811","Old"
"Cell_1841","Old"
"Cell_1871","Old"
"Cell_1921","Old"
"Cell_1971","Old"
"Cell_2051","Old"
"Cell_2221","Old"
"Cell_2301","Old"
"Cell_2331","Old"
"Cell_2351","Old"
"Cell_2411","Old"
"Cell_2571","Old"
"Cell_2601","Old"
"Cell_2621","Old"
"Cell_2641","Old"
"Cell_2661","Old"
"Cell_2701","Old"
"Cell_2811","Old"
"Cell_2821","Old"
"Cell_2871","Old"
"Cell_2891","Old"
"Cell_2931","Old"
"Cell_2981","Old"
"Cell_3001","Old"
"Cell_3021","Old"
"Cell_3091","Old"
"Cell_3111","Old"
"Cell_3121","Old"
"Cell_3171","Old"
"Cell_3181","Old"
"Cell_3211","Old"
"Cell_3311","Old"
"Cell_3381","Old"
"Cell_3391","Old"
"Cell_3611","Old"
"Cell_3631","Old"
"Cell_3651","Old"
"Cell_3661","Old"
"Cell_3671","Old"
"Cell_3741","Old"
"Cell_3771","Old"
"Cell_3801","Old"
"Cell_3871","Old"
"Cell_3931","Old"
"Cell_3991","Old"
"Cell_4101","Old"
"Cell_4181","Old"
"Cell_4291","Old"
"Cell_4381","Old"
"Cell_4441","Old"
"Cell_4501","Old"
"Cell_4531","Old"
"Cell_4541","Old"
"Cell_4581","Old"
"Cell_4591","Old"
"Cell_4621","Old"
"Cell_4771","Old"
"Cell_4851","Old"
"Cell_4871","Old"
"Cell_4891","Old"
"Cell_4901","Old"
"Cell_4981","Old"
