"","CellType"
"Cell_1","Young"
"Cell_8","Young"
"Cell_18","Young"
"Cell_34","Young"
"Cell_37","Young"
"Cell_45","Young"
"Cell_56","Young"
"Cell_87","Young"
"Cell_102","Young"
"Cell_106","Young"
"Cell_113","Young"
"Cell_127","Young"
"Cell_143","Young"
"Cell_159","Young"
"Cell_177","Young"
"Cell_196","Young"
"Cell_223","Young"
"Cell_231","Young"
"Cell_234","Young"
"Cell_249","Young"
"Cell_258","Young"
"Cell_274","Young"
"Cell_281","Young"
"Cell_283","Young"
"Cell_306","Young"
"Cell_312","Young"
"Cell_316","Young"
"Cell_337","Young"
"Cell_357","Young"
"Cell_359","Young"
"Cell_385","Young"
"Cell_399","Young"
"Cell_402","Young"
"Cell_408","Young"
"Cell_426","Young"
"Cell_433","Young"
"Cell_453","Young"
"Cell_459","Young"
"Cell_464","Young"
"Cell_476","Young"
"Cell_482","Young"
"Cell_515","Young"
"Cell_523","Young"
"Cell_536","Young"
"Cell_542","Young"
"Cell_559","Young"
"Cell_568","Young"
"Cell_570","Young"
"Cell_582","Young"
"Cell_605","Young"
"Cell_620","Young"
"Cell_631","Young"
"Cell_1100","Old"
"Cell_1210","Old"
"Cell_1510","Old"
"Cell_1710","Old"
"Cell_2810","Old"
"Cell_5310","Old"
"Cell_6910","Old"
"Cell_781","Old"
"Cell_871","Old"
"Cell_891","Old"
"Cell_931","Old"
"Cell_1081","Old"
"Cell_1271","Old"
"Cell_1381","Old"
"Cell_1581","Old"
"Cell_1701","Old"
"Cell_1981","Old"
"Cell_2021","Old"
"Cell_2081","Old"
"Cell_2091","Old"
"Cell_2141","Old"
"Cell_2271","Old"
"Cell_2421","Old"
"Cell_2461","Old"
"Cell_2471","Old"
"Cell_2501","Old"
"Cell_2541","Old"
"Cell_2561","Old"
"Cell_2581","Old"
"Cell_2781","Old"
"Cell_2841","Old"
"Cell_3011","Old"
"Cell_3131","Old"
"Cell_3271","Old"
"Cell_3321","Old"
"Cell_3331","Old"
"Cell_3451","Old"
"Cell_3481","Old"
"Cell_3731","Old"
"Cell_3761","Old"
"Cell_3851","Old"
"Cell_3901","Old"
"Cell_3911","Old"
"Cell_3951","Old"
"Cell_4021","Old"
"Cell_4211","Old"
"Cell_4221","Old"
"Cell_4361","Old"
"Cell_4421","Old"
"Cell_4431","Old"
"Cell_4721","Old"
"Cell_4841","Old"
"Cell_5021","Old"
"Cell_5201","Old"
"Cell_5301","Old"
"Cell_5341","Old"
"Cell_5481","Old"
"Cell_5591","Old"
"Cell_5701","Old"
"Cell_5721","Old"
"Cell_5751","Old"
"Cell_5801","Old"
"Cell_5821","Old"
"Cell_5881","Old"
"Cell_6021","Old"
"Cell_6141","Old"
"Cell_6211","Old"
"Cell_6291","Old"
"Cell_6371","Old"
"Cell_6461","Old"
"Cell_672","Old"
"Cell_675","Old"
"Cell_682","Old"
"Cell_693","Old"
"Cell_699","Old"
"Cell_724","Old"
"Cell_739","Old"
"Cell_767","Old"
"Cell_44","Young"
"Cell_86","Young"
"Cell_92","Young"
"Cell_229","Young"
"Cell_324","Young"
"Cell_455","Young"
"Cell_526","Young"
"Cell_5111","Old"
"Cell_706","Old"
"Cell_4731","Old"
"Cell_94","Young"
"Cell_384","Young"
"Cell_560","Young"
"Cell_3581","Old"
