"","nGene","nUMI","orig.ident","percent.mito","CellType","Collagenase_dependent1","res.0.6"
"Cell_659",726,1056,"Cell",0,"Young",-0.276927150164921,"0"
"Cell_660",804,1167,"Cell",0,"Young",0.04028163211896,"2"
"Cell_661",1181,2347,"Cell",0,"Young",0.304083701225647,"1"
"Cell_662",1064,1782,"Cell",0,"Young",-0.0745844258127745,"0"
"Cell_663",714,1140,"Cell",0,"Young",-0.254214612546954,"0"
"Cell_664",959,1656,"Cell",0,"Young",0.20693241935464,"3"
"Cell_665",830,1318,"Cell",0,"Young",-0.0768268824835078,"0"
"Cell_666",1312,2343,"Cell",0,"Young",-0.116237074985011,"3"
"Cell_667",700,1213,"Cell",0,"Young",0.0205062057612305,"2"
"Cell_668",2028,4943,"Cell",0,"Young",0.256341364171569,"6"
"Cell_669",722,1105,"Cell",0,"Young",-0.227978363488521,"0"
"Cell_670",712,1102,"Cell",0,"Young",-0.484899183378095,"0"
"Cell_671",1126,2089,"Cell",0,"Young",0.364010186537456,"8"
"Cell_672",1621,2990,"Cell",0,"Young",0.265639212599519,"2"
"Cell_673",892,1346,"Cell",0,"Young",-0.258060629759356,"3"
"Cell_674",949,1558,"Cell",0,"Young",-0.476609390966718,"1"
"Cell_675",2015,4602,"Cell",0,"Young",0.340627810048029,"7"
"Cell_676",795,1286,"Cell",0,"Young",0.431110583367366,"4"
"Cell_677",981,1687,"Cell",0,"Young",-0.222265966581013,"0"
"Cell_678",648,964,"Cell",0,"Young",-0.39235630286256,"0"
"Cell_679",835,1300,"Cell",0,"Young",-0.272769440171985,"0"
"Cell_680",1661,3640,"Cell",0,"Young",-0.212030865359874,"1"
"Cell_681",1739,3777,"Cell",0,"Young",-0.0853427695448273,"1"
"Cell_682",639,917,"Cell",0,"Young",0.00182618561080772,"2"
"Cell_683",942,1484,"Cell",0,"Young",0.104280345120905,"2"
"Cell_684",930,1583,"Cell",0,"Young",-0.518827360009451,"5"
"Cell_685",580,978,"Cell",0,"Young",0.119256903545311,"2"
"Cell_686",914,1889,"Cell",0,"Young",-0.282908457201766,"0"
"Cell_687",1722,3733,"Cell",0,"Young",0.647370280114151,"4"
"Cell_688",717,1038,"Cell",0,"Young",0.113335083475165,"1"
"Cell_689",1482,3594,"Cell",0,"Young",1.02665310207865,"6"
"Cell_690",832,1337,"Cell",0,"Young",-0.280070774988385,"1"
"Cell_691",758,1158,"Cell",0,"Young",-0.00199126690020157,"3"
"Cell_692",1419,2820,"Cell",0,"Young",-0.265174994654915,"1"
"Cell_693",700,988,"Cell",0,"Young",0.0511951363403411,"4"
"Cell_694",727,1141,"Cell",0,"Young",0.11083009443681,"3"
"Cell_695",1599,2727,"Cell",0,"Young",-0.321457469683794,"3"
"Cell_696",1436,2766,"Cell",0,"Young",0.490123389027307,"3"
"Cell_697",1599,3383,"Cell",0,"Young",-0.0798841040728788,"5"
"Cell_698",1267,2065,"Cell",0,"Young",0.368086707142918,"1"
"Cell_699",858,1361,"Cell",0,"Young",-0.316953409758222,"0"
"Cell_700",991,1860,"Cell",0,"Young",-0.150089435804938,"0"
"Cell_701",981,1519,"Cell",0,"Young",0.463563540396061,"4"
"Cell_702",793,1375,"Cell",0,"Young",-0.535921895864852,"0"
"Cell_703",1207,2232,"Cell",0,"Young",-0.181788359185011,"3"
"Cell_704",816,1262,"Cell",0,"Young",0.328704583982575,"4"
"Cell_705",2072,5445,"Cell",0,"Young",-0.275472476029991,"1"
"Cell_706",1122,1951,"Cell",0,"Young",-0.0889067535330671,"5"
"Cell_707",1245,2235,"Cell",0,"Young",0.471340703005661,"3"
"Cell_708",1141,2025,"Cell",0,"Young",-0.176004041155993,"0"
"Cell_709",590,1255,"Cell",0,"Young",-0.0356944605809444,"2"
"Cell_710",767,1185,"Cell",0,"Young",-0.208438727361711,"0"
"Cell_712",1163,1953,"Cell",0,"Young",-0.297237377702362,"3"
"Cell_713",927,1565,"Cell",0,"Young",-0.28880527807367,"0"
"Cell_714",609,924,"Cell",0,"Young",-0.0731797577490194,"1"
"Cell_715",857,1342,"Cell",0,"Young",0.292206804374001,"2"
"Cell_716",1323,2531,"Cell",0,"Young",0.191470356647572,"1"
"Cell_717",832,1367,"Cell",0,"Young",-0.411820722437382,"4"
"Cell_718",934,1627,"Cell",0,"Young",0.000133395998464292,"2"
"Cell_719",904,1525,"Cell",0,"Young",-0.459726056273329,"0"
"Cell_720",1394,2563,"Cell",0,"Young",0.0436596047033585,"5"
"Cell_721",844,1376,"Cell",0,"Young",-0.273222921319143,"0"
"Cell_722",1115,2049,"Cell",0,"Young",-0.0205552338777506,"3"
"Cell_723",1391,3071,"Cell",0,"Young",-0.198902058811272,"1"
"Cell_724",765,1253,"Cell",0,"Young",-0.335940270079588,"0"
"Cell_725",1473,2911,"Cell",0,"Young",-0.13492821364359,"5"
"Cell_726",649,1016,"Cell",0,"Young",-0.0743731641653912,"0"
"Cell_727",1963,4471,"Cell",0,"Young",-0.162553927895684,"1"
"Cell_729",1853,4111,"Cell",0,"Young",1.21514983360285,"6"
"Cell_730",1586,3303,"Cell",0,"Young",0.48696641891055,"6"
"Cell_732",971,1575,"Cell",0,"Young",-0.123793996591602,"3"
"Cell_733",939,1676,"Cell",0,"Young",-0.0907445978106782,"4"
"Cell_734",692,1147,"Cell",0,"Young",0.0509942792280106,"2"
"Cell_735",847,1331,"Cell",0,"Young",-0.155832006558179,"2"
"Cell_736",880,1396,"Cell",0,"Young",-0.228141805779998,"3"
"Cell_737",1701,3518,"Cell",0,"Young",-0.389491563255055,"5"
"Cell_738",1298,2174,"Cell",0,"Young",-0.22570570289368,"1"
"Cell_739",989,1727,"Cell",0,"Young",0.0994536464842668,"2"
"Cell_740",653,926,"Cell",0,"Young",0.0963844946193416,"2"
"Cell_741",1897,4158,"Cell",0,"Young",0.0818802575525264,"5"
"Cell_742",993,1647,"Cell",0,"Young",-0.0413831541413977,"0"
"Cell_743",2033,4541,"Cell",0,"Young",-0.108389829867977,"2"
"Cell_744",1019,1659,"Cell",0,"Young",0.328579693952266,"2"
"Cell_745",841,1370,"Cell",0,"Young",0.221448552491979,"2"
