"","nGene","nUMI","orig.ident","percent.mito","CellType","Collagenase_dependent1","res.0.6"
"Cell_1156",1782,3745,"Cell",0,"Young",-0.15159536490427,"0"
"Cell_1157",589,976,"Cell",0,"Young",0.838194665028158,"2"
"Cell_1158",1186,2091,"Cell",0,"Young",-0.286176179088651,"3"
"Cell_1159",1006,1616,"Cell",0,"Young",-0.468933991685908,"0"
"Cell_1160",792,1248,"Cell",0,"Young",0.222172782545914,"2"
"Cell_1161",1305,2512,"Cell",0,"Young",-0.126391385758009,"1"
"Cell_1162",1003,1764,"Cell",0,"Young",0.294001357106407,"2"
"Cell_1163",1618,2826,"Cell",0,"Young",-0.214543622504957,"8"
"Cell_1165",1460,4460,"Cell",0,"Young",0.0571555927556835,"9"
"Cell_1166",985,1643,"Cell",0,"Young",-0.00471197702577708,"5"
"Cell_1167",780,1263,"Cell",0,"Young",-0.137758820400847,"2"
"Cell_1168",707,1049,"Cell",0,"Young",0.279601771221373,"1"
"Cell_1169",1938,3896,"Cell",0,"Young",0.0513537955932536,"8"
"Cell_1170",1682,3126,"Cell",0,"Young",0.509147660623434,"4"
"Cell_1171",950,1469,"Cell",0,"Young",-0.224801178195856,"1"
"Cell_1172",611,900,"Cell",0,"Young",-0.0943881042329226,"0"
"Cell_1173",684,1108,"Cell",0,"Young",0.446674208432537,"2"
"Cell_1174",898,1531,"Cell",0,"Young",-0.0542344776395622,"2"
"Cell_1175",2090,4475,"Cell",0,"Young",-0.0446999689425368,"3"
"Cell_1176",716,1082,"Cell",0,"Young",-0.055337188201069,"1"
"Cell_1177",815,1258,"Cell",0,"Young",0.256293627357226,"3"
"Cell_1178",937,1620,"Cell",0,"Young",-0.214148972869442,"0"
"Cell_1180",1917,4456,"Cell",0,"Young",-0.258483684938211,"0"
"Cell_1181",626,936,"Cell",0,"Young",-0.114807481950682,"3"
"Cell_1182",853,1356,"Cell",0,"Young",-0.0780258204454443,"1"
"Cell_1183",834,1300,"Cell",0,"Young",-0.0227018271009169,"1"
"Cell_1184",876,1379,"Cell",0,"Young",0.0337896525560427,"2"
"Cell_1185",1081,1795,"Cell",0,"Young",0.0429144796272445,"3"
"Cell_1186",2003,4425,"Cell",0,"Young",0.0588283539005019,"2"
"Cell_1187",1229,2625,"Cell",0,"Young",0.596126241256477,"6"
"Cell_1188",1236,2375,"Cell",0,"Young",-0.0812888595339057,"1"
"Cell_1189",960,1687,"Cell",0,"Young",0.0361686482924927,"2"
"Cell_1190",1048,1801,"Cell",0,"Young",-0.383732573629622,"5"
"Cell_1191",1394,8689,"Cell",0,"Young",-0.334098456865626,"4"
"Cell_1192",674,1028,"Cell",0,"Young",-0.0933552208580944,"0"
"Cell_1193",796,1223,"Cell",0,"Young",-0.024836577015936,"3"
"Cell_1194",989,1644,"Cell",0,"Young",0.179605977188665,"1"
"Cell_1195",984,1554,"Cell",0,"Young",0.138884919953596,"2"
"Cell_1196",669,1033,"Cell",0,"Young",0.00192517613739152,"2"
"Cell_1197",921,1479,"Cell",0,"Young",-0.383196410571866,"1"
"Cell_1198",1496,3112,"Cell",0,"Young",0.353869555545378,"6"
"Cell_1199",1008,1663,"Cell",0,"Young",-0.244637419320836,"3"
"Cell_1200",1026,1759,"Cell",0,"Young",0.115648662772298,"4"
"Cell_1201",1185,2081,"Cell",0,"Young",-0.162478114043002,"8"
"Cell_1202",621,950,"Cell",0,"Young",0.12644911231501,"2"
"Cell_1203",1145,2117,"Cell",0,"Young",0.270826977411474,"2"
"Cell_1204",1625,3194,"Cell",0,"Young",-0.0293348456463254,"1"
"Cell_1205",2178,5174,"Cell",0,"Young",0.45868189377532,"3"
"Cell_1206",1274,2623,"Cell",0,"Young",-0.325203450815216,"0"
"Cell_1207",638,990,"Cell",0,"Young",0.0105417500897929,"2"
"Cell_1208",1186,2205,"Cell",0,"Young",0.117959895059163,"4"
"Cell_1209",1601,3620,"Cell",0,"Young",0.0361553565054415,"6"
"Cell_1210",1073,1723,"Cell",0,"Young",-0.412665992569515,"1"
"Cell_1211",699,1081,"Cell",0,"Young",-0.281132726905387,"1"
"Cell_1212",868,1312,"Cell",0,"Young",-0.363066742821499,"0"
"Cell_1213",724,1053,"Cell",0,"Young",-0.0499937673517507,"0"
"Cell_1214",1002,1759,"Cell",0,"Young",0.16758541072326,"3"
"Cell_1215",1496,2802,"Cell",0,"Young",-0.535860375318716,"0"
"Cell_1216",1046,1797,"Cell",0,"Young",-0.0505416948311997,"0"
"Cell_1217",787,1356,"Cell",0,"Young",-0.305822393991662,"5"
"Cell_1218",1772,3755,"Cell",0,"Young",-0.141000944772034,"5"
"Cell_1219",1952,4083,"Cell",0,"Young",0.303142010180652,"3"
"Cell_1220",641,1148,"Cell",0,"Young",-0.279798493917239,"7"
"Cell_1221",637,954,"Cell",0,"Young",-0.191149144375051,"5"
"Cell_1222",799,1174,"Cell",0,"Young",0.027105035645411,"2"
"Cell_1223",1288,2291,"Cell",0,"Young",0.286294313076628,"2"
"Cell_1224",750,1133,"Cell",0,"Young",-0.146205207803847,"1"
"Cell_1225",859,1407,"Cell",0,"Young",-0.475508914331738,"1"
"Cell_1226",684,957,"Cell",0,"Young",0.219825309237741,"2"
"Cell_1227",1258,2283,"Cell",0,"Young",-0.283016700940091,"3"
"Cell_1228",1675,3558,"Cell",0,"Young",0.587769875471207,"8"
"Cell_1229",1698,3493,"Cell",0,"Young",-0.00234412544273255,"2"
"Cell_1230",646,942,"Cell",0,"Young",-0.481458891268672,"0"
"Cell_1231",1171,2084,"Cell",0,"Young",-0.0585511678356735,"4"
"Cell_1232",1084,1854,"Cell",0,"Young",0.0540257727054193,"1"
"Cell_1233",1765,3590,"Cell",0,"Young",0.280645495075961,"3"
"Cell_1234",744,1109,"Cell",0,"Young",0.0882010919801295,"0"
"Cell_1235",1128,2111,"Cell",0,"Young",-0.000420444737806447,"6"
"Cell_1236",705,1149,"Cell",0,"Young",-0.410526755149245,"0"
"Cell_1237",675,942,"Cell",0,"Young",-0.115578226695852,"2"
"Cell_1238",892,1377,"Cell",0,"Young",-0.114196033813552,"3"
"Cell_1239",1505,2847,"Cell",0,"Young",0.1981872431436,"3"
"Cell_1240",852,1289,"Cell",0,"Young",0.103624070678616,"3"
"Cell_1241",918,1487,"Cell",0,"Young",-0.232083183514351,"0"
"Cell_1242",1013,1726,"Cell",0,"Young",0.339199987343846,"2"
"Cell_1243",1458,2589,"Cell",0,"Young",0.446349710155856,"2"
"Cell_1244",647,1044,"Cell",0,"Young",-0.336459647827473,"5"
"Cell_1245",984,1576,"Cell",0,"Young",0.423114056846007,"2"
"Cell_1246",1285,2352,"Cell",0,"Young",0.768469101185081,"6"
"Cell_1247",1102,2116,"Cell",0,"Young",0.0658157568862365,"2"
"Cell_1248",766,1134,"Cell",0,"Young",-0.21138333720567,"0"
"Cell_1249",1634,3335,"Cell",0,"Young",-0.137572164854597,"5"
"Cell_1251",1134,2164,"Cell",0,"Young",-0.299590419372737,"0"
"Cell_1252",1147,1889,"Cell",0,"Young",-0.151506207257713,"5"
"Cell_1253",645,983,"Cell",0,"Young",-0.274188178997221,"0"
"Cell_1254",1143,2276,"Cell",0,"Young",-0.204492557978931,"0"
"Cell_1255",1283,2632,"Cell",0,"Young",-0.413200438616813,"1"
"Cell_1256",882,1423,"Cell",0,"Young",-0.470583829713903,"0"
"Cell_1257",861,1461,"Cell",0,"Young",-0.389192000158237,"0"
"Cell_1258",901,1423,"Cell",0,"Young",-0.0520078625575161,"3"
"Cell_1259",686,1014,"Cell",0,"Young",-0.634812469313256,"0"
"Cell_1260",676,1063,"Cell",0,"Young",0.107520012390479,"1"
"Cell_1261",1725,3691,"Cell",0,"Young",0.418788801841835,"6"
"Cell_1262",1024,1876,"Cell",0,"Young",-0.265681841679694,"1"
"Cell_1263",1192,2427,"Cell",0,"Young",0.0482577164582056,"1"
"Cell_1264",2270,4856,"Cell",0,"Young",-0.0266126113730412,"8"
"Cell_1265",772,1190,"Cell",0,"Young",-0.124040836370953,"2"
"Cell_1266",623,940,"Cell",0,"Young",-0.466417495272055,"0"
"Cell_1267",1266,2469,"Cell",0,"Young",-0.220045069275311,"8"
"Cell_1268",861,1497,"Cell",0,"Young",-0.205771526243709,"5"
"Cell_1269",750,1316,"Cell",0,"Young",-0.135658447684892,"0"
"Cell_1270",1147,2206,"Cell",0,"Young",-0.429001328705743,"1"
"Cell_1271",917,1513,"Cell",0,"Young",-0.053189453688778,"2"
"Cell_1272",1442,2733,"Cell",0,"Young",-0.228081575344958,"3"
"Cell_1273",776,1171,"Cell",0,"Young",-0.459690106929615,"0"
"Cell_1274",1957,4643,"Cell",0,"Young",0.0986525379688228,"6"
"Cell_1275",1284,2331,"Cell",0,"Young",-0.206119997951792,"3"
"Cell_1276",966,1573,"Cell",0,"Young",0.206661629178911,"3"
"Cell_1277",957,1637,"Cell",0,"Young",0.480115410317004,"2"
"Cell_1278",594,899,"Cell",0,"Young",0.00684303094417238,"1"
"Cell_1279",654,970,"Cell",0,"Young",-0.259704561593226,"0"
"Cell_1280",720,1019,"Cell",0,"Young",0.136586381837801,"3"
"Cell_1281",1014,1765,"Cell",0,"Young",-0.198012408314049,"0"
"Cell_1282",1896,4046,"Cell",0,"Young",0.218178315987287,"7"
"Cell_1283",743,1043,"Cell",0,"Young",-0.16644396214314,"0"
"Cell_1284",1012,1825,"Cell",0,"Young",0.282718248681741,"2"
"Cell_1285",793,1260,"Cell",0,"Young",-0.12580667667775,"2"
"Cell_1286",776,1296,"Cell",0,"Young",-0.268226857986888,"0"
"Cell_1287",1988,4205,"Cell",0,"Young",-0.174128603929739,"5"
"Cell_1288",630,947,"Cell",0,"Young",-0.298732475829505,"4"
"Cell_1289",998,1839,"Cell",0,"Young",-0.29086475798533,"3"
"Cell_1290",801,1226,"Cell",0,"Young",0.0868646874788364,"1"
"Cell_1291",1297,2475,"Cell",0,"Young",-0.278745873458619,"5"
"Cell_1292",1822,3770,"Cell",0,"Young",-0.0423491644202815,"5"
"Cell_1293",1880,4395,"Cell",0,"Young",0.00535191792857215,"4"
"Cell_1294",1589,3398,"Cell",0,"Young",0.395635649144221,"2"
"Cell_1295",795,1125,"Cell",0,"Young",-0.29845368980995,"3"
"Cell_1296",721,1056,"Cell",0,"Young",-0.080470327404874,"3"
"Cell_1297",1458,2636,"Cell",0,"Young",0.53851007304579,"8"
"Cell_1298",908,1631,"Cell",0,"Young",0.1816929616552,"5"
"Cell_1299",1049,1836,"Cell",0,"Young",-0.240584706558033,"0"
"Cell_1300",1139,2077,"Cell",0,"Young",-0.234834293765957,"0"
"Cell_1301",695,1018,"Cell",0,"Young",-0.353112645553858,"1"
"Cell_1302",842,1312,"Cell",0,"Young",-0.179944070733495,"3"
"Cell_1303",774,1296,"Cell",0,"Young",-0.137221015351564,"5"
"Cell_1304",887,1607,"Cell",0,"Young",-0.317420050325441,"0"
"Cell_1305",1518,3064,"Cell",0,"Young",0.40466892160788,"2"
"Cell_1306",689,996,"Cell",0,"Young",-0.0749779212563639,"2"
"Cell_1307",884,1616,"Cell",0,"Young",-0.392715417603031,"3"
"Cell_1308",871,1327,"Cell",0,"Young",-0.141262170670113,"2"
"Cell_1309",1668,3515,"Cell",0,"Young",0.096006733849639,"2"
"Cell_1310",940,1616,"Cell",0,"Young",0.00752971133049229,"1"
"Cell_1311",1547,3207,"Cell",0,"Young",-0.138975583175731,"0"
"Cell_1312",775,1239,"Cell",0,"Young",0.480126034754616,"3"
"Cell_1313",1189,2006,"Cell",0,"Young",-0.391796238768588,"3"
"Cell_1314",711,1403,"Cell",0,"Young",-0.556476729963153,"0"
"Cell_1315",1823,4258,"Cell",0,"Young",0.562390137526217,"6"
"Cell_1316",700,1097,"Cell",0,"Young",-0.234903514837862,"0"
"Cell_1317",1184,2165,"Cell",0,"Young",0.499479002886205,"2"
"Cell_1318",661,990,"Cell",0,"Young",0.0260727366047798,"1"
"Cell_1319",802,1179,"Cell",0,"Young",-0.133915537656499,"3"
"Cell_1320",1396,2803,"Cell",0,"Young",0.234955930381082,"2"
"Cell_1321",1067,1785,"Cell",0,"Young",0.283231711636276,"2"
"Cell_1322",918,1372,"Cell",0,"Young",-0.128908154437942,"1"
"Cell_1323",699,1110,"Cell",0,"Young",0.0107112636668609,"2"
"Cell_1324",1176,2085,"Cell",0,"Young",0.149653037115309,"6"
"Cell_1325",1102,1980,"Cell",0,"Young",0.315319048260385,"3"
"Cell_1326",667,1023,"Cell",0,"Young",-0.0487722696998019,"2"
"Cell_1327",901,1489,"Cell",0,"Young",-0.258619425151325,"0"
"Cell_1328",967,1590,"Cell",0,"Young",-0.0714923662942277,"2"
"Cell_1329",816,1283,"Cell",0,"Young",-0.32046373511541,"0"
"Cell_1330",2457,5516,"Cell",0,"Young",0.800531436276345,"8"
"Cell_1331",1013,1766,"Cell",0,"Young",-0.147429914405666,"3"
"Cell_1333",1465,2989,"Cell",0,"Young",-0.164829960981972,"5"
"Cell_1334",1545,3436,"Cell",0,"Young",0.864714271834153,"6"
"Cell_1335",755,1126,"Cell",0,"Young",0.273143316472165,"2"
"Cell_1336",2045,4634,"Cell",0,"Young",-0.238153669025521,"1"
"Cell_1337",1059,1823,"Cell",0,"Young",-0.522495169501909,"0"
"Cell_1338",1190,1946,"Cell",0,"Young",0.370938920661583,"2"
"Cell_1339",739,1132,"Cell",0,"Young",0.228921520279709,"2"
"Cell_1340",813,1304,"Cell",0,"Young",0.125153138723896,"2"
"Cell_1341",905,1498,"Cell",0,"Young",0.356806026540174,"3"
"Cell_1342",828,1982,"Cell",0,"Young",-0.102141459784982,"9"
"Cell_1343",1500,3262,"Cell",0,"Young",-0.349561138535959,"0"
"Cell_1344",1065,1756,"Cell",0,"Young",-0.233416418402867,"3"
"Cell_1345",1916,4218,"Cell",0,"Young",0.113030147323136,"2"
"Cell_1346",1549,2964,"Cell",0,"Young",-0.168892417305812,"1"
"Cell_1347",970,1498,"Cell",0,"Young",0.384690584009569,"2"
"Cell_1348",760,1199,"Cell",0,"Young",-0.20362727555973,"0"
"Cell_1349",977,1750,"Cell",0,"Young",0.581724536412315,"2"
"Cell_1350",1139,2107,"Cell",0,"Young",-0.366295363895016,"0"
"Cell_1351",643,975,"Cell",0,"Young",0.0593769783952268,"2"
"Cell_1352",843,1344,"Cell",0,"Young",-0.00465853139454753,"1"
"Cell_1353",629,917,"Cell",0,"Young",0.049910013136643,"0"
"Cell_1354",847,1371,"Cell",0,"Young",-0.166866935097621,"0"
"Cell_1355",700,1094,"Cell",0,"Young",0.966602468625977,"6"
"Cell_1356",830,1386,"Cell",0,"Young",-0.278491014380857,"0"
"Cell_1357",886,1464,"Cell",0,"Young",-0.104002405338348,"1"
"Cell_1358",1411,2461,"Cell",0,"Young",0.0108954513710005,"3"
"Cell_1359",687,1087,"Cell",0,"Young",0.0654011309924017,"3"
"Cell_1360",604,1019,"Cell",0,"Young",-0.00174798013772925,"2"
"Cell_1361",863,1404,"Cell",0,"Young",-0.170712571270072,"3"
"Cell_1362",913,1772,"Cell",0,"Young",0.239962402079486,"2"
"Cell_1363",956,1565,"Cell",0,"Young",-0.0191301277516773,"2"
"Cell_1364",758,1224,"Cell",0,"Young",-0.342920351870466,"0"
"Cell_1365",746,1121,"Cell",0,"Young",0.111908494768108,"2"
"Cell_1366",962,1779,"Cell",0,"Young",0.530608734193335,"2"
"Cell_1367",1995,4843,"Cell",0,"Young",0.0490331714795047,"5"
"Cell_1368",1077,1842,"Cell",0,"Young",1.03564814796797,"2"
"Cell_1369",1701,3879,"Cell",0,"Young",0.732683345477605,"6"
"Cell_1370",641,1048,"Cell",0,"Young",-0.156119494644354,"1"
"Cell_1371",1284,2409,"Cell",0,"Young",-0.0900387266774243,"2"
"Cell_1372",608,939,"Cell",0,"Young",0.112443550558718,"3"
"Cell_1373",1295,2058,"Cell",0,"Young",0.414812581525268,"4"
"Cell_1374",2465,6592,"Cell",0,"Young",-0.100045004307957,"1"
"Cell_1375",1106,1941,"Cell",0,"Young",0.308632017559252,"2"
"Cell_1376",934,1713,"Cell",0,"Young",-0.20705763370913,"0"
"Cell_1377",573,910,"Cell",0,"Young",0.984318925683936,"2"
"Cell_1378",948,1507,"Cell",0,"Young",0.0253441082775042,"3"
"Cell_1379",639,1073,"Cell",0,"Young",0.0232520527970188,"2"
"Cell_1381",1054,1851,"Cell",0,"Young",-0.248621084197178,"1"
"Cell_1382",577,964,"Cell",0,"Young",-0.345634404383698,"0"
"Cell_1383",912,1481,"Cell",0,"Young",-0.187883963517755,"3"
"Cell_1384",2009,4092,"Cell",0,"Young",-0.0908258352287843,"5"
"Cell_1385",1070,1956,"Cell",0,"Young",-0.0957779328777015,"2"
"Cell_1386",799,1289,"Cell",0,"Young",-0.2268367017201,"1"
"Cell_1387",847,1278,"Cell",0,"Young",-0.481564293307607,"0"
"Cell_1388",1145,1943,"Cell",0,"Young",-0.482802432673034,"1"
"Cell_1389",709,1075,"Cell",0,"Young",0.0200228057340591,"1"
"Cell_1390",2100,5772,"Cell",0,"Young",-0.23639723417064,"5"
"Cell_1391",741,1186,"Cell",0,"Young",0.0185820336080034,"2"
"Cell_1392",825,1391,"Cell",0,"Young",-0.161521336548774,"0"
"Cell_1393",2273,5447,"Cell",0,"Young",-0.272573195633619,"5"
"Cell_1394",744,1075,"Cell",0,"Young",-0.320864461099334,"0"
"Cell_1395",735,1107,"Cell",0,"Young",-0.0588005546541269,"3"
"Cell_1396",703,1106,"Cell",0,"Young",-0.383830558005238,"0"
"Cell_1397",2075,4700,"Cell",0,"Young",-0.276137905576361,"6"
"Cell_1398",2177,4911,"Cell",0,"Young",0.184396729743873,"5"
"Cell_1399",1123,1976,"Cell",0,"Young",-0.201018524658358,"1"
"Cell_1400",770,1170,"Cell",0,"Young",0.533022167165148,"2"
"Cell_1401",707,1108,"Cell",0,"Young",-0.531811446662689,"1"
"Cell_1402",1473,2851,"Cell",0,"Young",-0.174851504370287,"0"
"Cell_1403",657,935,"Cell",0,"Young",0.361203503510036,"1"
"Cell_1404",602,935,"Cell",0,"Young",-0.492702174521006,"0"
"Cell_1405",796,1217,"Cell",0,"Young",-0.374142176681792,"0"
"Cell_1406",1436,2979,"Cell",0,"Young",-0.284915480550402,"0"
"Cell_1407",1292,2531,"Cell",0,"Young",0.26336953498951,"6"
"Cell_1408",1667,3496,"Cell",0,"Young",0.98547374304676,"6"
"Cell_1409",2018,4628,"Cell",0,"Young",-0.28777734375149,"5"
"Cell_1410",1257,2178,"Cell",0,"Young",-0.0247396165270759,"5"
"Cell_1411",703,1015,"Cell",0,"Young",-0.375065614621511,"3"
"Cell_1412",1140,2001,"Cell",0,"Young",-0.00854135037679005,"0"
"Cell_1413",882,1431,"Cell",0,"Young",0.0909877599665758,"2"
"Cell_1414",1291,2508,"Cell",0,"Young",-0.292686017890024,"1"
"Cell_1415",1580,3263,"Cell",0,"Young",0.128460473037764,"2"
"Cell_1416",1291,2566,"Cell",0,"Young",0.579919677897814,"6"
"Cell_1417",875,1338,"Cell",0,"Young",0.52012408952915,"3"
"Cell_1418",791,1245,"Cell",0,"Young",0.0935907907059362,"2"
"Cell_1419",1393,2720,"Cell",0,"Young",-0.228941941876605,"0"
"Cell_1420",1198,2240,"Cell",0,"Young",-0.572582722754234,"0"
"Cell_1421",833,1414,"Cell",0,"Young",-0.242201112712204,"0"
"Cell_1422",803,1316,"Cell",0,"Young",-0.342730670204083,"1"
"Cell_1423",892,1290,"Cell",0,"Young",0.0439924064923305,"1"
"Cell_1424",1293,2696,"Cell",0,"Young",0.367668078479928,"8"
"Cell_1425",1722,10680,"Cell",0,"Young",0.0369200891868886,"2"
"Cell_1426",615,954,"Cell",0,"Young",0.127248881424957,"3"
"Cell_1427",746,1139,"Cell",0,"Young",0.377993096681177,"2"
"Cell_1428",632,905,"Cell",0,"Young",0.334036485888249,"2"
"Cell_1429",562,908,"Cell",0,"Young",-0.27602830481254,"1"
"Cell_1430",637,894,"Cell",0,"Young",-0.261313821909865,"0"
"Cell_1431",1094,2000,"Cell",0,"Young",0.19475017508249,"3"
"Cell_1432",1761,3467,"Cell",0,"Young",-0.235015384572378,"3"
"Cell_1433",752,1212,"Cell",0,"Young",-0.323767637810854,"1"
"Cell_1434",836,1414,"Cell",0,"Young",-0.277978679435213,"1"
"Cell_1435",623,932,"Cell",0,"Young",-0.376541208426681,"0"
"Cell_1436",933,1781,"Cell",0,"Young",-0.271887010164606,"0"
"Cell_1437",1102,1906,"Cell",0,"Young",-0.200456401587232,"3"
"Cell_1438",818,1353,"Cell",0,"Young",-0.0598479794436214,"0"
"Cell_1439",867,1476,"Cell",0,"Young",0.546040966887172,"6"
"Cell_1440",757,1120,"Cell",0,"Young",-0.312170921243406,"0"
"Cell_1441",678,1067,"Cell",0,"Young",0.421614369727826,"2"
"Cell_1442",1928,4505,"Cell",0,"Young",0.210070649515259,"6"
"Cell_1443",791,1212,"Cell",0,"Young",-0.56438941810003,"0"
"Cell_1444",1065,1792,"Cell",0,"Young",-0.504067940865453,"0"
"Cell_1445",1325,2887,"Cell",0,"Young",-0.168987898954971,"1"
"Cell_1446",690,1009,"Cell",0,"Young",-0.223611017959792,"1"
"Cell_1447",659,1113,"Cell",0,"Young",0.234235622676273,"2"
"Cell_1448",785,1232,"Cell",0,"Young",0.240587051699815,"2"
"Cell_1449",1109,1900,"Cell",0,"Young",0.138749919242572,"7"
"Cell_1450",1221,2211,"Cell",0,"Young",0.0548099671873304,"3"
"Cell_1451",1502,2906,"Cell",0,"Young",-0.304283871548635,"7"
"Cell_1452",2413,6255,"Cell",0,"Young",0.00527640271103658,"1"
"Cell_1453",944,1458,"Cell",0,"Young",0.192100841193679,"2"
"Cell_1454",677,1037,"Cell",0,"Young",-0.0239723658023896,"1"
"Cell_1455",888,1499,"Cell",0,"Young",-0.284067401474313,"4"
"Cell_1457",713,1144,"Cell",0,"Young",-0.106884166185903,"0"
"Cell_1458",866,1454,"Cell",0,"Young",0.302945693485659,"1"
"Cell_1459",630,942,"Cell",0,"Young",-0.0192049696497003,"1"
"Cell_1460",1137,2041,"Cell",0,"Young",0.372705806142962,"2"
"Cell_1461",908,1522,"Cell",0,"Young",-0.0688161200470879,"2"
"Cell_1462",1265,2391,"Cell",0,"Young",-0.173408216726269,"1"
"Cell_1463",606,940,"Cell",0,"Young",-0.225335843850877,"1"
"Cell_1464",643,954,"Cell",0,"Young",0.0178954124026647,"3"
"Cell_1465",2011,4822,"Cell",0,"Young",0.280888008485343,"6"
"Cell_1466",692,1027,"Cell",0,"Young",-0.20108980158014,"3"
"Cell_1467",1173,2089,"Cell",0,"Young",0.0172335251841499,"2"
"Cell_1468",1298,2663,"Cell",0,"Young",-0.292996949528604,"1"
"Cell_1469",1644,3077,"Cell",0,"Young",-0.40769566500256,"1"
"Cell_1470",1221,2302,"Cell",0,"Young",0.0701472687697345,"4"
"Cell_1471",633,1055,"Cell",0,"Young",0.697910465070239,"1"
"Cell_1472",1670,3538,"Cell",0,"Young",-0.0386386563736358,"1"
"Cell_1473",1153,2012,"Cell",0,"Young",0.337429690398715,"2"
"Cell_1474",998,1484,"Cell",0,"Young",-0.356355832060829,"7"
"Cell_1476",881,1693,"Cell",0,"Young",0.344377869468578,"8"
"Cell_1477",816,1323,"Cell",0,"Young",0.277519588001185,"3"
"Cell_1478",1062,1706,"Cell",0,"Young",-0.254768917308341,"0"
"Cell_1479",1299,2495,"Cell",0,"Young",-0.458954814842302,"0"
"Cell_1480",610,911,"Cell",0,"Young",-0.177320700490472,"0"
"Cell_1481",1039,1974,"Cell",0,"Young",-0.120305011772692,"1"
"Cell_1482",1220,2631,"Cell",0,"Young",-0.393814294257373,"1"
"Cell_1483",1056,1910,"Cell",0,"Young",-0.0122197623249455,"2"
"Cell_1484",729,1249,"Cell",0,"Young",-0.39763100694934,"4"
"Cell_1485",1334,2936,"Cell",0,"Young",0.0362728066033351,"2"
"Cell_1486",883,1380,"Cell",0,"Young",-0.446891114212323,"0"
"Cell_1487",731,1119,"Cell",0,"Young",-0.171925560143228,"2"
"Cell_1488",1038,1772,"Cell",0,"Young",-0.14574255667741,"0"
"Cell_1489",642,961,"Cell",0,"Young",-0.18786449413919,"3"
"Cell_1490",985,1752,"Cell",0,"Young",-0.107058479545289,"3"
"Cell_1491",1143,2125,"Cell",0,"Young",-0.0860896017528247,"1"
"Cell_1492",788,1121,"Cell",0,"Young",-0.125654481492567,"0"
"Cell_1493",1723,4010,"Cell",0,"Young",0.728628441613237,"6"
"Cell_1494",789,1150,"Cell",0,"Young",0.11883784977058,"2"
"Cell_1495",1051,1723,"Cell",0,"Young",0.380369530661473,"3"
"Cell_1496",1690,3362,"Cell",0,"Young",0.217309547379751,"3"
"Cell_1497",814,1383,"Cell",0,"Young",-0.16218521422533,"0"
"Cell_1498",965,1503,"Cell",0,"Young",-0.0545653757638658,"1"
"Cell_1499",792,1248,"Cell",0,"Young",-0.344810928452983,"0"
"Cell_1500",1640,3135,"Cell",0,"Young",-0.0883511610808791,"5"
"Cell_1501",612,936,"Cell",0,"Young",-0.641334126383514,"0"
"Cell_1502",823,1299,"Cell",0,"Young",-0.452683562488462,"1"
"Cell_1503",820,1243,"Cell",0,"Young",-0.51051917853038,"0"
"Cell_1504",805,1271,"Cell",0,"Young",-0.296193081722415,"1"
"Cell_1505",657,1024,"Cell",0,"Young",-0.511276658615064,"4"
"Cell_1507",635,941,"Cell",0,"Young",-0.310179483760296,"0"
"Cell_1508",931,1480,"Cell",0,"Young",-0.196091712417483,"0"
"Cell_1510",1025,2054,"Cell",0,"Young",0.954175845378718,"4"
"Cell_1511",987,1501,"Cell",0,"Young",-0.414523278321823,"0"
"Cell_1512",2362,5695,"Cell",0,"Young",0.59705831401158,"8"
"Cell_1513",1072,1929,"Cell",0,"Young",-0.32781281212899,"0"
"Cell_1514",1724,3793,"Cell",0,"Young",-0.239686591590556,"5"
"Cell_1515",718,1136,"Cell",0,"Young",-0.127153124281677,"3"
"Cell_1516",1654,3172,"Cell",0,"Young",0.388021861836427,"4"
"Cell_1517",1050,1662,"Cell",0,"Young",-0.0975900208432384,"1"
"Cell_1518",745,1340,"Cell",0,"Young",-0.181605928504311,"1"
"Cell_1519",870,1329,"Cell",0,"Young",-0.575269154639629,"0"
"Cell_1520",1716,3564,"Cell",0,"Young",0.476333296436184,"2"
"Cell_1521",745,1087,"Cell",0,"Young",-0.425337298766474,"0"
"Cell_1522",1012,1639,"Cell",0,"Young",-0.0252046524607401,"1"
"Cell_1523",1395,2727,"Cell",0,"Young",-0.154438515157092,"0"
"Cell_1524",648,901,"Cell",0,"Young",-0.0898349069011144,"2"
"Cell_1525",1326,2439,"Cell",0,"Young",0.219521630854715,"2"
"Cell_1526",692,981,"Cell",0,"Young",-0.189952034822837,"3"
"Cell_1527",939,1559,"Cell",0,"Young",-0.634972301006619,"0"
"Cell_1528",818,1355,"Cell",0,"Young",-0.288451919193718,"0"
"Cell_1529",628,986,"Cell",0,"Young",-0.0858338303888359,"5"
"Cell_1530",2102,5209,"Cell",0,"Young",-0.185172987413195,"1"
"Cell_1531",726,1197,"Cell",0,"Young",-0.373134473692065,"0"
"Cell_1533",1691,3548,"Cell",0,"Young",-0.152925409028909,"0"
"Cell_1534",1573,3227,"Cell",0,"Young",-0.168359488201045,"0"
"Cell_1535",713,1070,"Cell",0,"Young",-0.294541652203017,"0"
"Cell_1536",1074,1884,"Cell",0,"Young",0.112523212574968,"3"
"Cell_1537",997,1766,"Cell",0,"Young",-0.153090797766406,"0"
"Cell_1538",571,909,"Cell",0,"Young",-0.214361384612294,"0"
"Cell_1539",2100,5217,"Cell",0,"Young",-0.253883464548609,"5"
"Cell_1540",2178,4694,"Cell",0,"Young",-0.267797191456717,"5"
