,OH1,OH3,OH4,YH1,YH3,YH4_1,YH4_L2
ENSMUSG00000000628,0,11,243,16,240,206,198
ENSMUSG00000000631,4359,8990,9285,7402,6755,7914,8406
ENSMUSG00000000632,415,786,749,83,181,864,893
ENSMUSG00000000673,0,35,0,41,0,22,19
ENSMUSG00000000682,26,64,11,14,16,30,37
ENSMUSG00000000686,36,0,0,0,1,1,0
ENSMUSG00000000690,2,15,69,1,25,27,30
ENSMUSG00000000693,249,255,260,31,107,288,349
ENSMUSG00000000701,0,0,0,0,0,0,0
ENSMUSG00000000706,22,0,13,0,0,0,0
ENSMUSG00000000708,941,1364,1575,643,971,1494,1470
ENSMUSG00000000711,1686,1817,1610,1740,1591,2352,2588
ENSMUSG00000000724,0,1,0,0,0,1,1
ENSMUSG00000000730,0,0,0,0,0,0,0
ENSMUSG00000000731,0,0,0,0,0,0,0
ENSMUSG00000000732,915,1145,984,1863,764,793,790
ENSMUSG00000000738,2514,3148,2259,2295,3204,2844,2897
ENSMUSG00000000739,65,31,36,143,86,118,129
ENSMUSG00000000740,582,834,883,447,981,938,948
ENSMUSG00000000743,5609,8002,7076,4495,5843,5916,6082
ENSMUSG00000000751,2522,3772,2613,2993,3438,2976,3221
ENSMUSG00000000753,286,390,487,311,969,489,487
ENSMUSG00000000759,2691,3311,3434,2119,2145,5293,5529
ENSMUSG00000000766,0,0,0,0,0,0,0
ENSMUSG00000000776,1119,1488,1058,573,1150,880,864
ENSMUSG00000000782,118,262,199,184,328,11,21
ENSMUSG00000000787,13809,14884,15680,15792,16962,17164,17922
ENSMUSG00000000791,0,12,20,0,0,22,18
ENSMUSG00000000792,0,0,1,0,6,0,0
ENSMUSG00000000794,0,47,65,46,76,157,148
ENSMUSG00000000804,721,364,351,554,613,508,490
ENSMUSG00000000805,17671,14383,15525,12341,11735,13908,14429
ENSMUSG00000000811,639,1082,1108,615,1027,1487,1490
ENSMUSG00000000817,0,0,0,0,0,0,0
ENSMUSG00000000823,329,927,1130,365,683,1366,1500
ENSMUSG00000000826,4609,5840,5287,5419,3688,6748,6880
ENSMUSG00000000827,4964,3570,4095,4309,4780,4846,4946
ENSMUSG00000000838,1916,3719,3564,3388,2996,3326,3529
ENSMUSG00000000861,0,4,11,0,0,0,0
ENSMUSG00000000869,13,1,24,0,12,35,30
ENSMUSG00000000876,1007,2004,1437,1087,1315,1800,1890
ENSMUSG00000000881,83,206,193,21,177,544,555
ENSMUSG00000000884,204,285,323,139,306,268,293
ENSMUSG00000000889,0,0,0,0,0,0,0
ENSMUSG00000000901,749,709,1192,133,578,463,460
ENSMUSG00000000902,3648,3204,2675,3420,3015,3761,4054
ENSMUSG00000000903,0,0,0,0,0,24,28
ENSMUSG00000000915,6501,7083,6665,5417,7264,6810,6959
ENSMUSG00000000916,1537,1318,1205,1338,1306,1452,1526
ENSMUSG00000000934,576,592,360,150,91,245,242
ENSMUSG00000000938,0,0,37,0,86,1,3
ENSMUSG00000000942,67,94,82,126,105,31,33
ENSMUSG00000000948,0,0,0,0,0,0,0
ENSMUSG00000000957,637,1025,849,2717,3522,2153,2220
ENSMUSG00000000958,439,532,569,745,759,1273,1402
ENSMUSG00000000959,1176,1004,964,1301,1139,955,1013
ENSMUSG00000000976,1222,1193,1414,1966,973,1918,1894
ENSMUSG00000000982,2,35,58,45,91,35,49
ENSMUSG00000000983,0,0,0,0,0,0,0
ENSMUSG00000001014,63,98,22,20,96,0,0
ENSMUSG00000001016,2435,3747,2948,2239,3664,3420,3492
ENSMUSG00000001017,5529,7139,6778,5434,6885,7550,7777
ENSMUSG00000001018,2451,4895,4851,1684,3901,4690,4889
ENSMUSG00000001020,2,0,3,0,2,3,4
ENSMUSG00000001021,1,0,0,0,0,0,0
ENSMUSG00000001023,0,0,0,0,0,0,0
ENSMUSG00000001025,1857,1499,1291,567,805,828,879
ENSMUSG00000001027,0,0,7,0,0,0,0
ENSMUSG00000001029,18380,19211,14992,13739,18533,19745,20006
ENSMUSG00000001034,2178,2832,4115,2475,2800,2508,2587
ENSMUSG00000001036,6294,11234,9239,7501,8306,10879,11011
ENSMUSG00000001039,68,157,216,92,160,165,194
ENSMUSG00000001052,3378,5078,5038,5693,4197,4522,4572
ENSMUSG00000001053,8703,12940,9161,9626,10814,9495,9765
ENSMUSG00000001054,2973,3612,2302,2012,2264,3027,3047
ENSMUSG00000001056,704,917,707,637,832,780,781
ENSMUSG00000001062,1767,1611,1122,674,1216,1524,1667
ENSMUSG00000001065,1856,2079,1659,921,1671,1656,1655
ENSMUSG00000001076,0,0,0,0,0,0,0
ENSMUSG00000001082,2460,2432,2504,1341,2116,1782,1884
ENSMUSG00000001089,6818,5913,6509,9230,6571,6341,6498
ENSMUSG00000001095,0,0,0,0,0,0,0
ENSMUSG00000001098,10131,10866,11267,14513,11102,13912,14630
ENSMUSG00000001100,1922,2932,2529,2102,2456,2999,3027
ENSMUSG00000001103,0,0,0,0,0,0,0
ENSMUSG00000001105,1757,1708,1771,1037,1679,1947,2063
ENSMUSG00000001119,324,504,557,347,306,581,612
ENSMUSG00000001120,1350,1910,1590,1030,1116,1485,1500
ENSMUSG00000001123,20282,16842,13413,19464,17215,18467,18732
ENSMUSG00000001127,5003,5520,6565,3618,6387,5826,5778
ENSMUSG00000001128,16,146,167,0,90,26,14
ENSMUSG00000001131,52,66,0,22,27,0,0
ENSMUSG00000001134,34,78,57,51,37,24,34
ENSMUSG00000001138,1243,1270,1885,1037,2017,1482,1461
ENSMUSG00000001143,900,555,1207,2121,900,893,974
ENSMUSG00000001150,1492,2021,1516,2689,1165,1908,2085
ENSMUSG00000001151,1235,1000,1429,1299,863,1276,1262
ENSMUSG00000001155,0,0,0,0,0,0,0
ENSMUSG00000001156,1624,2666,1537,2454,2275,2342,2367
ENSMUSG00000001157,1177,1390,1153,2091,1309,2036,2167
ENSMUSG00000001158,2155,2606,1932,1347,1945,2874,2973
ENSMUSG00000001166,72,266,279,77,96,263,257
ENSMUSG00000001168,0,0,9,0,0,0,0
ENSMUSG00000001173,595,1156,1156,1015,954,1094,1050
ENSMUSG00000001175,89761,89555,76138,76304,89181,89488,91445
ENSMUSG00000001211,3475,3767,3129,2734,3378,3205,3411
ENSMUSG00000001225,0,0,1,0,0,0,0
ENSMUSG00000001227,6020,4122,3913,4528,3065,4437,4472
ENSMUSG00000001228,391,485,163,544,419,348,335
ENSMUSG00000001229,4298,3897,2848,3124,3831,4003,3941
ENSMUSG00000001240,24841,22748,19379,15581,19749,19263,19840
ENSMUSG00000001247,199,468,144,211,299,221,235
ENSMUSG00000001248,4284,5673,3894,5223,4923,4192,4363
ENSMUSG00000001249,81,0,3,1,12,144,117
ENSMUSG00000001260,0,0,0,0,0,0,0
ENSMUSG00000001270,7313,6877,8114,4401,6431,9413,9502
ENSMUSG00000001280,1318,1744,1411,2806,1756,2371,2543
ENSMUSG00000001281,35,450,60,0,17,272,277
ENSMUSG00000001285,766,919,1008,358,855,774,760
ENSMUSG00000001288,4336,4628,3430,2343,3593,5251,5481
ENSMUSG00000001289,1375,1290,1147,602,884,1459,1517
ENSMUSG00000001300,10298,15630,14477,11510,13334,16239,16547
ENSMUSG00000001305,769,754,768,1058,405,949,914
ENSMUSG00000001313,494,322,401,377,459,655,666
ENSMUSG00000001323,388,545,421,285,533,890,977
ENSMUSG00000001333,0,0,4,50,0,0,0
ENSMUSG00000001334,31,0,25,25,61,3,2
ENSMUSG00000001348,0,40,37,0,26,0,0
ENSMUSG00000001349,339,438,745,132,466,1088,1079
ENSMUSG00000001366,3148,3104,3427,2665,2698,4490,4642
ENSMUSG00000001376,1653,1214,1690,1346,738,1811,1883
ENSMUSG00000001380,2269,2197,1994,1937,2159,2247,2232
ENSMUSG00000001383,1433,1796,1542,1449,1535,2024,2026
ENSMUSG00000001403,170,318,57,491,261,122,126
ENSMUSG00000001415,1374,1615,2243,1214,2371,1940,1989
ENSMUSG00000001416,6677,4600,5376,10900,5269,6699,6936
ENSMUSG00000001418,8179,7731,8084,6208,7236,7746,7781
ENSMUSG00000001419,7259,7834,7047,7484,6289,8796,8814
ENSMUSG00000001420,44,13,83,32,29,0,0
ENSMUSG00000001424,4623,4997,5002,4954,4533,5230,5269
ENSMUSG00000001435,2892,4180,4693,8536,8186,7940,8328
ENSMUSG00000001436,75,113,77,0,88,194,176
ENSMUSG00000001440,1748,1699,1834,1929,2163,1924,1898
ENSMUSG00000001441,720,569,953,1144,1111,1240,1267
ENSMUSG00000001444,0,0,0,0,0,0,0
ENSMUSG00000001445,1406,2012,1442,1219,1362,1429,1466
