"","OK1","OK1_2","OK3","OK4","YK1","YK3","YK4"
"ENSMUSG00000000600",2929,2749,2195,2440,3493,2360,5491
"ENSMUSG00000000605",8274,7797,7078,7159,7807,6844,8492
"ENSMUSG00000000606",0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,9
"ENSMUSG00000000627",0,0,0,0,0,0,0
"ENSMUSG00000000628",16,34,3,53,2,74,17
"ENSMUSG00000000631",7528,7103,5233,4823,5500,5425,6173
"ENSMUSG00000000632",80,56,49,23,1,79,1
"ENSMUSG00000000673",44,75,22,157,67,19,22
"ENSMUSG00000000682",9,12,48,8,3,12,9
"ENSMUSG00000000686",16,6,0,82,10,0,51
"ENSMUSG00000000690",1867,1775,1671,2555,2385,2386,2807
"ENSMUSG00000000693",43,33,208,118,308,167,327
"ENSMUSG00000000701",0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,74,54,0,0
"ENSMUSG00000000708",822,788,1101,1565,1215,1009,1486
"ENSMUSG00000000711",2154,1945,2044,1842,1665,1736,2088
"ENSMUSG00000000724",0,0,0,0,0,2,0
"ENSMUSG00000000730",0,0,0,0,0,0,0
"ENSMUSG00000000731",0,0,0,23,0,0,0
"ENSMUSG00000000732",1607,1488,1580,1261,1847,1254,1299
"ENSMUSG00000000738",4303,3881,2934,4537,2964,3918,4214
"ENSMUSG00000000739",131,120,131,98,63,58,62
"ENSMUSG00000000740",465,398,415,559,307,346,618
"ENSMUSG00000000743",4846,4695,6132,6527,5985,5516,4919
"ENSMUSG00000000751",4066,3703,4451,5148,3206,4356,5151
"ENSMUSG00000000753",313,297,995,1324,850,1113,646
"ENSMUSG00000000759",2540,2370,2790,2654,3088,2114,3495
"ENSMUSG00000000766",0,0,0,0,0,0,0
"ENSMUSG00000000776",1020,881,1808,1132,1048,1066,1595
"ENSMUSG00000000782",315,304,332,412,374,172,292
"ENSMUSG00000000787",11189,10649,10799,14731,10025,12477,12467
"ENSMUSG00000000791",0,0,20,0,0,0,4
"ENSMUSG00000000792",10,17,0,6,31,22,76
"ENSMUSG00000000794",0,1,180,149,67,73,0
"ENSMUSG00000000804",1123,1018,633,428,721,661,435
"ENSMUSG00000000805",1676,1666,1580,1735,1804,2360,2450
"ENSMUSG00000000811",987,923,1139,1913,1014,1275,984
"ENSMUSG00000000817",0,0,0,0,0,0,0
"ENSMUSG00000000823",1044,975,1142,1204,852,1304,1710
"ENSMUSG00000000826",7485,6914,4666,5981,5878,4690,6736
"ENSMUSG00000000827",4232,3985,4488,3609,4752,4108,4016
"ENSMUSG00000000838",3737,3555,2091,3185,3244,2438,5406
"ENSMUSG00000000861",0,0,0,0,19,0,27
"ENSMUSG00000000869",0,6,30,10,27,2,26
"ENSMUSG00000000876",1397,1319,1354,1583,1537,1075,2065
"ENSMUSG00000000881",498,470,621,650,1172,1118,1298
"ENSMUSG00000000884",349,338,321,608,330,387,284
"ENSMUSG00000000889",0,0,0,0,0,0,0
"ENSMUSG00000000901",2376,2306,3580,2323,1745,2357,3413
"ENSMUSG00000000902",3619,3288,3738,4087,4197,3680,4175
"ENSMUSG00000000903",43,36,79,23,0,9,33
"ENSMUSG00000000915",4599,4264,4450,4442,4492,3777,4707
"ENSMUSG00000000916",1291,1171,1319,1256,1192,957,1270
"ENSMUSG00000000934",402,341,329,188,197,345,211
"ENSMUSG00000000938",1281,1170,1127,1497,1492,1843,2067
"ENSMUSG00000000942",31,25,25,53,41,43,7
"ENSMUSG00000000948",17,10,0,17,0,12,0
"ENSMUSG00000000957",1380,1347,1223,1480,1522,1991,1750
"ENSMUSG00000000958",1052,1033,792,1054,911,1087,986
"ENSMUSG00000000959",967,929,950,1659,1316,1374,1383
"ENSMUSG00000000976",1759,1595,1038,1773,1557,1568,1999
"ENSMUSG00000000982",44,45,191,44,60,139,113
"ENSMUSG00000000983",0,0,0,0,0,0,0
"ENSMUSG00000001014",31,31,13,26,9,29,0
"ENSMUSG00000001016",2687,2397,2771,3470,2544,2915,3618
"ENSMUSG00000001017",6566,6012,5872,6227,6187,6141,6060
"ENSMUSG00000001018",3490,3272,5208,5846,3598,3482,4320
"ENSMUSG00000001020",35,20,55,54,53,85,45
"ENSMUSG00000001021",0,0,0,0,0,0,0
"ENSMUSG00000001023",2,4,0,0,0,0,0
"ENSMUSG00000001025",2678,2539,3500,3179,2022,2492,1713
"ENSMUSG00000001027",0,0,9,2,0,75,42
"ENSMUSG00000001029",11669,11169,13222,12276,11408,12300,10676
"ENSMUSG00000001034",2246,2141,2729,1973,2390,2040,3011
"ENSMUSG00000001036",8120,7687,8470,7855,6696,6990,6981
"ENSMUSG00000001039",110,118,208,157,252,184,170
"ENSMUSG00000001052",5078,4815,3485,3691,4018,2664,3850
