"","V1","V2","cl_kmeans","cl_hierarchical","CellNames"
"Cell_586",-0.340357876803101,-25.196727249705,"2","4","Cell_586"
"Cell_587",25.6950269152397,-14.8837801268158,"8","5","Cell_587"
"Cell_588",34.1108962856136,-11.9124571457726,"8","5","Cell_588"
"Cell_589",24.5585065596099,6.16470927728497,"6","8","Cell_589"
"Cell_590",-31.1540487118885,-1.48667204625065,"7","7","Cell_590"
"Cell_591",-4.92656131135985,30.9226950160045,"5","2","Cell_591"
"Cell_592",6.97276898165134,-6.87280888585161,"4","1","Cell_592"
"Cell_593",-1.41113924022305,-16.6881819661285,"4","4","Cell_593"
"Cell_594",-2.17607398692333,-4.68397878751589,"3","4","Cell_594"
"Cell_595",-0.115826145123589,-4.65152404705097,"3","4","Cell_595"
"Cell_596",-21.2629088615039,-5.65674396363163,"1","4","Cell_596"
"Cell_597",24.4182439393227,-21.4273422411228,"8","5","Cell_597"
"Cell_598",1.50607802261651,-8.09718859109241,"4","4","Cell_598"
"Cell_599",-15.7706494133921,-3.95021884766238,"1","4","Cell_599"
"Cell_600",30.7576908353655,-12.7489403782542,"8","5","Cell_600"
"Cell_601",-3.95192673105108,11.8754043460504,"3","1","Cell_601"
"Cell_602",-16.2815575448364,-14.7559330235266,"1","4","Cell_602"
"Cell_603",-2.3472925677476,-29.976684064395,"2","4","Cell_603"
"Cell_604",20.4282500857174,9.38859840143008,"6","8","Cell_604"
"Cell_605",-11.5373654882847,-6.41618878017733,"1","4","Cell_605"
"Cell_606",28.2343624825883,-12.7887797063521,"8","5","Cell_606"
"Cell_607",-0.881494548599583,19.8825883716503,"5","1","Cell_607"
"Cell_608",-31.4320393841095,16.4658786743931,"7","7","Cell_608"
"Cell_609",-15.8517626183714,-10.5153408307275,"1","4","Cell_609"
"Cell_610",-2.05577136104942,-20.5482002070397,"2","4","Cell_610"
"Cell_611",-11.3124747074847,-3.21860166616216,"1","4","Cell_611"
"Cell_612",5.94700253696524,-14.542903384178,"4","6","Cell_612"
"Cell_613",-25.1874333804311,8.08747767725353,"7","7","Cell_613"
"Cell_614",-14.4180558024413,-37.7392840632699,"2","3","Cell_614"
"Cell_615",9.17622025909948,-24.0748943315902,"4","6","Cell_615"
"Cell_616",0.345882456248419,22.2628289636115,"5","2","Cell_616"
"Cell_617",-19.6508062486185,-14.769883076398,"1","4","Cell_617"
"Cell_618",5.62254083782237,-33.1539872649633,"2","3","Cell_618"
"Cell_619",-14.5258784991906,-16.0920958387092,"1","4","Cell_619"
"Cell_620",11.6581316943121,4.52600553256729,"6","1","Cell_620"
"Cell_621",18.7826876072604,-22.2756717692979,"4","6","Cell_621"
"Cell_622",-18.4822865359871,-36.2454256863798,"2","3","Cell_622"
"Cell_623",-2.67478803412501,-20.3135259625024,"2","4","Cell_623"
"Cell_624",-12.6482054376662,1.601133006009,"1","4","Cell_624"
"Cell_625",13.4555198164185,-18.8318674898552,"4","6","Cell_625"
"Cell_626",11.4746407349033,-8.42689301278301,"4","6","Cell_626"
"Cell_627",-15.4514667127925,11.2826407810844,"7","7","Cell_627"
"Cell_628",1.76402357534845,-27.6989067879446,"2","3","Cell_628"
"Cell_629",23.086285616433,-15.6827304811221,"8","5","Cell_629"
"Cell_630",-16.6354451132617,6.13952534411243,"7","7","Cell_630"
"Cell_631",-9.94789291172442,7.47619730902262,"3","4","Cell_631"
"Cell_632",-17.8356595506967,-17.7111405522369,"1","4","Cell_632"
"Cell_633",-13.0545359695205,-35.9282085981571,"2","3","Cell_633"
"Cell_634",27.3736908212992,-14.3466433802703,"8","5","Cell_634"
"Cell_635",-8.13304536574928,-6.26870310523426,"1","4","Cell_635"
"Cell_636",24.981252774324,-15.402307001135,"8","5","Cell_636"
"Cell_637",1.19520144107869,30.8053547292028,"5","2","Cell_637"
"Cell_638",-4.55087418994134,-25.929346448785,"2","4","Cell_638"
"Cell_639",15.8169289451062,-13.9198000695588,"4","6","Cell_639"
"Cell_640",-15.8976143147229,8.71927304449529,"7","7","Cell_640"
"Cell_641",-1.15247181023692,-20.3497728594957,"2","4","Cell_641"
"Cell_642",36.7854648332652,-10.4516792327435,"8","5","Cell_642"
"Cell_643",-7.60928097108546,8.55605218883564,"3","4","Cell_643"
"Cell_644",12.1048057424003,-18.950796679533,"4","6","Cell_644"
"Cell_645",12.7923254252488,-16.4436179851383,"4","6","Cell_645"
"Cell_646",-2.91645599323258,-37.4323284935414,"2","3","Cell_646"
"Cell_647",6.11146304751277,-33.0728579680622,"2","3","Cell_647"
"Cell_1100",-7.74357838886955,0.606589343732258,"3","4","Cell_1100"
"Cell_2100",17.9124317627925,22.4841910871939,"6","8","Cell_2100"
"Cell_3100",12.7260477200016,21.0318964888765,"6","8","Cell_3100"
"Cell_4100",-20.4457527017558,4.4491261988049,"7","7","Cell_4100"
"Cell_5100",-1.7549072800056,36.8037042036505,"5","2","Cell_5100"
"Cell_6100",24.2209426630859,20.4556527784183,"6","8","Cell_6100"
"Cell_771",30.9569187261049,-11.8991605927973,"8","5","Cell_771"
"Cell_810",-14.5719917696192,18.8726753749738,"7","7","Cell_810"
"Cell_910",5.63588373960523,-27.163681866938,"2","6","Cell_910"
"Cell_1010",-25.9092300670308,6.28038484433598,"7","7","Cell_1010"
"Cell_1110",-2.52059487222041,23.0269168000091,"5","2","Cell_1110"
"Cell_1210",3.65489890241608,-6.57364178763411,"4","4","Cell_1210"
"Cell_1310",-23.4322217497108,2.13332292870959,"7","7","Cell_1310"
"Cell_1410",-2.51810060413044,-16.0282568043909,"4","4","Cell_1410"
"Cell_1510",-3.98833091910204,5.60100745159468,"3","4","Cell_1510"
"Cell_1610",-30.9384957590161,1.56486674065885,"7","7","Cell_1610"
"Cell_1710",28.2850818128087,-22.0751640084812,"8","5","Cell_1710"
"Cell_1810",-1.38413472766118,14.6830949500307,"3","1","Cell_1810"
"Cell_1910",-6.69310934514685,36.4893384822497,"5","2","Cell_1910"
"Cell_2010",14.6997770737261,-6.67157519762401,"4","6","Cell_2010"
"Cell_2110",8.26842681930081,22.4336278164862,"6","8","Cell_2110"
"Cell_2210",5.53679325134336,27.6040340776298,"5","2","Cell_2210"
"Cell_2310",-8.82479189155485,37.6805702808933,"5","2","Cell_2310"
"Cell_2410",-22.7258372096801,-4.14871890552582,"1","4","Cell_2410"
"Cell_2510",18.2548211025441,23.2117907487877,"6","8","Cell_2510"
"Cell_2610",0.789035928422579,-11.3874508547785,"4","4","Cell_2610"
"Cell_2710",-22.0766225813289,14.5931722796803,"7","7","Cell_2710"
"Cell_2810",2.34598063782349,7.55813078029894,"3","1","Cell_2810"
"Cell_2910",23.3138405433408,-13.1652787009629,"8","5","Cell_2910"
"Cell_3010",2.07113639559003,-22.9145389688156,"4","4","Cell_3010"
"Cell_3110",4.44768234690491,32.0265276406265,"5","2","Cell_3110"
"Cell_3210",-15.8858818886134,16.9326261952415,"7","7","Cell_3210"
"Cell_3310",19.7697942403208,21.3676033893783,"6","8","Cell_3310"
"Cell_3410",15.0712165306293,-19.5349593026593,"4","6","Cell_3410"
"Cell_3510",0.145727987117907,-17.9379941355904,"4","4","Cell_3510"
"Cell_3610",-12.5939825470568,7.44393223914366,"3","7","Cell_3610"
"Cell_3710",-1.83263812809162,12.8007817858883,"3","1","Cell_3710"
"Cell_3810",12.6516016309748,24.4076445962361,"6","8","Cell_3810"
"Cell_3910",-7.625169497837,-4.0342777344671,"1","4","Cell_3910"
"Cell_4010",9.31266609362048,0.240148888525173,"4","1","Cell_4010"
"Cell_4110",21.1644739521379,22.7059247805237,"6","8","Cell_4110"
