"","CellType"
"Cell_115","Young"
"Cell_217","Young"
"Cell_370","Young"
"Cell_375","Young"
"Cell_991","Old"
"Cell_1001","Old"
"Cell_1571","Old"
"Cell_1891","Old"
"Cell_2061","Old"
"Cell_2131","Old"
"Cell_2761","Old"
"Cell_3361","Old"
"Cell_3441","Old"
"Cell_4071","Old"
"Cell_4371","Old"
"Cell_4391","Old"
"Cell_4471","Old"
"Cell_4711","Old"
"Cell_4741","Old"
"Cell_5551","Old"
"Cell_5781","Old"
"Cell_5841","Old"
"Cell_6231","Old"
"Cell_6341","Old"
"Cell_678","Old"
"Cell_737","Old"
"Cell_747","Old"
"Cell_2","Young"
"Cell_4","Young"
"Cell_6","Young"
"Cell_7","Young"
"Cell_11","Young"
"Cell_16","Young"
"Cell_20","Young"
"Cell_21","Young"
"Cell_29","Young"
"Cell_31","Young"
"Cell_33","Young"
"Cell_47","Young"
"Cell_48","Young"
"Cell_50","Young"
"Cell_54","Young"
"Cell_55","Young"
"Cell_57","Young"
"Cell_62","Young"
"Cell_63","Young"
"Cell_69","Young"
"Cell_76","Young"
"Cell_81","Young"
"Cell_89","Young"
"Cell_93","Young"
"Cell_97","Young"
"Cell_98","Young"
"Cell_100","Young"
"Cell_108","Young"
"Cell_109","Young"
"Cell_111","Young"
"Cell_112","Young"
"Cell_120","Young"
"Cell_121","Young"
"Cell_122","Young"
"Cell_124","Young"
"Cell_126","Young"
"Cell_130","Young"
"Cell_131","Young"
"Cell_132","Young"
"Cell_133","Young"
"Cell_137","Young"
"Cell_138","Young"
"Cell_148","Young"
"Cell_155","Young"
"Cell_158","Young"
"Cell_162","Young"
"Cell_163","Young"
"Cell_170","Young"
"Cell_174","Young"
"Cell_178","Young"
"Cell_182","Young"
"Cell_187","Young"
"Cell_189","Young"
"Cell_190","Young"
"Cell_204","Young"
"Cell_207","Young"
"Cell_212","Young"
"Cell_214","Young"
"Cell_218","Young"
"Cell_221","Young"
"Cell_222","Young"
"Cell_226","Young"
"Cell_233","Young"
"Cell_241","Young"
"Cell_247","Young"
"Cell_250","Young"
"Cell_251","Young"
"Cell_257","Young"
"Cell_260","Young"
"Cell_268","Young"
"Cell_272","Young"
"Cell_276","Young"
"Cell_280","Young"
"Cell_294","Young"
"Cell_295","Young"
"Cell_298","Young"
"Cell_300","Young"
"Cell_304","Young"
"Cell_309","Young"
"Cell_311","Young"
"Cell_314","Young"
"Cell_315","Young"
"Cell_317","Young"
"Cell_321","Young"
"Cell_327","Young"
"Cell_328","Young"
"Cell_330","Young"
"Cell_335","Young"
"Cell_338","Young"
"Cell_339","Young"
"Cell_342","Young"
"Cell_346","Young"
"Cell_348","Young"
"Cell_351","Young"
"Cell_354","Young"
"Cell_360","Young"
"Cell_362","Young"
"Cell_374","Young"
"Cell_376","Young"
"Cell_380","Young"
"Cell_381","Young"
"Cell_388","Young"
"Cell_391","Young"
"Cell_396","Young"
"Cell_401","Young"
"Cell_404","Young"
"Cell_410","Young"
"Cell_411","Young"
"Cell_412","Young"
"Cell_413","Young"
"Cell_419","Young"
"Cell_421","Young"
"Cell_424","Young"
"Cell_431","Young"
"Cell_432","Young"
"Cell_434","Young"
"Cell_439","Young"
"Cell_448","Young"
"Cell_456","Young"
"Cell_458","Young"
"Cell_460","Young"
"Cell_461","Young"
"Cell_470","Young"
"Cell_471","Young"
"Cell_473","Young"
"Cell_478","Young"
"Cell_487","Young"
"Cell_488","Young"
"Cell_489","Young"
"Cell_490","Young"
"Cell_493","Young"
"Cell_497","Young"
"Cell_498","Young"
"Cell_501","Young"
"Cell_503","Young"
"Cell_505","Young"
"Cell_507","Young"
"Cell_511","Young"
"Cell_512","Young"
"Cell_514","Young"
"Cell_516","Young"
"Cell_531","Young"
"Cell_534","Young"
"Cell_539","Young"
"Cell_547","Young"
"Cell_552","Young"
"Cell_554","Young"
"Cell_555","Young"
"Cell_563","Young"
"Cell_565","Young"
"Cell_569","Young"
"Cell_571","Young"
"Cell_572","Young"
"Cell_577","Young"
"Cell_580","Young"
"Cell_581","Young"
"Cell_583","Young"
"Cell_586","Young"
"Cell_587","Young"
"Cell_593","Young"
