"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Aqp1",4.76249799149057e-10,0.61684100040767,0.914,0.659,6.58939222102635e-06
"Hsp90ab1",7.77047765452952e-09,0.517391050330488,0.907,0.703,0.00010751232882807
"Timp4",7.93704406750663e-08,0.69720157959665,0.532,0.209,0.00109816941718022
"Hspa8",1.81784560312461e-07,0.517025609107075,0.837,0.538,0.00251517117648321
"Rasgrp2",2.18692066045851e-07,0.89593111256553,0.333,0.055,0.0030258234258104
"Serpinh1",4.46571061149201e-07,0.525928098865174,0.701,0.374,0.00617875720206035
"Ltbp4",3.2462483263642e-06,0.621454742926464,0.471,0.187,0.0449150918435751
"Rps28",6.99870998269246e-06,-0.385064915077665,0.881,0.857,0.0968341513205329
"Sparc",7.79891524209894e-06,0.41456710216015,0.881,0.747,0.107905791289681
"Ndufa4",7.83088191847335e-06,0.460251656362242,0.613,0.341,0.108348082223997
"Hspb1",1.94600887706117e-05,0.4461058680157,0.839,0.615,0.269249788230184
"Aplnr",2.62976505427345e-05,0.707786163872349,0.475,0.242,0.363854292909274
"Cd81",3.31133696943443e-05,0.314105696265283,0.982,0.857,0.458156583090948
"Cdkn1c",3.34089434921354e-05,0.640002470491393,0.476,0.242,0.462246142157185
"Klra9",3.433046718467e-05,-0.729392553388468,0.077,0.209,0.474996343967094
"Pkm",3.49230597300922e-05,-0.503316406269279,0.349,0.516,0.483195454425556
"Rps24",3.73485472884599e-05,-0.423512129836237,0.813,0.857,0.516754500283132
"Wdr89",4.64140100865079e-05,-0.498208125481771,0.454,0.593,0.642184243556924
"Dnaja1",4.64668987770166e-05,0.549944051839543,0.489,0.264,0.642916011478802
"Rps12",4.76046867821959e-05,-0.40393159270912,0.69,0.725,0.658658446318462
"Tomm22",0.000105980893786254,0.61957666229309,0.243,0.055,1
"Sdpr",0.000129044214072534,0.321993478637902,0.932,0.813,1
"Hsp90aa1",0.000143244873623482,0.456978293334997,0.363,0.143,1
"H2-D1",0.000143472694024564,-0.262954207733032,0.972,0.934,1
"Rps27rt",0.000177941344206257,-0.449572157708396,0.711,0.78,1
"Hspa1a",0.000193818397082833,0.682593577838679,0.298,0.099,1
"Rplp2",0.000202193919531121,-0.291453979968221,0.865,0.912,1
"Igfbp7",0.000218841098906374,0.26348733997497,0.93,0.846,1
"Sox4",0.000238298611466431,0.39024929840802,0.224,0.055,1
"Elavl1",0.000259382376021781,0.593973453401026,0.21,0.044,1
"Rps29",0.000262757267293733,-0.264780944021354,0.975,0.978,1
"Rps5",0.000279451371963446,-0.326818356107775,0.914,0.89,1
"Tie1",0.00028510729183455,0.410998906357441,0.473,0.242,1
"Txndc15",0.000312655111984266,0.632428122350941,0.128,0,1
"Tmem140",0.000384313179677668,0.403101166108129,0.385,0.176,1
"Rsrp1",0.000391969487758389,0.396891734947382,0.616,0.363,1
"Nop10",0.000478685354445479,0.53009761498069,0.324,0.143,1
"Rgcc",0.000488513391620381,0.316625393054962,0.884,0.747,1
"Bcap31",0.000533459724676164,0.611717796754723,0.238,0.077,1
"Nedd8",0.000549419816475086,0.424633372035964,0.375,0.165,1
"Gas6",0.000612054583362988,0.426964783529686,0.45,0.231,1
"Sft2d1",0.000639834617730549,0.572578368119278,0.278,0.11,1
"Ostf1",0.000717787188787407,0.429882957908025,0.489,0.297,1
"Stip1",0.000842445240225848,0.56272605968347,0.151,0.022,1
"Herpud1",0.000862740118580689,0.646271265225477,0.21,0.066,1
"Ywhae",0.000902556761454655,0.344332576621353,0.56,0.33,1
"Arpc2",0.000904310766332619,0.323305085439671,0.552,0.341,1
"Rpl23a",0.000991855711019161,-0.280397115817036,0.884,0.89,1
"Hn1",0.00101527905340009,0.60205062038726,0.128,0.011,1
"Arpc5l",0.00109772693440765,0.528609103890544,0.107,0,1
"Paip2",0.0010978381237461,0.450538095053332,0.308,0.132,1
"Gapdh",0.00121856998532579,-0.394280951946785,0.382,0.505,1
"Pin4",0.00124144406740004,0.58784407788568,0.124,0.011,1
"P4ha1",0.00131841860019406,0.592130770327194,0.123,0.011,1
"1810011O10Rik",0.00134885046138795,0.321442388896422,0.576,0.352,1
"Dynll1",0.00143765748336944,0.378897414417072,0.713,0.495,1
"Klc1",0.00145097096966489,0.534938943449895,0.193,0.055,1
"Apoe",0.00155734453705751,0.328919018230377,0.494,0.297,1
"Tax1bp3",0.00171743423365515,0.450579866580787,0.273,0.11,1
"Mllt4",0.00176834348025107,0.320978881432273,0.503,0.275,1
"Col4a2",0.00196058851621521,0.404405500348611,0.461,0.275,1
"Mrpl52",0.00196420771523657,0.302267914640595,0.194,0.055,1
"Coro1c",0.00206398366943644,0.552569647420833,0.184,0.055,1
"Gimap1",0.00227234361859192,0.45537792554408,0.278,0.121,1
"Rhoa",0.00245503112945931,0.34068272896709,0.662,0.462,1
"Hnrnpc",0.00250244590768759,0.394403326466884,0.284,0.121,1
"Fxyd6",0.00263091783903314,0.556463745847718,0.21,0.077,1
"Nudcd3",0.00269082442786685,-0.467731310621944,0.156,0.275,1
