"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"B2m",1.80590496801115e-11,-0.378652455943152,0.984,1,2.49865011374022e-07
"Hsp90ab1",9.09971723432987e-10,0.445237044793574,0.924,0.849,1.25903687654188e-05
"Hspb1",1.54218107328194e-08,0.462428250755434,0.862,0.639,0.000213376173299289
"Hspa1a",1.82224108797211e-08,0.609465394699168,0.707,0.437,0.000252125276931821
"Sox18",9.49229905560398e-08,-0.535952121098888,0.511,0.731,0.00131335449733337
"Csprs",3.0320681713993e-07,-0.570164989011553,0.02,0.126,0.00419516952194807
"Fam177a",5.5300384899411e-07,-0.546508278256067,0.129,0.328,0.0076513612546825
"Hspa8",9.5759466243279e-07,0.361696842571931,0.878,0.765,0.0132492797494201
"Rpl23a-ps3",1.50517751981863e-06,-0.461195513670065,0.611,0.765,0.0208256361642106
"Serpinh1",3.84626193416542e-06,0.393919740790345,0.669,0.471,0.0532168801211127
"Rsrp1",4.20177760585632e-06,0.503069753206673,0.616,0.387,0.0581357949546281
"Tubb2a",5.10153404808263e-06,0.611870900389439,0.422,0.202,0.0705848250892713
"S100a6",6.23070803500211e-06,-0.583176013947331,0.504,0.672,0.0862080763722892
"Rpl23a",6.409072943069e-06,-0.250836154635852,0.902,0.908,0.0886759332403027
"Atox1",7.25612454913798e-06,0.347981691207502,0.729,0.546,0.100395739261873
"Serf2",7.80712186217801e-06,0.356039746408404,0.793,0.546,0.108019338085095
"Irf7",1.32754011654674e-05,-0.592807680644664,0.14,0.303,0.183678450525407
"H2-Q4",1.93030444168393e-05,-0.543328916853509,0.222,0.412,0.267076922551389
"Hsp90aa1",1.99726042542699e-05,0.440062257979198,0.569,0.353,0.276340952462078
"H2-K1",3.25521589085931e-05,-0.30265523515412,0.88,0.908,0.450391670659293
"Rps28",3.41929108956369e-05,-0.295160987403948,0.898,0.924,0.473093115152033
"H2-Ab1",4.54033208886714e-05,-0.423383890973655,0.029,0.118,0.628200347815658
"Gas6",5.28688408808958e-05,0.40664367363793,0.627,0.412,0.731493282428074
"Cdkn1a",6.23429565303706e-05,0.600208159183172,0.473,0.277,0.862577146554207
"Cdkn1c",0.000127274693485196,0.55220733828638,0.629,0.479,1
"Rrp1",0.000156351576126188,0.49581710466435,0.329,0.16,1
"Tmem255b",0.000189729129562768,0.530195412179652,0.247,0.092,1
"Fkbp4",0.000198797999342406,0.50686475105414,0.331,0.168,1
"Cd36",0.000208355855746636,-0.252616524732573,0.947,0.966,1
"H2-Q7",0.000208803272428617,-0.489182146320647,0.267,0.412,1
"Arpc1b",0.000324792325423452,0.316887706958963,0.693,0.521,1
"Fmo2",0.000371687571891635,-0.288271454599081,0.049,0.143,1
"Ahsa1",0.000397728698866962,0.511400146365806,0.276,0.126,1
"Adamts1",0.000490358311252124,0.408621451917077,0.467,0.286,1
"Myadm",0.000594520679074017,0.455713945991083,0.333,0.176,1
"Mrpl44",0.000672405179449386,-0.287604794746243,0.047,0.134,1
"Rgs10",0.000740571229112112,0.435701193420933,0.176,0.05,1
"Top1",0.000762613838529837,0.383634901094236,0.316,0.16,1
"Stim2",0.000802052601660604,0.403612514982441,0.22,0.084,1
"Srpr",0.000808291389407426,0.392808630546844,0.222,0.084,1
"Klf7",0.000836543731280854,0.318861892824507,0.464,0.286,1
"Rpl36-ps3",0.00085042341082259,-0.353760248364984,0.164,0.303,1
"Hspa1b",0.000885401149263554,0.390173482706953,0.149,0.034,1
"Plxnd1",0.000886930585876517,0.438292686122461,0.213,0.084,1
"Gnaq",0.000984254321115586,0.486379776442167,0.153,0.042,1
"Casp12",0.00104009910566945,-0.377345810975818,0.056,0.143,1
"Eogt",0.00109826409221113,0.409047065369975,0.211,0.084,1
"Rap1b",0.001105105716711,0.377864905598703,0.413,0.252,1
"Stip1",0.00115686684832352,0.277603106198489,0.209,0.076,1
"Vamp5",0.00116855252661453,0.335717288802833,0.371,0.202,1
"S100a1",0.00131815803985408,0.437405806718005,0.418,0.286,1
"Klf2",0.00132649181904075,0.251618501398185,0.929,0.84,1
"Rexo2",0.00132986125890934,0.371495387204056,0.324,0.168,1
"Bax",0.00133460889078324,0.379262438011633,0.393,0.235,1
"Isg15",0.00141975011222935,-0.512010645287022,0.256,0.378,1
"Akr1c14",0.00147019043565981,0.46183403942474,0.138,0.034,1
"Ets1",0.00149301539640609,0.327142507326778,0.629,0.479,1
"Rasgrp3",0.00167625155818377,0.393975512565698,0.313,0.168,1
"Cirbp",0.00173111402365171,-0.444336135552691,0.2,0.328,1
"Rpl27",0.00173613826847816,-0.258448443041784,0.693,0.782,1
"Fbln5",0.00182268639258269,0.329102075325686,0.647,0.487,1
"Psme1",0.001889840075443,0.310185872839413,0.478,0.319,1
"Rnaset2a",0.0021235667167734,-0.394079865437011,0.193,0.319,1
"Vim",0.00218559689839487,-0.309130550759078,0.673,0.756,1
"Cdk5rap3",0.00237391759002764,-0.337294080323017,0.049,0.126,1
"Apoe",0.0024014257079474,0.440642369013232,0.573,0.429,1
"Dynll1",0.00243991545529869,0.251965331977163,0.807,0.689,1
"Tmed2",0.0024407537530669,0.279935704724765,0.516,0.353,1
"Oaz2",0.00253592134510681,0.332367871956902,0.622,0.462,1
"Lamtor3",0.00258250971291869,0.38582929434538,0.202,0.084,1
"Igfbp4",0.00267433045795659,0.497747827622642,0.24,0.118,1
"Bub3",0.00270211284598042,0.370209711946672,0.296,0.16,1
"Arf1",0.00272546260532375,0.293870995961945,0.624,0.462,1
"Inpp5k",0.00283070730197732,-0.381349412302481,0.089,0.185,1
"Rps24",0.00291517507184095,-0.265609295678543,0.836,0.832,1
"Slc6a6",0.00297570333450084,-0.288747638996179,0.671,0.714,1
"Pea15a",0.00297904155172588,0.386399760706678,0.427,0.303,1
"Mrpl2",0.00311198033044261,0.429339048887547,0.124,0.034,1
"Jun",0.00311466497216972,0.281618085467803,0.784,0.655,1
"Ctla2a",0.00315756343408946,-0.465081069772548,0.3,0.429,1
"Tmem256",0.00335111276019349,0.321557074046273,0.384,0.235,1
"Pdcd10",0.00335583264392581,0.311558679430529,0.3,0.168,1
"Cfap20",0.00338839918564331,0.430226913045894,0.207,0.092,1
"Ndufa7",0.00351364058588935,0.339412617371954,0.5,0.37,1
"Acyp2",0.00365362219509511,-0.276822481692868,0.036,0.101,1
"Sema4c",0.00369983907548679,0.373197630870578,0.127,0.034,1
"Pdlim5",0.00372438017484837,0.414721295538959,0.149,0.05,1
