"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Actb",1.82728213766279e-36,-1.08110453212025,0.978,0.984,2.52822756567023e-32
"Rdx",6.8761296925891e-23,0.827733881614128,0.913,0.374,9.51381304266628e-19
"Ablim1",1.37017886269397e-22,0.763251348054974,0.663,0.163,1.89577947442338e-18
"Hmcn1",1.51219608935518e-22,0.813700157872911,0.603,0.128,2.09227450923183e-18
"Atp2b4",3.44085772718222e-22,0.849035703300061,0.533,0.101,4.76077075132931e-18
"Pam",3.55298070229075e-22,-2.05297271848726,0.576,0.755,4.91590409968948e-18
"B2m",6.6285918361465e-22,-0.704011356956308,0.967,0.942,9.17131966449229e-18
"Cgnl1",1.78548256432091e-21,0.729682191536358,0.75,0.222,2.47039367599441e-17
"Rbms1",2.31496484337044e-20,0.714968299921415,0.712,0.21,3.20298535728733e-16
"Smad6",2.96946325689498e-20,0.700612906819136,0.587,0.132,4.1085493622399e-16
"9430020K01Rik",8.25593956018161e-20,0.750309135498298,0.402,0.051,1.14229179754673e-15
"Npr3",1.73272985351229e-19,0.816550378969185,0.821,0.335,2.3974050253196e-15
"Gm42418",2.52628497782806e-19,0.824439738977642,0.918,0.42,3.49536789532291e-15
"Trim47",3.22304228436647e-19,0.699965280783859,0.685,0.214,4.45940130464944e-15
"Cd93",1.01360442699905e-18,0.7035419987152,0.793,0.288,1.40242308519589e-14
"Cited2",1.56000433268404e-17,0.706089341079325,0.549,0.144,2.15842199470164e-13
"Spint2",2.00614161268494e-17,0.543827033732179,0.679,0.21,2.77569753531088e-13
"Tmem108",4.47286527904011e-17,0.643270777056079,0.592,0.163,6.1886564000799e-13
"Atp1b3",5.27590898830351e-17,0.545501839472646,0.772,0.276,7.29974767621673e-13
"Rps6ka2",6.30962457766583e-17,0.825993674921779,0.348,0.043,8.72999656565844e-13
"Ptpn14",8.53956136286541e-17,0.658958385080228,0.467,0.105,1.18153371016606e-12
"Foxc1",8.7742344856066e-17,0.517160030095483,0.582,0.156,1.21400308342853e-12
"Tsc22d1",1.02560422273104e-16,0.6342629358522,0.701,0.233,1.41902600257066e-12
"Comp",1.09202415032752e-16,0.909036286495505,0.533,0.136,1.51092461439316e-12
"Gpr182",1.51100183651292e-16,0.471617151488937,0.625,0.183,2.09062214099927e-12
"Ednrb",1.57503393430416e-16,0.733819073102664,0.549,0.144,2.17921695150323e-12
"Gnai2",1.84685767288248e-16,0.526430363109875,0.81,0.3,2.5553122762002e-12
"Adamts1",3.17255871106892e-16,0.78942644916809,0.663,0.226,4.38955223263496e-12
"Il6st",5.14315853631035e-16,0.626503070582581,0.668,0.226,7.116074150839e-12
"Ddx3x",8.72133024956403e-16,0.579995004125624,0.516,0.132,1.20668325332968e-11
"Eif4g2",9.07922816180507e-16,0.39189272265046,0.679,0.23,1.25620200846735e-11
"Cltc",1.5781410203436e-15,0.487094883221615,0.424,0.086,2.1835159157474e-11
"Klf9",1.61205566291414e-15,0.437432312533114,0.625,0.187,2.230440215208e-11
"Plpp3",2.8957622381154e-15,0.640669973116922,0.766,0.3,4.00657663265646e-11
"Flt1",3.24132803040591e-15,0.516509265351493,0.717,0.257,4.48470146286962e-11
"Nr3c1",5.14588575706522e-15,0.645512618574389,0.391,0.074,7.11984753347544e-11
