"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ankrd1",2.45098803104567e-09,-2.05019939484443,0,0.571,3.39118703975479e-05
"Actg2",2.45098803104567e-09,-2.60643403351533,0,0.571,3.39118703975479e-05
"Igfbp2",3.06592100703685e-07,-1.92199362750469,0,0.429,0.00424200830533618
"Cd74",1.75565221041873e-06,-1.54470825700042,0.033,0.571,0.0242912039833536
"Id4",1.25705047179568e-05,-1.44064772739151,0.017,0.429,0.17392550327765
"Fstl3",1.57779845141106e-05,-1.26201035753663,0.017,0.429,0.218304193737234
"Trnp1",3.52062607701427e-05,-0.597835980638399,0,0.286,0.487113824015695
"Dhx35",3.52062607701427e-05,-0.923618776905112,0,0.286,0.487113824015695
"Rsph9",3.52062607701427e-05,-0.923618776905112,0,0.286,0.487113824015695
"Itga5",3.52062607701427e-05,-1.17453953533031,0,0.286,0.487113824015695
"Idh1",3.52062607701427e-05,-1.30330535855989,0,0.286,0.487113824015695
"Postn",3.52062607701427e-05,-1.39085991226543,0,0.286,0.487113824015695
"Zc3h12a",3.52062607701427e-05,-1.44328171490024,0,0.286,0.487113824015695
"Tnc",3.52062607701427e-05,-1.51179872163726,0,0.286,0.487113824015695
"Lrg1",3.52062607701427e-05,-1.62688582152469,0,0.286,0.487113824015695
"Ccl7",3.52062607701427e-05,-1.83084402803301,0,0.286,0.487113824015695
"Prss23",8.24949944133687e-05,-1.88368457656152,0.15,0.714,1
"Ccl2",0.00011990782516688,-2.06829735467382,0.033,0.429,1
"Eln",0.000310663041127371,-1.76089784489278,0.2,0.714,1
"Lmo2",0.000549380639580904,-1.47561935357531,0.05,0.429,1
"Myh9",0.000577115707002452,-1.3221915894734,0.35,0.857,1
"Ahr",0.000640013828298092,-1.45834681386013,0.05,0.429,1
"St13",0.000738623453298377,-1.23937246752924,0.467,0.857,1
"Arhgef10",0.0011126792856159,-0.913954730296325,0.017,0.286,1
"N4bp3",0.0011126792856159,-0.945400372171264,0.017,0.286,1
"Bmp1",0.0011126792856159,-1.15820810854061,0.017,0.286,1
"Hoxa5",0.0011126792856159,-1.24711278355832,0.017,0.286,1
"Ntmt1",0.00135924614410191,-1.1056464240242,0.017,0.286,1
"Mkl2",0.00182142000340833,-1.45439763446202,0.15,0.571,1
"Ctla2a",0.0022243653845182,-1.75047418747638,0.15,0.571,1
"Clta",0.00309834065886524,1.41101028246013,0.667,0,1
"Rps29",0.00326665631790169,-0.613751056342444,1,1,1
"Cxcl1",0.00341657366037478,-1.4597593469596,0.167,0.571,1
"Tagln",0.00365082951656712,-1.17948004052556,0.817,1,1
"Lbh",0.00375703471196658,1.47109818504613,0.783,0.286,1
"Edf1",0.00378827627977131,1.49734065355503,0.65,0,1
"Tgfb3",0.00381466182820476,-1.75366972224453,0.183,0.571,1
"Atox1",0.00387948064504827,1.34973528919891,0.75,0.286,1
