"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Aqp1",4.41681731931772e-18,0.707772524212688,0.918,0.713,6.11110844300799e-14
"Serpinh1",2.34002724521306e-16,0.744357814711116,0.744,0.363,3.23766169647679e-12
"Hsp90ab1",9.97454813142634e-14,0.45692987121796,0.953,0.771,1.38007847946415e-09
"S100a6",4.57464709027892e-10,-1.06352470740768,0.115,0.299,6.32948171410992e-06
"H2-K1",1.05317265317711e-09,-0.447243333815288,0.835,0.854,1.45716968293586e-05
"Tm4sf1",5.13630395312431e-09,-0.548144134408284,0.735,0.834,7.10659014954279e-05
"B2m",5.16256577734042e-09,-0.32730064046833,0.984,0.962,7.1429260095282e-05
"Sdpr",3.97629223322385e-08,0.370497119572685,0.905,0.79,0.000550159793388852
"Hspa8",4.39818143658272e-08,0.357742407757765,0.874,0.701,0.000608532383565585
"Cd36",6.47450781849767e-08,-0.277642032292156,0.976,0.981,0.000895812901767338
"Ctnnbip1",1.05819649601692e-06,0.374888743636302,0.521,0.261,0.01464120671889
"Fkbp4",1.51070522659028e-06,0.59246139710412,0.305,0.115,0.0209021175151031
"Tcf15",2.04832341407916e-06,0.399195081128992,0.732,0.484,0.0283406027571993
"Manf",3.55809577942255e-06,0.473744214195111,0.313,0.121,0.0492298132040904
"Serf2",7.03700423708242e-06,0.345630585017773,0.692,0.446,0.0973639906242724
"Hspe1",8.39968733259723e-06,0.379152833167499,0.295,0.108,0.116218073933815
"Cct5",9.61316352858802e-06,0.453136020110811,0.294,0.108,0.133007730581544
"St3gal6",9.70466067673445e-06,0.531420632186641,0.2,0.051,0.134273685123298
"Stip1",1.05566509892352e-05,0.460550912459116,0.174,0.032,0.146061823087059
"Hspb1",1.40524939291932e-05,0.309385857480147,0.873,0.694,0.194430306004317
"Metap2",1.53245135793981e-05,0.381889243072629,0.303,0.121,0.212029969884552
"Cdkn1c",1.77226785930218e-05,0.542262812160476,0.481,0.299,0.24521098101305
"Dynll1",1.80476392777108e-05,0.340943524080679,0.7,0.516,0.249707137046406
"Nrarp",1.92422597369049e-05,0.427081853782648,0.302,0.121,0.266235905719816
"Ctnnb1",1.94368213318474e-05,0.3729477053905,0.516,0.299,0.268927859947441
"Aplnr",2.25298775438006e-05,0.465546559188457,0.485,0.274,0.311723385696025
"Sipa1",2.46639709388149e-05,0.418658840811374,0.29,0.121,0.341250701909442
"Ahsa1",2.54328746880924e-05,0.442415415198471,0.232,0.076,0.351889254184446
"Anapc11",3.10157109869866e-05,0.409757407265035,0.284,0.115,0.429133377215946
"Hnrnpc",4.45776457735634e-05,0.306793582313795,0.303,0.127,0.616776306923023
"Pink1",4.60728867606342e-05,0.39226377621052,0.181,0.045,0.637464461220134
"Rsrp1",5.08644897365271e-05,0.276391230231557,0.661,0.427,0.703761079994589
"Sumo1",5.66749287973937e-05,0.38855011989142,0.358,0.178,0.784154314840739
"Fam101b",6.42575135926929e-05,0.287009377518699,0.477,0.274,0.8890669580685
"Pdia6",6.7809062406451e-05,0.366480794388896,0.427,0.229,0.938206187455656
"Ppp1r2",7.29441638178566e-05,0.279764295540434,0.666,0.433,1
"Ube2d3",0.000100924454942873,0.347172786868926,0.587,0.363,1
"Ifngr1",0.000103198357733997,0.32187720207131,0.523,0.312,1
"Cyb5a",0.000103629576056317,0.334087541462309,0.476,0.28,1
"Ywhah",0.00010447143659314,0.368896024215716,0.455,0.268,1
"Tmsb10",0.000111501757151648,0.359492930144828,0.647,0.459,1
"Slc6a6",0.00013844721431057,-0.582960535147101,0.313,0.427,1
"Rasgrp2",0.000163054420625109,0.422311928827854,0.303,0.146,1
"Tpr",0.000181560039331845,0.44880265910175,0.274,0.127,1
"Atxn7l3b",0.000184538140555761,0.354029176184481,0.303,0.146,1
"Elavl1",0.000185190708487144,0.361339240147203,0.215,0.076,1
"Ndufs2",0.000201036857440107,0.349275631277426,0.313,0.153,1
"Ghitm",0.000210950450260032,0.410706123049807,0.205,0.076,1
