"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"B2m",1.38500626542448e-06,-0.772146567244515,0.976,0.976,0.0191629466884131
"Txn2",2.66899510633702e-06,1.02885358119708,0.634,0.171,0.036928216291279
"Cfh",0.00016243306768239,-1.32425267169743,0.171,0.561,1
"Ywhaq",0.000303152419035355,0.790665132420654,0.707,0.341,1
"Psmb2",0.000319325028451691,0.710039879626894,0.61,0.22,1
"Ndufb3",0.000389391820329268,0.637226745300053,0.463,0.098,1
"Manf",0.000416870935621219,0.943065002230162,0.512,0.146,1
"Emc2",0.000495782031280223,0.639803281188257,0.415,0.073,1
"Dynll1",0.000516861669030808,0.648041011886095,0.805,0.488,1
"Mall",0.000574136652983207,0.736131271375987,0.537,0.195,1
"Actr10",0.000615562460395264,0.851850866169391,0.39,0.073,1
"Maf",0.000717877840215672,0.749290824440926,0.61,0.268,1
"Psmg2",0.000848070594719007,0.86569439264716,0.244,0,1
"Arf5",0.000956617021735821,0.58910736654386,0.634,0.293,1
"Vps29",0.0010008251794769,0.701607384068082,0.561,0.22,1
"Zbtb7a",0.0010470587823641,0.7140421399275,0.341,0.049,1
"Actb",0.00105719751807866,-1.05322910747301,0.976,1,1
"Gimap6",0.00106930527960551,0.67656767659917,0.683,0.317,1
"Tsc22d4",0.0013317440832208,0.623375298087841,0.293,0.024,1
"Jagn1",0.00153540368174449,0.649633173944878,0.268,0.024,1
"Pitpnc1",0.00160702434977511,1.01080222367063,0.341,0.073,1
"Mcts1",0.00161700253088385,0.751360859589787,0.268,0.024,1
"Nfic",0.00170668810527389,0.62920223559218,0.366,0.073,1
"Dnaja1",0.0017698170273009,0.578159661292467,0.585,0.22,1
"Psmd3",0.00184558186276154,0.552781449160607,0.439,0.122,1
"Mpp1",0.00199082412905662,0.746241603508384,0.415,0.122,1
"Polr2e",0.00220517925489744,0.672569178268892,0.463,0.146,1
"Ppp1ca",0.002833070076938,0.638041880540797,0.61,0.317,1
"Strap",0.00290259896313432,0.615349590301649,0.293,0.049,1
"Fabp4",0.00293815935589686,-1.03178693954536,0.707,0.854,1
"Vgll4",0.00307125628974457,0.95656961885909,0.366,0.098,1
"Mical2",0.0030868575227733,0.684935378967787,0.244,0.024,1
"H2-Q7",0.0030868575227733,-0.931109669900093,0.024,0.244,1
"Gpr108",0.00322883520506911,0.631543209306003,0.195,0,1
"Snx18",0.00322883520506911,0.584340241082672,0.195,0,1
"Cmtm3",0.00324736101155236,0.685925190859077,0.244,0.024,1
"Socs2",0.00341543335945139,0.802302360202797,0.244,0.024,1
"Dync1h1",0.00341543335945139,0.665937122373126,0.244,0.024,1
"Acadm",0.00364754703228617,0.651819546885239,0.293,0.049,1
"Clpp",0.00377555056579508,0.696515982184808,0.244,0.024,1
"Tbl1x",0.00395016626317988,0.689441973402185,0.317,0.073,1
"Psmd7",0.0039587621238971,0.471442688210072,0.488,0.146,1
"Tra2a",0.00397824825916624,0.670183118689953,0.415,0.146,1
"Mrpl33",0.00419272006745652,0.648938775093372,0.463,0.195,1
"Ube2e3",0.00432317336454531,0.555404297799214,0.341,0.073,1
"Dnajb6",0.00471700615231035,0.706953453186056,0.512,0.22,1
"Cct4",0.00472468160705964,0.357655435273457,0.488,0.195,1
"Adprh",0.00476430126760717,0.61565012815906,0.366,0.098,1
"Snx3",0.00494151852710928,0.664665487525788,0.561,0.268,1
"Ndufab1",0.00516277829065452,0.381075162068616,0.488,0.171,1
"Ndufa3",0.00524902828143018,0.469906641603646,0.61,0.293,1
"Phb2",0.00530345462876799,0.73220415794284,0.439,0.171,1
"Ran",0.00559925926750065,0.661059245297837,0.488,0.195,1
"Bri3",0.00575745460694704,0.60917678909987,0.512,0.22,1
"Trim28",0.00583583438865706,0.626005675137289,0.268,0.049,1
"Gabarap",0.0059925102628342,0.438038532712415,0.829,0.512,1
"Foxo1",0.00602346006818877,0.680586547509656,0.341,0.098,1
"Bub3",0.00603107790237463,0.617182975114331,0.488,0.22,1
"Tmf1",0.00612380413051111,0.740064208751258,0.22,0.024,1
"Ift43",0.00612860107166311,0.735114014867972,0.39,0.146,1
"Ehd2",0.00619165858649967,0.382039186003782,0.488,0.195,1
"Itpk1",0.00621139838859093,0.621511522955086,0.171,0,1
"Vrk3",0.00621139838859093,0.566484271916562,0.171,0,1
"Larp1b",0.00621139838859093,0.56351441451027,0.171,0,1
"Sdf2",0.00621139838859093,0.560400906381581,0.171,0,1
"Copz1",0.00621139838859093,0.54693248750684,0.171,0,1
"Top3b",0.00621139838859093,0.486828433094495,0.171,0,1
"Pithd1",0.00621139838859093,-0.818570933880023,0,0.171,1
"Myl9",0.00621139838859093,-0.879883456007962,0,0.171,1
"Cct3",0.00626275800174882,0.657155677922776,0.341,0.098,1
"Clcn3",0.00637790594040144,0.591014065880965,0.268,0.049,1
"Wasl",0.00637790594040144,0.525549784034872,0.268,0.049,1
"Nadk",0.00643479179009549,0.703929691774361,0.22,0.024,1
"Cdc5l",0.00643479179009549,0.593306405240954,0.22,0.024,1
"Psmb6",0.00650577648616535,0.405682368724881,0.659,0.317,1
"Maf1",0.0067671883556633,0.672054350064751,0.341,0.098,1
"Ywhab",0.00693421503223983,0.353703736238312,0.61,0.293,1
"Selm",0.00705973576483887,0.464216729331858,0.805,0.488,1
"Gltp",0.00709973089719908,-0.680923464744599,0.024,0.22,1
"Spcs1",0.0071627111471013,0.734369281113566,0.512,0.268,1
"Phf5a",0.00727617760319142,0.633031431931451,0.268,0.049,1
"Dpm3",0.00727666420875527,0.645755669136472,0.537,0.244,1
"Cox7a2",0.00736237136193115,0.490718157852606,0.683,0.366,1
"Pam",0.00743321450729157,-1.09176374353915,0.39,0.61,1
"Gtf2h5",0.00774878219214979,0.387440159156143,0.439,0.171,1
"Cd81",0.00790294518773197,-0.571898500161227,0.634,0.854,1
"Dctn2",0.00799161648306955,0.421065591012696,0.463,0.195,1
"Dbnl",0.0081916214706219,0.527374310032329,0.341,0.098,1
"Hadh",0.00826510945165202,0.549494000399502,0.293,0.073,1
"Aip",0.00826510945165202,0.546971391951817,0.293,0.073,1
"Pon2",0.00828637605735138,0.623630163780162,0.268,0.049,1
"Naa50",0.00828637605735138,0.486774615555788,0.268,0.049,1
"Nsmce4a",0.00860684253042406,0.584369798045942,0.293,0.073,1
"Ghitm",0.00864998968828572,0.428681981961872,0.268,0.049,1
"Xrn2",0.00884599734829779,0.633466297494464,0.317,0.098,1
"Cyp20a1",0.00903771551374795,0.607807884791115,0.415,0.146,1
"Sepp1",0.00966734928086661,0.387031829292827,1,0.927,1
"Myl12a",0.00990937249812581,-0.423363297643445,0.927,0.902,1
"Igfbp4",0.0101035599727104,0.538246634409467,0.561,0.268,1
"Nxn",0.0104549296027179,0.555534515068376,0.439,0.171,1
"Cdk17",0.01069527655853,0.698895350209753,0.317,0.098,1
"Anp32b",0.0107177107530048,0.530300338333861,0.488,0.244,1
"Cox20",0.010935427671333,0.483081355009669,0.293,0.073,1
"Fkbp2",0.010935427671333,0.387485444753445,0.293,0.073,1
"Ndfip2",0.0110335547163006,0.354957569384895,0.341,0.098,1
"1700025G04Rik",0.0113737826439524,0.489500105290816,0.293,0.073,1
"Fbln5",0.01149002036666,0.332180157933682,0.634,0.268,1
"Jak1",0.0115111412361411,0.628866436123928,0.39,0.146,1
"Psmd9",0.0115112486746098,0.584935716718671,0.244,0.049,1
"Arl6ip5",0.0115177630120746,0.290600585759757,0.415,0.171,1
