"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Hspa8",1.02289435890763e-15,0.62985556743306,0.881,0.656,1.41527663498459e-11
"B2m",2.26247365837937e-13,-0.280534805656544,0.996,0.995,3.13035855373369e-09
"Hsp90ab1",4.72012693711748e-13,0.471634557814734,0.94,0.728,6.53076763019575e-09
"Serpinh1",8.65250652946959e-13,0.639208735930288,0.772,0.492,1.19716080341741e-08
"Csprs",2.10911203626954e-11,-0.828038980088563,0.06,0.287,2.91816741338254e-07
"Hspb1",2.22601333883735e-09,0.443399552571706,0.873,0.728,3.07991205561536e-05
"Dynll1",4.31659567127436e-09,0.522143069739057,0.739,0.518,5.97244177077521e-05
"Aplnr",5.58885685884909e-09,0.661713926698753,0.519,0.241,7.7327423499036e-05
"Aqp1",1.7751465440642e-08,0.599850696145303,0.832,0.662,0.000245609275836723
"Cdkn1c",2.17118104398881e-08,0.784923173777271,0.537,0.297,0.000300404609246292
"S100a6",4.1545830231044e-08,-0.923262213687829,0.134,0.338,0.000574828107076725
"Dnaja1",8.61717772964374e-08,0.411180574838693,0.586,0.313,0.00119227271067351
"Cd36",1.97685069870427e-07,-0.308994608441195,0.985,0.969,0.00273517062672723
"Ywhae",3.86488059018545e-07,0.487041674905964,0.653,0.415,0.0053474487845806
"Rsrp1",4.2361946547541e-07,0.468544776308922,0.694,0.492,0.00586119892431777
"Ubd",6.84896222115585e-07,-0.63887289218289,0.015,0.128,0.00947622412919123
"Rnpep",2.03655723334373e-06,0.511543607851964,0.213,0.051,0.0281778058805439
"H2-Q7",2.43007454996917e-06,-0.641481876072229,0.362,0.533,0.0336225114733735
"Sparc",3.38300726561797e-06,0.350288136149449,0.899,0.841,0.0468072885270902
"Cirbp",1.07777760300282e-05,-0.67861526308901,0.175,0.328,0.14912130915147
"Fkbp4",1.3741162069955e-05,0.426651614285793,0.343,0.159,0.190122718399897
"Snx3",1.42260789031502e-05,0.369764868372618,0.552,0.369,0.196832027703986
"H2-Q4",1.90248605507157e-05,-0.535914671629001,0.254,0.421,0.263227970579703
"Ywhah",2.00751860499492e-05,0.420316471577376,0.53,0.344,0.277760274187098
"Trp53i11",2.14123579741925e-05,0.56487246338071,0.414,0.241,0.296261384930927
"Slc6a6",3.55201480438518e-05,-0.468307311175399,0.358,0.549,0.491456768334734
"Apold1",4.94129199877623e-05,-0.523306978370581,0.134,0.282,0.683677160950679
"Timp4",5.60463240931664e-05,0.446994651524814,0.474,0.297,0.77545694015305
