"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Sdpr",2.54992185495743e-09,0.995738335691688,0.961,0.629,3.5280718785191e-05
"Hsp90ab1",3.33876184850685e-09,0.864651035189471,0.976,0.629,4.61951089359408e-05
"Ndufa4",2.3425143866697e-07,0.858437303669978,0.771,0.343,0.0032411029053962
"Fam101b",3.10923904639497e-07,0.873645077184233,0.805,0.371,0.00430194314459208
"Aqp1",3.53998319069508e-07,1.12432090767171,0.902,0.571,0.00489792074264571
"Clec1b",1.14561288730219e-06,-0.932418778078995,0,0.114,0.015850699908713
"Ralbp1",1.4993869089095e-06,0.964315668040362,0.58,0.171,0.0207455172716719
"Hspa8",2.73064497028195e-06,0.516771872380184,0.956,0.743,0.037781203808821
"Sparc",4.61714340447559e-06,0.606327867401702,0.98,0.743,0.0638827961443243
"Atp5g3",6.90522219968677e-06,0.800389321245484,0.454,0.057,0.0955406543548661
"Serpinh1",9.95965289025012e-06,0.678158889658893,0.902,0.571,0.137801757389501
"Tshz2",1.11046656214012e-05,0.780309257239961,0.717,0.257,0.153644153537707
"Psma3",1.49212648211683e-05,0.690341378565188,0.698,0.286,0.206450620065685
"Calm1",1.63106906323022e-05,0.446158318001562,0.98,0.714,0.225674715588533
"Pdia6",2.58353916729878e-05,0.800797346339367,0.673,0.286,0.35745847918746
"St13",2.71893538880245e-05,0.419230169762282,0.624,0.257,0.376191900394706
"Steap4",2.72493686537917e-05,-0.849586094797534,0.005,0.114,0.377022264693862
"Rsrp1",2.93645654381408e-05,0.548965306042622,0.795,0.371,0.406288127402116
"Vwf",3.31772563249077e-05,-0.829563943543306,0.029,0.2,0.459040518511423
"Col4a2",3.43604357699811e-05,0.73513854563292,0.761,0.371,0.475410989313458
"Inpp5f",3.54243996814635e-05,-0.388103633164066,0.02,0.171,0.49013199399273
"Cav1",3.56041618642168e-05,0.511912772897862,0.966,0.657,0.492619183553303
"Prkar1a",3.75023427071284e-05,0.452552450526072,0.78,0.4,0.518882413695828
"Arl6ip5",4.52914257022517e-05,0.462140900850573,0.595,0.171,0.626652166016354
"Ctnnb1",5.01078168319734e-05,0.609637256675367,0.776,0.4,0.693291753687183
"Tbcb",6.04745264699306e-05,0.572189309991913,0.4,0.029,0.836725548237959
"Kcna5",7.03111451853345e-05,0.754250387313365,0.561,0.2,0.972825004784288
"Gngt2",8.12463898102612e-05,0.670166457181756,0.722,0.4,1
"Cracr2b",8.26197081707431e-05,0.57333849436672,0.537,0.171,1
"Neurl2",9.41307927847411e-05,-0.284281485421542,0.015,0.143,1
"Kank3",9.58610336736842e-05,0.652881679099832,0.741,0.371,1
"Ppp1r2",9.64603866622556e-05,0.562762278321645,0.883,0.514,1
"Fam43a",0.000100320675760379,0.587746923917635,0.732,0.371,1
"Elk3",0.000106938311826739,0.651471402250985,0.639,0.257,1
"Snx3",0.000108551439481384,0.358079944718212,0.78,0.343,1
"Anp32b",0.000111236499326452,0.828324746785373,0.527,0.143,1
"Jup",0.000125804382146756,0.577161348910888,0.683,0.314,1
"Crip1",0.000131473492752662,-0.811781940943805,0.776,0.857,1
"Ppic",0.000133953289614184,0.398622284947919,0.615,0.286,1
"Slc25a3",0.000137555000851341,0.482972324083693,0.702,0.371,1
"Snrk",0.000148605608855575,0.659345372483604,0.678,0.314,1
"mt-Co3",0.000150156687016021,0.40767123096815,1,0.943,1
"Palmd",0.000165718685845856,0.56024786366203,0.634,0.286,1
"Zfand6",0.000167315183879778,0.653542416797017,0.473,0.114,1
"Cox4i1",0.000175273006389119,0.490773304925942,0.912,0.571,1
"Gm2000",0.000194438999977857,0.536257027973669,0.722,0.371,1
"Tmem59",0.000194755975865085,0.48274435017377,0.878,0.514,1
"Map1b",0.000201528788428314,0.821596519039003,0.351,0.029,1
"Cdc37",0.000211404103007093,0.333359768307385,0.629,0.286,1
"Atp5o",0.000211660604367725,0.332070807539476,0.668,0.229,1
"Bax",0.000221555430800738,0.559888685326599,0.546,0.2,1
"Clec1a",0.000230150834646804,0.448777942095386,0.605,0.229,1
"Slc25a5",0.000269507532769458,0.422422245467128,0.722,0.371,1
"Nrp1",0.000291821865854492,0.479665524108686,0.941,0.543,1
"Atp5j2",0.000314355874568416,0.53935233747749,0.79,0.486,1
"Tomm20",0.000319842594523759,0.438287959458684,0.566,0.2,1
"Sdha",0.000324661248299837,0.625245510639244,0.527,0.229,1
"Arpp19",0.000343312095987414,0.471064984101504,0.663,0.371,1
"N4bp3",0.000353746520258434,0.662800225146977,0.512,0.2,1
"Cct5",0.000353770168267273,0.524078022346517,0.546,0.229,1
"Ndufa13",0.000358305220430155,0.378997974022386,0.683,0.343,1
"Prr13",0.000370967617026436,0.308829224917011,0.698,0.343,1
"Fxyd6",0.000371886952876052,0.954665256394074,0.512,0.229,1
"Mlf2",0.000374039035023328,0.490547117181948,0.532,0.171,1
"Cxcl9",0.000388661419984652,0.701956033063815,0.366,0.057,1
"Ssb",0.000394744742430474,0.568002666626445,0.517,0.2,1
"Tspan13",0.000405983035587755,0.432036962892525,0.956,0.714,1
"Atp5j",0.000423522415499037,0.442638051167414,0.951,0.629,1
"Eif3f",0.000428274956611879,0.364711857634438,0.81,0.429,1
"Arhgap31",0.000472545355463733,0.497442077708732,0.756,0.371,1
"Lims2",0.000482465468002925,0.378002110582395,0.902,0.514,1
"Rbm39",0.000487549823668227,0.46601536608077,0.839,0.486,1
"Sipa1",0.000499871276614404,0.639724002637548,0.512,0.257,1
"Ctnnbip1",0.00051051209252324,0.467124004618797,0.756,0.4,1
"Cdkn1c",0.000522466419228063,0.954055954530491,0.532,0.229,1
"Oaz2",0.000533348970617627,0.696869744993091,0.585,0.257,1
"Hspd1",0.000561202354018548,0.64510703525209,0.42,0.114,1
"Mdfic",0.000589227901329338,0.501526069064014,0.327,0.029,1
"Cox7b",0.000597664119233711,0.496769029510988,0.522,0.229,1
"Cox7c",0.000625351585939586,0.444833411606701,0.834,0.543,1
"Btg1",0.000628219966926445,0.515566889443746,0.746,0.457,1
"Hspe1",0.000632885924606814,0.559542389167243,0.498,0.2,1
"Krtcap2",0.000646161160202205,0.314910533038605,0.668,0.314,1
"Hbb-bt",0.000650715301936376,-1.31081431420427,0.088,0.286,1
"Nfkbia",0.000653325060948174,0.473701778659005,0.756,0.4,1
"Dok4",0.000656108360570405,0.595538433608387,0.468,0.171,1
"Ifit3",0.00065767471704793,-0.368852706905734,0.102,0.314,1
"Klhl24",0.000665952945980354,0.587434043304368,0.263,0,1
"Nedd8",0.00067007505663798,0.350110148592094,0.722,0.371,1
"mt-Nd4",0.000671474497332455,0.469510617656262,1,0.8,1
"Ostf1",0.000686108931898751,0.433370866211553,0.82,0.486,1
"Mef2a",0.000692370656267061,0.618304016242339,0.439,0.143,1
"Fkbp4",0.000700349993354236,0.544428637462187,0.517,0.2,1
"Eif4a2",0.000726235004171945,0.42539047390679,0.727,0.4,1
"Gnai2",0.000733973141599005,0.475671054860766,0.888,0.543,1
"Nhp2",0.000736082584832655,0.614683584553803,0.298,0.029,1
"Mat2b",0.000737897375056524,0.381006112785447,0.405,0.086,1
"Snca",0.000785094692333387,-0.795917814447429,0.034,0.171,1
"2010107E04Rik",0.000841522040856159,0.466502825941943,0.639,0.314,1
"Mdh1",0.000852925096918185,0.549412415262884,0.376,0.086,1
"Bcam",0.00085368277351023,0.64750137914516,0.532,0.286,1
