"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Aqp1",1.29773702444465e-12,0.945175874907934,0.943,0.649,1.79554894702161e-08
"H2-K1",3.82134753805755e-09,-0.640782006280229,0.811,0.878,5.28721645365642e-05
"Dynll1",1.88004200812797e-08,0.705668222829685,0.855,0.459,0.000260122612244586
"Rsrp1",2.14246171014846e-07,0.671754626882105,0.654,0.257,0.00296431002216141
"Hspa8",3.74133609036026e-07,0.383784283414385,0.956,0.689,0.00517651261462245
"Serpinh1",7.4789141955816e-07,0.736791753004778,0.723,0.378,0.0103478256810067
"Sdpr",7.49245085047455e-07,0.51886369350161,0.956,0.784,0.0103665549967166
"Hsp90ab1",9.73271116613472e-07,0.464312236180098,0.969,0.757,0.013466179169464
"Edf1",1.6461774361011e-06,0.509770099659476,0.597,0.216,0.0227765110058949
"Adgrf5",1.76028843075724e-06,0.557785466623199,0.736,0.365,0.0243553507279571
"Med28",4.29390288743122e-06,0.759312974420694,0.434,0.122,0.0594104403504983
"Rab6a",4.80000706565953e-06,0.567244614787038,0.447,0.108,0.0664128977604653
"Ms4a4d",7.78368793032331e-06,-0.489443707733231,0,0.122,0.107695106203953
"Aplnr",1.42121703768008e-05,0.726277250138941,0.541,0.243,0.196639589333417
"Leprot",1.77927571486495e-05,0.482135621726323,0.434,0.122,0.246180587908714
"Gng11",2.84208120787854e-05,0.406333769199406,0.969,0.757,0.393230355922075
"Serpina1b",3.41332318835773e-05,-0.927392679238637,0.025,0.176,0.472267396341175
"Rasgrp2",3.51620889509763e-05,0.671898851768468,0.283,0.041,0.486502662725707
"Hsp90aa1",4.4165351860778e-05,0.503577570516594,0.591,0.284,0.611071808345724
"Marcks",5.18507740009128e-05,0.60670883465658,0.56,0.27,0.717407309076629
"Tsnax",5.32100678772795e-05,0.547692405898237,0.396,0.122,0.736214499150039
"Actb",5.79448952588482e-05,-0.664726249731567,0.962,0.959,0.801725570801424
"Ly6a",6.68058131982817e-05,-0.459522796746433,0.931,0.905,0.924325231411426
"Fxyd6",7.33042235738178e-05,0.642013296340939,0.453,0.176,1
"Fmo1",7.37553313734901e-05,0.506527566022514,0.629,0.311,1
"Hey1",7.66431194999937e-05,-0.795495091708759,0.013,0.135,1
"Serpina1d",0.00010014865263917,-0.780465013619038,0.019,0.149,1
"Syf2",0.000102769469966354,0.528857862156365,0.44,0.176,1
"Timp4",0.000114438152642516,0.72834996853694,0.491,0.216,1
"P4ha1",0.000114860129900441,0.649558463118831,0.258,0.041,1
"Eif4a2",0.00012813104983254,0.410277109701221,0.692,0.338,1
"Prr13",0.000138748066472205,0.363376857574536,0.566,0.257,1
"Usp4",0.000148540804961612,0.533664792832298,0.233,0.027,1
"Etl4",0.000157037899581299,0.702170744293267,0.302,0.081,1
"Nfe2l2",0.000165774587206219,0.498408058209652,0.327,0.081,1
"Ndufa3",0.000169089529714683,0.473445212653003,0.484,0.203,1
