"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Set",6.92301605271179e-05,1.37521338923501,0.471,0,0.957868501053204
"Sf3b2",0.000409135393980871,1.44323351512803,0.588,0.138,1
"Cnbp",0.000557421440797736,0.994578337579794,0.824,0.276,1
"Ankrd44",0.000651309172557998,1.11804377948098,0.588,0.103,1
"Gng5",0.000667977348694406,0.576306235894226,0.824,0.276,1
"Ucp2",0.00068771269091952,0.965184096495774,0.588,0.138,1
"Cox5a",0.000723639389679552,0.625201161447676,0.647,0.103,1
"Tcea1",0.000770486477694218,1.23072663452747,0.353,0,1
"Vrk3",0.000770486477694218,1.02955507539249,0.353,0,1
"Bola3",0.000770486477694218,0.895481931240829,0.353,0,1
"Sfpq",0.00131765398407077,0.738716221964022,0.529,0.103,1
"B4galnt1",0.0015288489326501,0.995567003868434,0.471,0.069,1
"Atp5h",0.00159055919935184,0.730633095316932,0.882,0.345,1
"Hcst",0.00171910591341784,1.15946792240626,0.412,0.034,1
"Rps21",0.00201376171611593,0.610799756357409,0.941,0.621,1
"Chd4",0.00234220089658835,0.881359124380891,0.471,0.069,1
"Phb2",0.00234220089658835,0.858894366535877,0.471,0.069,1
"Ms4a4b",0.002428267435242,1.24195601833679,0.294,0,1
"Lat",0.002428267435242,0.974270433945508,0.294,0,1
"Rbm18",0.002428267435242,0.952368568653904,0.294,0,1
"Zbtb4",0.002428267435242,0.917665114028843,0.294,0,1
"Cdipt",0.002428267435242,0.850362162227623,0.294,0,1
"Eif2s3x",0.002428267435242,0.832479435804114,0.294,0,1
"Dgka",0.002428267435242,0.828990492103641,0.294,0,1
"Sde2",0.002428267435242,0.82063430180427,0.294,0,1
"Sf3b4",0.002428267435242,0.793712726003651,0.294,0,1
"Denr",0.002428267435242,0.63244139840925,0.294,0,1
"Sptssa",0.00262798563702489,1.0080046360535,0.529,0.138,1
"Tnpo3",0.00288297275160953,0.6914468771919,0.471,0.069,1
"Dnajc8",0.00288669979465247,1.06083184579807,0.529,0.138,1
"Ralgps2",0.00349716015673682,1.11791950285038,0.471,0.103,1
"Atp1b3",0.00349716015673682,1.02989076663521,0.471,0.103,1
"Chd3",0.0035833687905626,0.858072814640064,0.353,0.034,1
"Rbbp4",0.00383616414704275,1.04924790050685,0.412,0.069,1
"Atp5k",0.00393950375499283,0.604708911546847,0.706,0.207,1
"Pdcl3",0.00402398237282052,0.851217511465527,0.353,0.034,1
