"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rbms1",0.00256476465354365,0.300767036753003,0.423,0.268,1
"Mien1",0.00256529646279835,0.393985801403845,0.102,0.022,1
"Cdkn1a",0.00284511373780317,0.414031714809202,0.346,0.203,1
"Midn",0.00287808406959613,0.360219998888355,0.137,0.043,1
"Hdac5",0.0029322874433383,0.33447730471724,0.149,0.051,1
"Bcam",0.0030047915621635,0.391567649243639,0.329,0.196,1
"Ssh2",0.00303558754200934,0.381494260365587,0.26,0.138,1
"Aspa",0.00315185533964708,-0.374713531543986,0.039,0.101,1
"Hsp90aa1",0.00329946473316986,0.375976653013489,0.395,0.254,1
"Sgms1",0.00330734378474856,0.395599885037649,0.176,0.072,1
"Rtn3",0.00336419232862516,0.403764942260651,0.313,0.181,1
"Pfdn1",0.00340714281588651,0.378187554877403,0.174,0.072,1
"Sacm1l",0.00354031751330272,0.379118414644771,0.123,0.036,1
"Dpysl2",0.00366748459503959,0.26595094347451,0.368,0.225,1
"Rpl12",0.00369524074035228,-0.421600209271057,0.337,0.428,1
"Pltp",0.00382553386971697,0.297512949542863,0.29,0.152,1
"Tie1",0.00387797502831174,0.261701682474389,0.458,0.297,1
"Dnpep",0.00397577523352817,0.289580911625559,0.157,0.058,1
"Klf3",0.00400745499700056,0.335787697531821,0.297,0.167,1
"Plscr4",0.00408074588823397,0.405101000780847,0.254,0.138,1
"Rock1",0.00417925977462117,0.303832688350862,0.188,0.08,1
"Abhd16a",0.00433537753742704,0.333075289669895,0.219,0.109,1
"Nars",0.00440262779489904,0.381097648584471,0.151,0.058,1
"Grn",0.0044224460403931,0.287879321534338,0.247,0.123,1
"Ndufa5",0.00448272059134933,0.292421936850653,0.313,0.181,1
"Hes1",0.00456439903099809,0.295438670080851,0.327,0.188,1
"Cbfb",0.00462305365165403,0.368996914764906,0.129,0.043,1
"Map4k4",0.00462967761050752,0.323071801532493,0.131,0.043,1
"Junb",0.00471964487625803,0.266179007813785,0.597,0.435,1
"Mob4",0.00475753235762594,0.309393330860556,0.227,0.116,1
"Hspa5",0.00488588327167384,0.277585168350844,0.481,0.326,1
"Eif3d",0.00497973858229967,0.386829728874614,0.168,0.072,1
"Pdia6",0.00510296877396427,0.286187406588917,0.421,0.261,1
"Rab35",0.00525755486676177,0.412666618572403,0.135,0.051,1
"Tpt1",0.00526908157315923,-0.293460457052325,0.859,0.833,1
"Pim3",0.00534810347198368,0.297095100342384,0.462,0.326,1
"Bcl7c",0.00540787389177337,0.339855045708839,0.106,0.029,1
"Pitpnc1",0.00588312368278285,0.259268146663732,0.327,0.188,1
"Dazap1",0.00614682232167645,-0.490347746761077,0.123,0.203,1
"Znrd1",0.00615619124299943,0.369714871765262,0.115,0.036,1
"Ddit4",0.00655317067881826,0.265193495681793,0.139,0.051,1
"Itga6",0.00658562313629463,0.290486358897256,0.319,0.196,1
"Lims1",0.00673656728399376,0.359715877627081,0.153,0.065,1
"Rasgrp2",0.00686924033805578,0.343138286879151,0.231,0.123,1
"Psmd8",0.0070249094078124,0.298246198497791,0.243,0.13,1
"Eif4b",0.00704842744720001,-0.422703048241904,0.127,0.21,1
"Fbl",0.00705309838794653,0.267172734841501,0.115,0.036,1
"Rbm3",0.00718250078919283,-0.328888552525448,0.305,0.413,1
"Rpl36",0.00729158184290035,-0.267457691560243,0.845,0.833,1
"Cdc42ep3",0.00736227974566575,0.361015611920106,0.262,0.152,1
