Genes,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Avg_p_values
Cited2,4.265033752225227e-05,2.36216879469196e-06,9.772146896592293e-06,2.019234540844653e-05,1.5037086507571699e-06,3.053347799065409e-07,7.289279962631373e-08,7.032768526588244e-07,1.912884507373773e-05,1.1166467634071e-06,3.8077331324852536e-06,7.432149324389752e-08,2.5639623882810297e-06,2.8111888186219577e-07,2.583443063940211e-06,1.7507724043960795e-06,7.486339873454105e-05,6.054789220630083e-07,1.4131242289272271e-05,6.328441654003745e-07,9.955100950878105e-06
Comp,7.070077138006859e-08,9.045100132544341e-07,8.315775519292323e-07,4.659322022514836e-05,4.528028171357569e-06,1.0844661900185372e-05,3.3629781319766898e-06,4.121646936258132e-05,5.110009138933052e-07,1.2318664359898493e-05,2.822322082235748e-08,1.01334329284907e-07,4.018622294115863e-07,1.6886803735469577e-08,1.418917002525607e-06,1.0452230322689658e-05,6.341940524073138e-06,4.439519883923526e-08,3.364046301047977e-05,3.218570537668006e-06,8.842331729056728e-06
Jund,3.2007048961987987e-06,3.304934283494553e-08,5.946948946104865e-08,8.981908878619279e-07,1.3003692438344882e-06,7.053903337406781e-06,7.672161420391294e-06,1.0613000671371597e-05,5.0047226047157816e-05,5.478553375596632e-08,4.4188469050539883e-07,4.575458451652548e-06,5.435396364409974e-08,5.305687731912829e-06,1.957976156364537e-06,4.926770779429862e-06,5.4016821854160314e-05,6.699348585536966e-06,8.00960601706114e-07,2.0901345604435092e-07,7.996056857061586e-06
Tsc22d1,9.469973967837851e-07,6.851398832744809e-07,1.9194306811729167e-06,5.817573363451768e-07,1.8038684451749555e-06,7.984079142807371e-08,5.505008375509991e-06,4.935865742353325e-06,1.1232379709790563e-07,2.2960972723443799e-07,4.021272735692825e-06,4.987301056726737e-06,1.4679617959685293e-07,7.210907651957421e-07,5.181289685729239e-06,9.932627665096622e-06,1.069372783938207e-05,7.38524928628627e-08,3.6748859934171878e-09,1.663120243308123e-07,2.6363893753491114e-06
Rdx,3.638071945797746e-08,7.349561170200898e-07,2.6049034618534074e-09,1.642129898581201e-05,2.1878117852373428e-07,5.558949681530044e-09,1.2006085030349516e-06,9.506458720962527e-10,9.511676849398518e-08,1.5439953009874977e-07,2.6417424624441905e-07,4.246639942844284e-09,4.5042432950375215e-08,2.590105387587264e-07,5.800556478783491e-07,1.9218085091943672e-07,2.564110102921248e-07,1.0604404264398432e-06,4.1962706243557837e-07,9.222283310722464e-08,1.1022033995212947e-06
Smad6,1.562376674875306e-05,8.647492441273983e-08,5.724128473860066e-06,1.1672818855117058e-06,4.466831817366161e-06,1.221098493421192e-05,3.545223822697999e-08,6.3209518056729165e-06,7.335549684643711e-06,3.820435851577752e-08,1.4957501405094283e-05,2.284511664171381e-08,1.7583021445651148e-08,1.793773535867786e-07,4.6941601602028205e-06,1.5297412004547092e-06,7.94986504940799e-06,5.952411173585879e-08,1.9168878549524746e-06,2.842052253289873e-07,4.231065868501315e-06
Cgnl1,2.773578307755589e-06,2.1851703806254444e-06,1.2985081404683536e-05,1.0222298753200698e-06,2.223085478978096e-06,6.092221816286074e-08,5.756840991025235e-06,1.4475589065616983e-05,6.123362568457914e-06,2.483452646656222e-07,1.4400388631663313e-07,8.862858835586752e-08,6.19640401171216e-07,4.669545488136482e-09,1.1329414836874326e-07,2.2725234011833277e-08,9.723114457990078e-07,1.3790114362760028e-08,1.617508404881161e-07,1.305274951888077e-07,2.5062773627421236e-06
Atp1b3,1.1208318166079311e-06,1.196326734643421e-06,6.274886023885936e-08,1.321293938525127e-06,1.352939543629901e-07,1.6420117465165787e-06,2.8913881899363634e-06,2.5841547078580537e-07,8.365113522673289e-08,3.087024171932885e-07,1.1170119952110932e-06,2.4066884925870734e-06,1.0432826640288613e-07,6.590184064933194e-06,1.3134563204247639e-06,1.9811460692912515e-06,2.198762565569558e-06,2.9128644342480634e-06,4.039991644830453e-06,6.967946201008553e-06,1.9326522159271997e-06
Tmem108,2.1555279024969336e-06,1.1892094040356167e-06,3.91686028426403e-07,6.21414800793957e-07,7.458428542195836e-07,4.944537859022293e-07,3.5588706627631674e-06,1.290457869223159e-06,1.4848615144076494e-05,7.993043473515525e-06,3.7312037700030784e-06,4.745461203445775e-06,1.2400275639157568e-05,3.7602989677550977e-06,1.3835029672990753e-06,1.921185085797014e-05,9.189686781715272e-06,9.96828244089348e-09,3.651799496147399e-07,1.4078265092379795e-05,5.108240771861725e-06
Gnai2,2.2714769028042447e-06,1.0329834791916776e-07,6.713869169889195e-07,9.858375478874686e-08,3.9408166072045444e-07,9.93021361010296e-06,1.0808708047979232e-08,5.982764959229574e-09,1.6153799141294784e-05,1.3985406553489317e-05,3.0582760878867492e-06,8.582832863985462e-06,1.6834249786642143e-06,2.217275902155749e-07,2.442751652235052e-07,6.886670580291986e-06,3.144056138928785e-09,2.2937690249615415e-07,4.4322100065319046e-07,3.458137274110238e-07,3.2661900657041288e-06
Ebf1,5.536771519107535e-07,3.962065764817263e-06,3.9161223651911347e-07,7.902477124349181e-07,4.419394441823313e-05,2.238346311406223e-06,1.4261224414380695e-06,3.2529522512797993e-06,6.26360996461188e-06,1.2028611984310396e-06,5.108380221084076e-05,7.519733621128846e-07,1.8197698531447645e-07,3.5936211869469785e-07,5.207254970867347e-06,5.653406648222566e-08,3.401924447500586e-06,2.465007124815552e-07,8.446699348085095e-06,2.603359239742011e-05,8.002253003544097e-06
Trim47,1.3450276408582576e-07,6.081716299442168e-08,7.749837498282228e-08,3.937907763087902e-06,1.3197642635431617e-06,1.8146071175687969e-06,5.3145719230757415e-08,2.3102095873564773e-08,4.436698019557821e-06,6.471492016249444e-08,2.5658645122553557e-06,6.417024626411156e-08,2.2439867181265333e-07,3.525813996096893e-08,9.274217846288256e-06,5.287927393859042e-06,1.1935127213190493e-06,1.7205338192769252e-05,4.418006217275223e-07,2.9520951988834835e-05,3.8868099268089304e-06
Foxc1,8.429623038294721e-07,3.1652681569532525e-07,4.260748265610919e-06,7.314169271593107e-07,4.266340065484534e-06,4.753653318591688e-06,1.7836338055328756e-07,1.7578377549279173e-05,4.98104078568566e-07,2.09059304944057e-05,3.7842981629248344e-06,1.893710232120458e-05,3.839188542665039e-06,3.981995101408044e-06,7.645082056465426e-07,3.8310202542375535e-05,1.1821821715345365e-05,1.0100110518779604e-05,1.6351857603211736e-06,4.505794126864699e-07,7.3978707741267585e-06
Il6st,8.376773189706781e-07,2.268021495641813e-06,9.308112861998308e-09,1.10555891139733e-05,6.171176036272856e-05,6.731303204430715e-08,1.24820125263611e-06,3.21280872298906e-06,2.36225950225177e-06,1.6627869498232798e-06,3.993839599455183e-06,1.649654966785557e-06,4.444986794991608e-06,1.8945766657754768e-08,1.7152517640623544e-07,1.8847751503934942e-05,3.7920260793973784e-06,1.5508944751883707e-05,1.0684864307940651e-06,2.0012267972530076e-06,6.796655686574016e-06
Npr3,1.4027377821660959e-08,1.1213520868622135e-06,2.404004683429174e-08,1.5299215644176523e-06,7.117671941575647e-09,1.446949951870522e-07,6.830057078249044e-08,1.755036721941988e-06,1.0977163480299922e-07,2.2692799769225877e-06,3.854972572464664e-08,2.6083984265466595e-07,2.2578586511396797e-08,1.8975295214590148e-07,3.4183947895157227e-08,8.573285375680068e-08,3.4758646228814685e-06,9.399244711872364e-08,1.1797840564607404e-05,8.353479903822618e-07,1.193911309059647e-06
Adamts1,1.390603904255925e-06,2.8032352061611264e-05,1.862086583477966e-06,4.023239687261139e-07,7.86003428132866e-07,1.5150817324253278e-06,1.3594694516753902e-07,2.0893126501609257e-06,1.4380529926227064e-06,1.7864955821754617e-05,3.863453244265791e-06,3.799240550201543e-06,2.081348275933463e-07,1.3191574210346305e-07,2.0874400469017486e-05,2.5757384888698796e-08,9.35936637796788e-06,1.0092530867760144e-05,9.562126991287542e-08,2.676370222818166e-07,5.211738892216415e-06
Gm42418,1.3207246836287336e-07,1.8739320123105096e-06,5.561809485134785e-08,1.4809479923968723e-07,8.44832626878285e-10,1.0762225881929564e-07,7.220748843286291e-07,3.087999184962723e-09,1.8166857280972114e-07,6.434378154444834e-08,1.364359754096236e-07,6.036477900804335e-07,4.095106567778445e-06,2.0939779200581666e-05,8.940378942147258e-08,3.0656249267990493e-07,7.401416063401787e-07,2.608996254366183e-06,1.2045411033214642e-06,4.0535580473581415e-09,1.7009014021052541e-06
Hsp90ab1,4.228904475462165e-06,2.8538660924923427e-06,1.4449733137752012e-06,2.8020846477606285e-06,8.900769062704192e-06,5.558557432451165e-08,5.138950007052581e-07,2.2049737879430465e-05,4.8183230592306665e-06,1.3447141800524292e-05,4.5459024510014955e-05,9.833446834825455e-06,1.1914855524481931e-06,1.0562563557138552e-05,9.733508206460064e-07,2.9217066223164524e-06,2.5016228045383987e-05,4.491578979130818e-06,1.1370590375829024e-05,5.4668739100443825e-08,8.649496247162181e-06
9430020K01Rik,7.464219258945096e-11,2.2206606546339552e-07,2.3919024371051585e-08,1.0271822287397503e-06,1.2195940476526964e-05,1.5589526810948395e-08,1.662394432800407e-07,2.070067822754762e-07,2.0624209330438284e-06,1.1021514927311899e-05,1.3402260444820044e-07,9.162859398573622e-07,2.554594455185227e-05,1.8864126591744734e-05,1.5976412290585395e-07,1.3253550107708004e-08,3.5245864445482066e-06,2.2156247947719307e-10,1.3281139309380885e-06,4.850152630759615e-06,4.113921298982874e-06
Ablim1,6.268507517689311e-07,9.552655103804472e-07,2.3544904250232852e-07,4.706816985473557e-07,6.766594741808146e-07,1.5368753509127176e-08,4.0001911842226576e-07,2.6457692982235404e-07,2.717588300489266e-07,5.598842906221385e-07,7.986236923964674e-07,1.2254111465002555e-06,1.4108695953792536e-08,2.0487254241315127e-06,3.6131236878558035e-08,5.307498905267964e-08,1.2933227312599792e-07,4.709627591061732e-06,6.829484815705335e-07,3.359345914356802e-07,7.25521626095595e-07
